Aprika	Afrika
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Parihaba	Rechthoek
Latbiya	Letland
Ukraine	Oekraïne
Republikang Tseko	Tsjechië
Eslobakya	Slowakije
Eslobenya	Slovenië
Vilna	Vilnius
Moldavia	Moldavië (land)
Romania	Roemenië
Bulgarya	Bulgarije
Roma	Rome (stad)
Republika ng Macedonia	Macedonië (land)
Albanya	Albanië
Greenland	Groenland
Kroasya	Kroatië
Bosnia at Herzegovina	Bosnië en Herzegovina
Aserbayan	Azerbeidzjan
Andorra	Andorra
Tsipre	Cyprus
Georgia (bansa)	Georgië
Valonia	Wallonië
Kazakhstan	Kazachstan
Malta	Malta (land)
Flandes	Vlaanderen
Monako	Monaco
Montenegro	Montenegro
Lungsod ng Vaticano	Vaticaanstad
San Marino	San Marino
Lungsod ng Bruselas	Brussel (stad)
Kuba	Cuba (land)
Belise	Belize (land)
Toreng Eiffel	Eiffeltoren
Barbados	Barbados
Tipaan (ng kompyuter)	Toetsenbord (computer)
Java (wikang pamprograma)	Java (programmeertaal)
Indonesia	Indonesië
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Wikang Turko	Turks
South Africa	Zuid-Afrika
Linkin Park	Linkin Park
Algeria	Algerije
Uzbekistan	Oezbekistan
Taskent	Tasjkent
Varsovia	Warschau
Paligsahang Pang-awitin ng Eurovision	Eurovisiesongfestival
Modena (lungsod)	Modena (stad)
Alak	Wijn
Tubig	Water
Katad	Leer (stof)
Kahoy	Hout
Telebisyon	Televisie
Pornograpiya	Pornografie
Claude Monet	Claude Monet
Chile	Chili
Hesus	Jezus (traditioneel-christelijk)
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Merkuryo (planeta)	Mercurius (planeet)
Kasaysayan	Geschiedenis
Apple Inc.	Apple Inc.
Benus (planeta)	Venus (planeet)
Wika	Taal
Pag-ibig	Liefde
Diktadura	Dictatuur
Galaksiya	Sterrenstelsel
Hupiter (planeta)	Jupiter (planeet)
Daang Magatas	Melkweg (sterrenstelsel)
Big Bang	Oerknal
Urano	Uranus (planeet)
Bretanya	Bretagne (schiereiland)
Nicolas Sarkozy	Nicolas Sarkozy
Neptuno	Neptunus (planeet)
Astronomiya	Astronomie
Singapore	Singapore
Agham	Wetenschap
Kosmolohiya	Kosmologie
Pluton (astronomiya)	Pluto (dwergplaneet)
Montréal, Québec	Montreal (Canada)
Malayang sopwer	Vrije software
Kinabukasan	Toekomst
Maria (ina ni Hesus)	Maria (moeder van Jezus)
Louis IX ng Pransiya	Lodewijk IX van Frankrijk
Liechtenstein	Liechtenstein
Palakasan	Sport
Cambridge	Cambridge (Verenigd Koninkrijk)
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Unang Digmaang Pandaigdig	Eerste Wereldoorlog
Ikalawang Digmaang Pandaigdig	Tweede Wereldoorlog
Cologne	Keulen (stad)
Korupsiyon	Corruptie
Augusto Pinochet	Augusto Pinochet
Yanka Kupala	Janka Koepala
Ubuntu	Ubuntu (Linuxdistributie)
Skopje	Skopje
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Metrolohiya	Metrologie
Matematika	Wiskunde
U2	U2 (band)
Wikang Latin	Latijn
Barein	Bahrein
Armenya	Armenië
Kuneiporme	Spijkerschrift
Higgs boson	Higgsboson
Serbiya	Servië
Buwan (astronomiya)	Maan
Istanbul	Istanboel
Linda Lovelace	Linda Lovelace
Australya	Australië (land)
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiyolohiya	Astrobiologie
Pisika	Natuurkunde
Arhentina	Argentinië
Telekomunikasyon	Telecommunicatie
Peru	Peru
Biyolohiya	Biologie
UFO	Unidentified flying object
Hilagang Korea	Noord-Korea
Kambodya	Cambodja
Koran	Koran
Dinosauro	Dinosauriërs
Soolohiya	Zoölogie
Islam	Islam
Peras	Peer (plant)
Liubliana	Ljubljana
Botanika	Plantkunde
Lech Wałęsa	Lech Wałęsa
Gulong	Wiel (voortbeweging)
Isip	Geest
Kapayapaan	Vrede
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Unyong Europeo	Europese Unie
Plovdiv	Plovdiv (stad)
Star Wars	Star Wars
World Wide Web	Wereldwijd web
Babae	Vrouw
Sofia	Sofia (stad)
Akwedukto	Aquaduct (watergang)
Ñ	Ñ
Don Quixote	Don Quichot (boek)
Panulaan	Poëzie
Birus ng kompyuter	Computervirus
Lungsod ng Milano	Milaan (stad)
Kaibigan	Vriendschap
Alaala	Geheugen (psychologie)
Arthur Rimbaud	Arthur Rimbaud
Lungsod ng Turino	Turijn (stad)
Ipot	Ontlasting
Butas ng puwit	Anus (anatomie)
Kili-kili	Oksel
Lemon	Citroen (vrucht)
Saging	Banaan (vrucht)
Émile Zola	Émile Zola
666	666
Bulaklak	Bloem (plant)
Googol	Googol
Bambang ng Marianas	Marianentrog
Bundok Everest	Mount Everest
Anatomiya	Anatomie
Lungsod	Stad
Napoleon I ng Pransiya	Napoleon Bonaparte
Pisyolohiya	Fysiologie
Bituin	Ster (hemellichaam)
Vesubio	Vesuvius (vulkaan)
Araw (astronomiya)	Zon
Louis Pasteur	Louis Pasteur
Sinag-taon	Lichtjaar
Victor Hugo	Victor Hugo
Oceania	Oceanië
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletiks	Atletiek
Sistemang Pang-araw	Zonnestelsel
Dagat Baltiko	Oostzee
Champs-Élysées	Avenue des Champs-Élysées
Ngipin	Tand
Idrohino	Waterstof (element)
Helyo	Helium
Impiyerno	Hel (mythologie)
Wikimedia Commons	Wikimedia Commons
Purgatoryo	Vagevuur
Angela Merkel	Angela Merkel
Lityo	Lithium (element)
Berilyo	Beryllium
Palakas-tinig	Luidspreker
Aklat	Boek (document)
Araw (panahon)	Dag
Silangang Timor	Oost-Timor
Taon	Jaar
Daang taon	Eeuw
Canegrate	Canegrate
Ilog Rin	Rijn
Oslo	Oslo
Undas	Allerheiligen
Itim na butas	Zwart gat
Seres (astronomiya)	Ceres (dwergplaneet)
Lisboa	Lissabon
Ichiro Suzuki	Ichiro Suzuki
Haumea (astronomiya)	Haumea
Rodano (ilog)	Rhône (rivier)
Makemake (astronomiya)	Makemake
Michael Bloomberg	Michael Bloomberg
Kateri Tekakwitha	Kateri Tekakwitha
Eris (astronomiya)	Eris (dwergplaneet)
Dubai	Dubai (emiraat)
Lionel Messi	Lionel Messi
Lungsod ng Padua	Padua (stad)
Boron	Boor (element)
Nicolaus Copernicus	Nicolaas Copernicus
Karbon	Koolstof
Ilog Volga	Wolga
Nitroheno	Stikstof (element)
Lungsod ng Bergamo	Bergamo (stad)
Oksiheno	Zuurstof (element)
Planeta	Planeet
Cleopatra VII ng Ehipto	Cleopatra VII
Tugtugin	Muziek
Lungsod ng Venezia	Venetië (stad)
Naruto	Naruto (manga)
Mosku	Moskou
Plurina	Fluor (element)
Wikang Italyano	Italiaans (taal)
Tsiwawa	Chihuahua (hond)
Neon	Neon (element)
Chihuahua	Chihuahua (staat)
San Petersburgo	Sint-Petersburg
Chad	Tsjaad
Sodyo	Natrium
Magnesyo	Magnesium
Neon Genesis Evangelion (anime)	Neon Genesis Evangelion
Aluminyo	Aluminium
New Zealand	Nieuw-Zeeland
India	India
Silikon	Silicium
Pransiyo	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Posporo (elemento)	Fosfor
André-Marie Ampère	André-Marie Ampère
Tuluyan	Proza
Bakal	IJzer (element)
Tonga	Tonga (land)
Alessandro Volta	Alessandro Volta
Asupre	Zwavel
Samoa	Samoa
Kapuluang Salomon	Salomonseilanden
Vanuatu	Vanuatu
Molière	Molière (schrijver)
Kloro	Chloor (element)
Papua New Guinea	Papoea-Nieuw-Guinea
William Shakespeare	William Shakespeare
Pabula	Fabel
Palau	Palau (land)
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Kuwentong bibit	Sprookje
Mga Estadong Pederado ng Mikronesya	Micronesia
Potasyo	Kalium
Kalsiyo	Calcium
Tingga	Lood (element)
Kapuluang Marshall	Marshalleilanden
Kiribati	Kiribati
Mongolia	Mongolië
Fiji	Fiji
Eskandiyo	Scandium
Stevie Wonder	Stevie Wonder
Titanyo	Titanium
Venezuela	Venezuela
Ahedres	Schaken
Genghis Khan	Dzjengis Khan
Banadyo	Vanadium
Maine	Maine
Kromyo	Chroom (element)
Kabayo	Paard (dier)
Amsterdam	Amsterdam
Sandata	Gevechtswapen
Hayop	Dierenrijk
Surinam	Suriname
Mangganeso	Mangaan
Paraguay	Paraguay
Guyana	Guyana
Sining	Kunst
Ecuador	Ecuador
Colombia	Colombia
Kobalto	Kobalt
Wolpramyo	Wolfraam
Budismo	Boeddhisme
Bolivia	Bolivia
Tanso	Koper (element)
Trinidad at Tobago	Trinidad en Tobago
Halaman	Planten
San Vicente at ang Kagranadinahan	Saint Vincent en de Grenadines
Sink	Zink (element)
Bagong Hampshire	New Hampshire
Santa Lucia (bansa)	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
San Cristobal at Niyebes	Saint Kitts en Nevis
Fungus	Schimmels
Hamayka	Jamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guwatemala	Guatemala
Google Chrome	Google Chrome
Bahamas	Bahama's
Connecticut	Connecticut
Manok	Kip (vogel)
Antigua at Barbuda	Antigua en Barbuda
Hawaii	Hawaï
Honduras	Honduras
Dominika	Dominica
Hersey	Jersey (eiland)
Republikang Dominikano	Dominicaanse Republiek
Baboy	Varken (tam)
Karagatang Artiko	Noordelijke IJszee
Hayti	Haïti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu
El Salvador	El Salvador
Iran	Iran
Iraq	Irak
Alaska	Alaska
Karunungan	Wijsheid (deugd)
Costa Rica	Costa Rica
Israel	Israël
Panama	Panama (land)
Yemen	Jemen
Birus	Virus (biologie)
Wikang Polako	Pools
Hordan	Jordanië
Nicaragua	Nicaragua
Florida	Florida (staat)
Kyrgyzstan	Kirgizië
Arisona	Arizona (staat)
Kuwait	Koeweit
Laos (bansa)	Laos
Lebanon	Libanon
Oregon	Oregon
Maldives	Maldiven
Kaamerikahan	Amerika (continent)
Utah	Utah
Baka	Rund
Malaysia	Maleisië
Myanmar	Myanmar
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Qatar	Qatar
Tenis	Tennis
Saudi Arabia	Saoedi-Arabië
Sri Lanka	Sri Lanka
Joseph Stalin	Jozef Stalin
Syria	Syrië
Platon	Plato
Tayikistan	Tadzjikistan
Pokémon	Pokémon
Republika ng Tsina	Taiwan
YouTube	YouTube
Aristoteles	Aristoteles
Taylandiya	Thailand
Tren	Trein
Arseniko	Arseen
Radyo	Radio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistan
Abakan	Abakan (stad)
United Arab Emirates	Verenigde Arabische Emiraten
Bromina	Broom (element)
Platino	Platina
Vietnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Timog Korea	Zuid-Korea
The Simpsons	The Simpsons
Yekaterinburg	Jekaterinenburg
Kripton	Krypton (element)
Afghanistan	Afghanistan
Gangnam Style	Gangnam Style
Nizhny Novgorod	Nizjni Novgorod
J. R. R. Tolkien	J.R.R. Tolkien
Rubidyo	Rubidium
Ginto	Goud
Omsk	Omsk
Agusan ng Suez	Suezkanaal
Kazan	Kazan (stad)
Bangladesh	Bangladesh
Bleach	Bleach (manga)
Franz Kafka	Franz Kafka
Chelyabinsk	Tsjeljabinsk
Rostov-on-Don	Rostov aan de Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Oefa
Mali (bansa)	Mali
Socrates	Socrates (filosoof)
Volgograd	Wolgograd
Angola	Angola
Perm	Perm (stad)
Bhutan	Bhutan
Twitter	Twitter
Krasnoyarsk	Krasnojarsk
Brunei	Brunei
Tanzania	Tanzania
Asoge	Kwik
Roald Amundsen	Roald Amundsen
Pilipinas	Filipijnen
Republika ng Gitnang Aprika	Centraal-Afrikaanse Republiek
Uzumaki Naruto	Naruto Uzumaki
Polong Timog	Zuidpool
Hilagang Polo	Noordpool
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estronsiyo	Strontium
Pedro I ng Brasil	Peter I van Brazilië
Itriyo	Yttrium
Bismuto	Bismut
Dilaw	Geel (kleur)
Mekaniks na kwantum	Kwantummechanica
Togo	Togo
Tunisya	Tunesië
John Bardeen	John Bardeen
Sambya	Zambia
Zimbabwe	Zimbabwe
Beijing	Peking
Timog Sudan	Zuid-Soedan
Vladivostok	Vladivostok
Tuva	Toeva
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Comoren
Republika ng Congo	Congo-Brazzaville
Demokratikong Republika ng Congo	Congo-Kinshasa
San Antonio, Texas	San Antonio (Texas)
Tomsk	Tomsk
Djibouti	Djibouti (land)
Meme	Meme (memetica)
Polonium	Polonium
Bavaria	Beieren
Gineang Ekwatoriyal	Equatoriaal-Guinea
Eritrea	Eritrea
New Delhi	New Delhi
Papa Juan Pablo II	Paus Johannes Paulus II
Fëdor Dostoevskij	Fjodor Dostojevski
Tangway ng Kamchatka	Kamtsjatka (schiereiland)
Tiflis	Tbilisi
Sanggol	Baby
Astatino	Astaat
Gabon	Gabon
Mahatma Gandhi	Mohandas Karamchand Gandhi
Komiks	Stripverhaal
Ang Gambiya	Gambia (land)
Ginea	Guinee
Ginea-Bissau	Guinee-Bissau
Côte d'Ivoire	Ivoorkust
Cameroon	Kameroen
Kabo Berde	Kaapverdië
Lesoto	Lesotho
Liberia	Liberia
Libya	Libië
Aachen	Aken (stad)
Madagascar	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Mauritania	Mauritanië
Mauritius	Mauritius (land)
Maruekos	Marokko
Mozambique	Mozambique
Namibia	Namibië
Niger	Niger (land)
Nigerya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Oeganda
Rwanda	Rwanda
Sirkonyo	Zirkonium
Santo Tome at Prinsipe	Sao Tomé en Principe
Senegal	Senegal
Seychelles	Seychellen
Carl Linnaeus	Carolus Linnaeus
Sierra Leone	Sierra Leone
Somalia	Somalië
Julio Cesar	Julius Caesar
Sudan	Soedan
Swaziland	Swaziland
Bahaghari	Regenboog (optica)
Metabolismo	Stofwisseling
Sistemang immuno	Immuunsysteem
Gujarat	Gujarat
Ebolusyon	Evolutie (biologie)
Mga Nagkakaisang Bansa	Verenigde Naties
Dante Alighieri	Dante Alighieri
Heolohiya	Geologie
Ahmedabad	Ahmedabad (stad)
Heograpiya	Aardrijkskunde
Puso (anatomiya)	Hart
Utak	Hersenen
Balat (anatomiya)	Huid
Kulay	Kleur
Pangngalan	Zelfstandig naamwoord
Praga	Praag
Bughaw	Blauw (kleur)
Pilak	Zilver
Star Trek	Star Trek
Lata	Tin (element)
Uranyo	Uranium
Antimonyo	Antimoon
Plutonyo	Plutonium
Iodine	Jodium (element)
Henon (elemento)	Xenon
Anime	Anime
Sesyo	Cesium
Karga ng kuryente	Elektrische lading
Baryo (elemento)	Barium
Aktinyo	Actinium
Bill Clinton	Bill Clinton
Radyo (elemento)	Radium
Radon	Radon (element)
Indira Gandhi	Indira Gandhi
Merkuryo (mitolohiya)	Mercurius (mythologie)
Busto Arsizio	Busto Arsizio
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Michigan	Michigan
Goa	Goa (India)
Borgonya	Bourgondië (regio)
Maurice Ravel	Maurice Ravel
Aquitania	Aquitanië
Puerto Rico	Puerto Rico
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Hilagang Renania-Westfalia	Noordrijn-Westfalen
Hesse	Hessen
Sahonya	Saksen (deelstaat)
John Lennon	John Lennon
Illinois	Illinois (staat)
Hilagang Dakota	North Dakota
Brandeburgo	Brandenburg (deelstaat)
Lombardy	Lombardije
Timog Dakota	South Dakota
Montana	Montana (staat)
Wyoming	Wyoming
Piemonte	Piëmont
Herusalem	Jeruzalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lambak ng Aosta	Valle d'Aosta
Washington	Washington (staat)
Nebada	Nevada (staat)
Trentino-Alto Adige/Südtirol	Trentino-Zuid-Tirol
Karagatang Indiyano	Indische Oceaan
Veneto	Veneto
Kosovo	Kosovo
Dagat Karibe	Caraïbische Zee
Boryo	Bohrium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurië
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Colorado	Colorado (staat)
Frederic Francois Chopin	Frédéric Chopin
Minatamis (prutas)	Jam (voedingsmiddel)
Tuskanya	Toscane
Marche	Marche (Italië)
Umbria	Umbrië
Kategorya:Mga nilalaman	Categorie:Alles
Lazio	Lazio
Abruzzo	Abruzzen
Alpes	Alpen
Jansenismo	Jansenisme
Kabundukang Carpatos	Karpaten
Blaise Pascal	Blaise Pascal
Dama	Dammen
Gante	Gent
Chicago	Chicago
The Beatles	The Beatles
Ununquadium	Flerovium
Ununoctium	Ununoctium
Como (lungsod)	Como (stad)
Taglamig	Winter
Tagsibol	Lente
Tag-init	Zomer
Taglagas	Herfst
Ekinoks	Equinox
Saddam Hussein	Saddam Hoessein
Osama bin Laden	Osama bin Laden
Wikang Kastila	Spaans
Montevideo	Montevideo (stad)
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Tolyatti	Toljatti
Pittsburgh, Pennsylvania	Pittsburgh
Opera	Opera (muziek)
Philadelphia, Pennsylvania	Philadelphia (Pennsylvania)
Kolkata	Calcutta
Chennai	Madras
Delhi	Delhi (stad)
Dhaka	Dhaka (stad)
Bangalore	Bangalore
West Bengal	West-Bengalen
Gagamba	Spinnen (dieren)
Arachnida	Spinachtigen
Arthropoda	Geleedpotigen
Hyderabad, Andhra Pradesh	Haiderabad (Andhra Pradesh)
Islamabad	Islamabad
Bungang-kahoy	Vrucht (plant)
Salapi	Geld
Virginia (estado)	Virginia (staat)
West Virginia	West Virginia
New York	New York (staat)
Seryo	Cerium
Rhode Island	Rhode Island (staat)
Neodimyo	Neodymium
Kulisap	Insecten
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Lenin
Ohio	Ohio (staat)
Vergilius	Vergilius
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Cesar Augusto	Imperator Caesar Augustus
Microsoft Windows	Microsoft Windows
Tiberius	Tiberius Iulius Caesar Augustus
New Jersey	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claudius I
Wikang Pinlandes	Fins
Nero	Nero (keizer)
Galba	Galba (keizer)
Indiyana (Estado ng Estados Unidos)	Indiana
Otho	Otho
Vitellius	Vitellius (keizer)
Nokia	Nokia (bedrijf)
Vespasian	Vespasianus
Kotse	Auto
Titus	Titus (keizer)
Domitian	Titus Flavius Domitianus
Nerva	Nerva (keizer)
Trajan	Trajanus
Roger Federer	Roger Federer
Hadrian	Hadrianus
Georgia	Georgia (staat)
Antoninus Pius	Antoninus Pius
Marcus Aurelius	Marcus Aurelius
Lucius Verus	Lucius Verus
Commodus	Commodus
Lungsod ng Zagreb	Zagreb
Pertinax	Pertinax (keizer)
Rajasthan	Rajasthan
Campania	Campania
Texas	Texas (staat)
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Molise	Molise
Organo (musika)	Orgel
Caracalla	Caracalla
Apulia	Apulië
Lungsod ng Genova	Genua (stad)
Bruno Mars	Bruno Mars
Bundok Pinatubo	Mount Pinatubo
Basilicata	Basilicata
Hilagang Karolina	North Carolina
South Carolina	South Carolina
Calabria	Calabrië
Sicilia	Sicilië
Maynila	Manilla
Sardinia	Sardinië
Ferdinand Marcos	Ferdinand Marcos
Benigno Aquino III	Benigno Aquino III
Lungsod ng Cebu	Cebu City
Ilog Sena	Seine
Lungsod ng Dabaw	Davao City
Lungsod Quezon	Quezon City
Kalookan	Caloocan
Burdeos	Bordeaux (stad)
Corazon Aquino	Corazon Aquino
Lungsod ng Kabite	Cavite City
Bulkang Mayon	Mayon
Lungsod ng Buenos Aires	Buenos Aires (stad)
Lungsod ng Mehiko	Mexico-Stad
Tokyo	Tokio
Lungsod ng Barcelona	Barcelona (Spanje)
Pinya	Ananas
Misisipi	Mississippi (staat)
Fernando de Magallanes	Ferdinand Magellaan
Ilog Mississippi	Mississippi (rivier)
José Rizal	José Rizal
Manuel L. Quezon	Manuel Quezon
Sikkim	Sikkim
Makati	Makati
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Nagpur	Nagpur (stad)
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi (stad)
Astana	Astana (stad)
Bagong Mehiko	New Mexico
Ramesses II	Ramses II
Atenas	Athene (stad)
Rotonda	Rotonde (verkeer)
Ramesses I	Ramses I
Minesota	Minnesota
Ramesses III	Ramses III
Baghdad	Bagdad
Ramesses IV	Ramses IV
Caracas	Caracas
Pandaigdigang Batayan ng Oras	UTC
Wisconsin	Wisconsin
Pune	Poona (stad)
Cicero	Marcus Tullius Cicero
Cyndi Lauper	Cyndi Lauper
Ayowa	Iowa (staat)
Nebraska	Nebraska
Lungsod ng Guwatemala	Guatemala-Stad
Kansas	Kansas (staat)
Havana	Havana
Tabako	Tabak
Wikang Hindi	Hindi
Internet Explorer	Internet Explorer
Sigarilyo	Sigaret
Missouri	Missouri (staat)
George Ohm	Georg Ohm
Louisiana	Louisiana (staat)
Luigi Galvani	Luigi Galvani
Kentucky	Kentucky
Arkansas	Arkansas (staat)
Neil Armstrong	Neil Armstrong
Charles Lindbergh	Charles Lindbergh
Lungsod ng Valenzuela	Valenzuela (Metro Manilla)
Lungsod ng Pasig	Pasig (Metro Manilla)
Lungsod ng Zamboanga	Zamboanga City
Édith Piaf	Édith Piaf
Antipolo	Antipolo
Taguig	Taguig
Ilog Elba	Elbe (rivier)
Cagayan de Oro	Cagayan de Oro
Oklahoma	Oklahoma
Danubio	Donau
Butuan	Butuan
Cabadbaran	Cabadbaran
Dagat Hilaga	Noordzee
Bayugan	Bayugan
Legazpi, Albay	Legazpi (Albay)
Moscow Oblast	Oblast Moskou
Serge Gainsbourg	Serge Gainsbourg
Ligao	Ligao
Tabaco, Albay	Tabaco (Albay)
Isabela, Basilan	Isabela (Basilan)
Lamitan	Lamitan
Balanga	Balanga
Mainz	Mainz
Wiesbaden	Wiesbaden
Lungsod ng Batangas	Batangas City
Lipa, Batangas	Lipa (Batangas)
Munich	München
Samara Oblast	Oblast Samara
Tanauan	Tanauan (Batangas)
Dresde	Dresden
Balibol (palakasan)	Volleybal
Vienna	Wenen
Madonna	Madonna (zangeres)
Copenhague	Kopenhagen
Kaliningrad Oblast	Oblast Kaliningrad
Macrinus	Macrinus (keizer)
Estokolmo	Stockholm
Lungsod ng Helsinki	Helsinki
Murmansk Oblast	Oblast Moermansk
Dublin	Dublin
Elagabalus	Elagabalus
Murmansk	Moermansk
Reikiavik	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Severus Alexander
Tallin	Tallinn
Riga	Riga
Maximinus Thrax	Maximinus I Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Boedapest
Gordian I	Gordianus I
Frankfurt	Frankfurt am Main
Pupienus	Pupienus
Breslavia	Wrocław
Gordian II	Gordianus II
Balbinus	Balbinus
Prometyo	Promethium
Yunit na pang-astronomiya	Astronomische eenheid
Gordian III	Gordianus III
Felipe ang Arabo	Philippus I Arabs
Baguio	Baguio
