ஆப்பிரிக்கா	Afrika
பரகுவை	Paraguay
கயானா	Guyana
கலை	Kunst
எக்குவடோர்	Ecuador
இரேனியம்	Renium
கொலொம்பியா	Colombia
கோபால்ட்	Kobalt
தங்குதன்	Wolfraam
நிக்கல்	Nikkel
பௌத்தம்	Boeddhisme
பொலிவியா	Bolivia
ஓசுமியம்	Osmium
செப்பு	Koper (element)
டிரினிடாட் மற்றும் டொபாகோ	Trinidad en Tobago
தாவரம்	Planten
செயிண்ட். வின்செண்ட் கிரெனேடின்ஸ்	Saint Vincent en de Grenadines
துத்தநாகம்	Zink (element)
நியூ ஹாம்சயர்	New Hampshire
செயிண்ட் லூசியா	Saint Lucia
லியொனார்டோ டா வின்சி	Leonardo da Vinci
செயிண்ட் கிட்சும் நெவிசும்	Saint Kitts en Nevis
பூஞ்சை	Schimmels
ஜமேக்கா	Jamaica
கிரெனடா	Grenada
மாசச்சூசெட்ஸ்	Massachusetts
குவாத்தமாலா	Guatemala
கூகிள் குரோம்	Google Chrome
பகாமாசு	Bahama's
கனெடிகட்	Connecticut
கோழி	Kip (vogel)
அன்டிகுவா பர்புடா	Antigua en Barbuda
ஹவாய்	Hawaï
ஹொண்டுராஸ்	Honduras
டொமினிக்கா	Dominica
யேர்சி	Jersey (eiland)
டொமினிக்கன் குடியரசு	Dominicaanse Republiek
வீட்டுப் பன்றி	Varken (tam)
ஆர்க்டிக் பெருங்கடல்	Noordelijke IJszee
எயிட்டி	Haïti
எல் சால்வடோர்	El Salvador
ஈரான்	Iran
ஈராக்	Irak
அலாஸ்கா	Alaska
கோஸ்ட்டா ரிக்கா	Costa Rica
இசுரேல்	Israël
பனாமா	Panama (land)
யெமன்	Jemen
லோசான்	Lausanne (stad)
தீ நுண்மம்	Virus (biologie)
போலிய மொழி	Pools
ஜோர்தான்	Jordanië
நிக்கராகுவா	Nicaragua
புளோரிடா	Florida (staat)
கிர்கிசுத்தான்	Kirgizië
அரிசோனா	Arizona (staat)
குவைத்	Koeweit
லாவோஸ்	Laos
லெபனான்	Libanon
ஓரிகன்	Oregon
மாலைத்தீவுகள்	Maldiven
அமெரிக்காக்கள்	Amerika (continent)
யூட்டா	Utah
மாடு	Rund
மலேசியா	Maleisië
மியான்மர்	Myanmar
நேபாளம்	Nepal
ஓமான்	Oman
பாக்கித்தான்	Pakistan
ஜேம்ஸ் பாண்ட்	James Bond
கத்தார்	Qatar
டென்னிசு	Tennis
மைசீக்குவெல்	MySQL
சவூதி அரேபியா	Saoedi-Arabië
இலங்கை	Sri Lanka
ஜோசப் ஸ்டாலின்	Jozef Stalin
பார்கோடு	Streepjescode
சிரியா	Syrië
பிளேட்டோ	Plato
காலியம்	Gallium
தஜிகிஸ்தான்	Tadzjikistan
பொகெமொன்	Pokémon
சீனக் குடியரசு	Taiwan
யூடியூப்	YouTube
ஜேர்மானியம்	Germanium
அரிசுட்டாட்டில்	Aristoteles
தாய்லாந்து	Thailand
தொடர்வண்டி	Trein
ஆர்சனிக்	Arseen
வானொலி	Radio
மெரில் ஸ்ட்ரீப்	Meryl Streep
துருக்மெனிஸ்தான்	Turkmenistan
செலீனியம்	Seleen
இரிடியம்	Iridium (element)
ஐக்கிய அரபு அமீரகம்	Verenigde Arabische Emiraten
புரோமின்	Broom (element)
பிளாட்டினம்	Platina
வியட்நாம்	Vietnam
சார்லி சாப்ளின்	Charlie Chaplin
தென் கொரியா	Zuid-Korea
கிரிப்டான்	Krypton (element)
ஆப்கானித்தான்	Afghanistan
கங்னம் ஸ்டைல்	Gangnam Style
ஜே. ஆர். ஆர். டோல்கீன்	J.R.R. Tolkien
எலுமிச்சைச்சாறு	Limonade (drank)
ருபீடியம்	Rubidium
தங்கம்	Goud
சுயஸ் கால்வாய்	Suezkanaal
அறிவியலாளர்	Wetenschapper
வங்காளதேசம்	Bangladesh
பிரான்ஸ் காஃப்கா	Franz Kafka
ஹோர்ஹே லூயிஸ் போர்கெஸ்	Jorge Luis Borges
மாலி	Mali
சாக்கிரட்டீசு	Socrates (filosoof)
வோல்கோகிராட்	Wolgograd
அங்கோலா	Angola
பூட்டான்	Bhutan
டுவிட்டர்	Twitter
புரூணை	Brunei
தன்சானியா	Tanzania
பாதரசம்	Kwik
ருவால் அமுன்சென்	Roald Amundsen
ஆரி முலிச்	Harry Mulisch
பிலிப்பீன்சு	Filipijnen
மத்திய ஆப்பிரிக்கக் குடியரசு	Centraal-Afrikaanse Republiek
நருடோ உஜுமகி	Naruto Uzumaki
தாலியம்	Thallium
தென் துருவம்	Zuidpool
வட துருவம்	Noordpool
ஐசாக் நியூட்டன்	Isaac Newton
ஆல்பர்ட் ஐன்ஸ்டைன்	Albert Einstein
இசுட்ரோன்சியம்	Strontium
பிரேசிலின் முதலாம் பெட்ரோ	Peter I van Brazilië
இயிற்றியம்	Yttrium
பிசுமத்	Bismut
மஞ்சள் (நிறம்)	Geel (kleur)
குவாண்டம் விசையியல்	Kwantummechanica
டோகோ	Togo
துனீசியா	Tunesië
ஜான் பார்டீன்	John Bardeen
சாம்பியா	Zambia
சிம்பாப்வே	Zimbabwe
பெய்ஜிங்	Peking
தெற்கு சூடான்	Zuid-Soedan
விலாடிவொஸ்டொக்	Vladivostok
பெனின்	Benin
போட்சுவானா	Botswana
விக்கிசெய்தி	Wikinews
புர்க்கினா பாசோ	Burkina Faso
புருண்டி	Burundi
கொமொரோசு	Comoren
கொங்கோ குடியரசு	Congo-Brazzaville
காங்கோ மக்களாட்சிக் குடியரசு	Congo-Kinshasa
சான் அந்தோனியோ	San Antonio (Texas)
சீபூத்தீ	Djibouti (land)
பொலோனியம்	Polonium
பவேரியா	Beieren
எக்குவடோரியல் கினி	Equatoriaal-Guinea
பாடன்-வுயர்ட்டம்பெர்கு	Baden-Württemberg
எரித்திரியா	Eritrea
புது தில்லி	New Delhi
திருத்தந்தை இரண்டாம் அருள் சின்னப்பர்	Paus Johannes Paulus II
பியோதர் தஸ்தயெவ்ஸ்கி	Fjodor Dostojevski
கம்சாத்கா தீபகற்பம்	Kamtsjatka (schiereiland)
திபிலீசி	Tbilisi
குழந்தை	Baby
அசுட்டட்டைன்	Astaat
காபோன்	Gabon
மோகன்தாசு கரம்சந்த் காந்தி	Mohandas Karamchand Gandhi
வரைகதை	Stripverhaal
காம்பியா	Gambia (land)
கினி	Guinee
கினி-பிசாவு	Guinee-Bissau
கோட் டிவார்	Ivoorkust
கமரூன்	Kameroen
கேப் வர்டி	Kaapverdië
லெசோத்தோ	Lesotho
லைபீரியா	Liberia
லிபியா	Libië
ஆஃகன்	Aken (stad)
மடகாசுகர்	Madagaskar
மலாவி	Malawi
இசுடுட்கார்ட்	Stuttgart
மூரித்தானியா	Mauritanië
மொரிசியசு	Mauritius (land)
மொரோக்கோ	Marokko
மொசாம்பிக்	Mozambique
நமீபியா	Namibië
நைஜர்	Niger (land)
நைஜீரியா	Nigeria
சார்லஸ் டார்வின்	Charles Darwin
உகாண்டா	Oeganda
ருவாண்டா	Rwanda
சிர்க்கோனியம்	Zirkonium
சாவோ டொமே மற்றும் பிரின்சிப்பி	Sao Tomé en Principe
செனிகல்	Senegal
சீசெல்சு	Seychellen
கரோலஸ் லின்னேயஸ்	Carolus Linnaeus
சியேரா லியோனி	Sierra Leone
சோமாலியா	Somalië
நையோபியம்	Niobium
ஜவகர்லால் நேரு	Jawaharlal Nehru
யூலியசு சீசர்	Julius Caesar
சூடான்	Soedan
சுவாசிலாந்து	Swaziland
வானவில்	Regenboog (optica)
மாலிப்டினம்	Molybdeen
டெக்னீசியம்	Technetium
வளர்சிதைமாற்றம்	Stofwisseling
நரேந்திர மோதி	Narendra Modi
நோய் எதிர்ப்பாற்றல் முறைமை	Immuunsysteem
குசராத்து	Gujarat
ஒண்டாரியோ ஏரி	Ontariomeer
படிவளர்ச்சிக் கொள்கை	Evolutie (biologie)
ஐக்கிய நாடுகள் அவை	Verenigde Naties
சுப்பீரியர் ஏரி	Bovenmeer
டான்டே அலிகியேரி	Dante Alighieri
நிலவியல்	Geologie
அகமதாபாத்	Ahmedabad (stad)
புவியியல்	Aardrijkskunde
இதயம்	Hart
மனித மூளை	Hersenen
தோல்	Huid
நிறம்	Kleur
பிரேக்கிங் பேட்	Breaking Bad
சலேர்னோ	Salerno (stad)
பெயர்ச்சொல்	Zelfstandig naamwoord
பிராகா	Praag
ருத்தேனியம்	Ruthenium
ரோடியம்	Rhodium
நீலம்	Blauw (kleur)
பலேடியம்	Palladium (element)
வெள்ளி (தனிமம்)	Zilver
காட்மியம்	Cadmium
இண்டியம்	Indium
வெள்ளீயம்	Tin (element)
யுரேனியம்	Uranium
அந்திமனி	Antimoon
தெலூரியம்	Telluur
புளுட்டோனியம்	Plutonium
அயோடின்	Jodium (element)
நெப்டியூனியம்	Neptunium
செனான்	Xenon
அனிமே	Anime
சீசியம்	Cesium
புரோடாக்டினியம்	Protactinium
மின்மம்	Elektrische lading
பேரியம்	Barium
தோரியம்	Thorium
ஆஃபினியம்	Hafnium
ஆக்டினியம்	Actinium
டாண்ட்டலம்	Tantaal
பில் கிளின்டன்	Bill Clinton
ரேடியம்	Radium
ரேடான்	Radon (element)
இந்திரா காந்தி	Indira Gandhi
மெர்க்குரி (தொன்மவியல்)	Mercurius (mythologie)
ஹெக்டர் பேர்லியோஸ்	Hector Berlioz
ஜாம்நகர்	Jamnagar (stad)
மும்பை	Bombay
தடகள விளையாட்டுக் கூட்டமைப்புகளின் பன்னாட்டுச் சங்கம்	International Association of Athletics Federations
ஆந்திரப் பிரதேசம்	Andhra Pradesh
அருணாசலப் பிரதேசம்	Arunachal Pradesh
அசாம்	Assam
பீகார்	Bihar
மிச்சிகன்	Michigan
சத்தீசுகர்	Chhattisgarh
கோவா (மாநிலம்)	Goa (India)
அரியானா	Haryana
இமாச்சலப் பிரதேசம்	Himachal Pradesh
சம்மு காசுமீர்	Jammu en Kasjmir (staat)
புவேர்ட்டோ ரிக்கோ	Puerto Rico
சார்க்கண்ட்	Jharkhand
கருநாடகம்	Karnataka
கேரளம்	Kerala
மத்தியப் பிரதேசம்	Madhya Pradesh
உசேன் போல்ட்	Usain Bolt
மகாராட்டிரம்	Maharashtra
மணிப்பூர்	Manipur
மேகாலயா	Meghalaya
ஹெஸென்	Hessen
ஜான் லெனன்	John Lennon
இலினொய்	Illinois (staat)
வடக்கு டகோட்டா	North Dakota
லோம்பார்டி	Lombardije
தெற்கு டகோட்டா	South Dakota
மொன்ட்டானா	Montana (staat)
வயோமிங்	Wyoming
