ਅਫ਼ਰੀਕਾ	Afrika
ਵੀਰਵਾਰ	Donderdag
ਸ਼ੁੱਕਰਵਾਰ	Vrijdag
ਸ਼ਨਿੱਚਰਵਾਰ	Zaterdag
ਐਤਵਾਰ	Zondag
ਫ਼ਰਾਂਸ	Frankrijk
ਏਸਪੇਰਾਂਤੋ	Esperanto
ਕੁੱਤਾ	Hond
ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	Verenigd Koninkrijk
ਬਿੱਲੀ	Kat (dier)
ਚੀਨ ਲੋਕ ਗਣਰਾਜ	Volksrepubliek China
ਫ਼ਰਾਂਸੀਸੀ ਭਾਸ਼ਾ	Frans
ਵਿਕਸ਼ਨਰੀ	Wiktionary
ਮੱਛੀ	Vissen (dieren)
ਈਥੇਨੋਲ	Ethanol
ਬ੍ਰਾਜ਼ੀਲ	Brazilië
ਅਲਕੋਹਲ	Alcohol (stofklasse)
ਫਰਾਂਸੋਆ ਔਲਾਂਦ	François Hollande
ਰੂਸ	Rusland
ਪ੍ਰਕਾਸ਼ੀ ਤੰਦ	Optische vezel
ਸਮੁੰਦਰ	Zee
ਕਾਲ਼ਾ ਸਮੁੰਦਰ	Zwarte Zee
ਪਾਈ	Pi (wiskunde)
ਪਾਈ (ਅੱਖਰ)	Pi (letter)
ਟੋਰਾਂਟੋ	Toronto
ਅਲਾਬਾਮਾ	Alabama
ਸਾਓ ਪਾਉਲੋ	São Paulo (stad)
ਕੇਬੈਕ	Quebec (provincie)
ਪੀਜ਼ਾ	Pizza
ਵਿਕੀਮੀਡੀਆ ਫ਼ਾਊਂਡੇਸ਼ਨ	Wikimedia Foundation
ਜਿੰਮੀ ਵੇਲਸ	Jimmy Wales
ਜਰਮਨੀ	Duitsland
ਬੇਲਾਰੂਸ	Wit-Rusland
ਜਰਮਨ ਭਾਸ਼ਾ	Duits
ਆਈਸਲੈਂਡ	IJsland
ਪਰਮਾਤਮਾ	God (monotheïsme)
ਇਸਤੋਨੀਆ	Estland
ਸ਼ਨੀ (ਗ੍ਰਹਿ)	Saturnus (planeet)
ਹਵਾਈ ਜਹਾਜ਼	Vliegtuig
ਜੰਗ	Oorlog
੧ (ਅੰਕ)	1 (getal)
੨ (ਅੰਕ)	2 (getal)
੩ (ਅੰਕ)	3 (getal)
੪ (ਅੰਕ)	4 (getal)
੫ (ਅੰਕ)	5 (getal)
ਸਿਫ਼ਰ (ਅੰਕ)	0 (getal)
ਸਟੀਵਨ ਹਾਰਪਰ	Stephen Harper
ਜਾਰਜ ਵਾਕਰ ਬੁਸ਼	George W. Bush
ਲਾਤਵੀਆ	Letland
ਯੂਕਰੇਨ	Oekraïne
ਚੈੱਕ ਗਣਰਾਜ	Tsjechië
ਸਲੋਵਾਕੀਆ	Slowakije
ਸਲੋਵੇਨੀਆ	Slovenië
ਵਿਲਨਸ	Vilnius
ਮੋਲਦੋਵਾ	Moldavië (land)
ਰੋਮਾਨੀਆ	Roemenië
ਬੁਲਗਾਰੀਆ	Bulgarije
ਰੋਮ	Rome (stad)
ਮਕਦੂਨੀਆ ਗਣਰਾਜ	Macedonië (land)
ਅਲਬਾਨੀਆ	Albanië
ਗਰੀਨਲੈਂਡ	Groenland
ਕ੍ਰੋਏਸ਼ੀਆ	Kroatië
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	Bosnië en Herzegovina
ਨੂਕ	Nuuk
ਅਜ਼ਰਬਾਈਜਾਨ	Azerbeidzjan
ਅੰਡੋਰਾ	Andorra
ਸਾਇਪ੍ਰਸ	Cyprus
ਜਾਰਜੀਆ (ਦੇਸ਼)	Georgië
ਕਜ਼ਾਖ਼ਸਤਾਨ	Kazachstan
ਮਾਲਟਾ	Malta (land)
ਮੋਨਾਕੋ	Monaco
ਮੋਂਟੇਨੇਗਰੋ	Montenegro
ਵੈਟੀਕਨ ਸ਼ਹਿਰ	Vaticaanstad
ਸਾਨ ਮਰੀਨੋ	San Marino
ਬਰੱਸਲਸ (ਸ਼ਹਿਰ)	Brussels Hoofdstedelijk Gewest
ਕਿਊਬਾ	Cuba (land)
ਬੇਲੀਜ਼	Belize (land)
ਆਈਫ਼ਲ ਟਾਵਰ	Eiffeltoren
ਬਾਰਬਾਡੋਸ	Barbados
ਫ਼ੌਕਸਵੈਗਨ	Volkswagen
ਇਨਟੈੱਲ	Intel
ਜਾਵਾ (ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ)	Java (programmeertaal)
ਇੰਡੋਨੇਸ਼ੀਆ	Indonesië
ਵੋਲਫ਼ਗਾਂਗ ਆਮਾਡੇਅਸ ਮੋਜ਼ਾਰਟ	Wolfgang Amadeus Mozart
ਲੁਡਵਿਗ ਵਾਨ ਬੀਥੋਵਨ	Ludwig van Beethoven
ਤੁਰਕ ਭਾਸ਼ਾ	Turks
ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ	Zuid-Afrika
ਅਲਜੀਰੀਆ	Algerije
ਉਜ਼ਬੇਕਿਸਤਾਨ	Oezbekistan
ਤਾਸ਼ਕੰਤ	Tasjkent
ਵਾਰਸਾ	Warschau
ਵਾਈਨ	Wijn
ਪਾਣੀ	Water
ਚਮੜਾ	Leer (stof)
ਲੱਕੜ	Hout
ਟੀਵੀ	Televisie
ਫ਼ਾਹਸ਼ ਰਚਨਾ	Pornografie
ਕਲੌਦ ਮੋਨੇ	Claude Monet
ਡਿਏਗੋ ਵੇਲਾਕਿਉਜ	Diego Velázquez (kunstschilder)
ਚੀਲੇ	Chili
ਈਸਾ ਮਸੀਹ	Jezus (traditioneel-christelijk)
ਗੈਲੀਲਿਓ ਗੈਲੀਲੀ	Galileo Galilei
ਬੁੱਧ (ਗ੍ਰਹਿ)	Mercurius (planeet)
ਇਤਿਹਾਸ	Geschiedenis
ਐਪਲ	Apple Inc.
ਭਾਸ਼ਾ	Taal
ਪਿਆਰ	Liefde
ਤਾਨਾਸ਼ਾਹੀ	Dictatuur
ਅਕਾਸ਼ਗੰਗਾ	Sterrenstelsel
ਬ੍ਰਹਿਸਪਤ (ਗ੍ਰਹਿ)	Jupiter (planeet)
ਮਿਸ਼ੇਲ ਬਾਚੇਲੇਤ	Michelle Bachelet
ਮਿਲਕੀ ਵੇ	Melkweg (sterrenstelsel)
ਮਹਾਂ ਧਮਾਕਾ	Oerknal
ਯੁਰੇਨਸ (ਗ੍ਰਹਿ)	Uranus (planeet)
ਅੰਗਰੇਜ਼ੀ ਵਿਕੀਪੀਡੀਆ	Engelstalige Wikipedia
ਵਰੁਣ (ਗ੍ਰਹਿ)	Neptunus (planeet)
ਤਾਰਾ ਵਿਗਿਆਨ	Astronomie
ਸਿੰਗਾਪੁਰ	Singapore
ਵਿਗਿਆਨ	Wetenschap
ਪਲੂਟੋ	Pluto (dwergplaneet)
ਮਾਂਟਰੀਆਲ	Montreal (Canada)
ਆਜ਼ਾਦ ਸਾਫ਼ਟਵੇਅਰ	Vrije software
ਕੁਆਰੀ ਮਰੀਅਮ	Maria (moeder van Jezus)
ਲੀਖਟਨਸ਼ਟਾਈਨ	Liechtenstein
ਖੇਡ	Sport
ਕੈਂਬਰਿਜ	Cambridge (Verenigd Koninkrijk)
ਅਡੋਲਫ ਹਿਟਲਰ	Adolf Hitler
ਫ਼ੇਸਬੁੱਕ	Facebook
ਵਿਕੀਲੀਕਸ	WikiLeaks
ਪਹਿਲੀ ਸੰਸਾਰ ਜੰਗ	Eerste Wereldoorlog
ਦੂਜੀ ਸੰਸਾਰ ਜੰਗ	Tweede Wereldoorlog
ਕਲਨ	Keulen (stad)
ਭ੍ਰਿਸ਼ਟਾਚਾਰ	Corruptie
ਘੜੀ	Klok (tijd)
ਉਬੁੰਟੂ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Ubuntu (Linuxdistributie)
ਸਕੋਪੀਏ	Skopje
ਲਿਨਕਸ	Linux
ਹਿਸਾਬ	Wiskunde
ਬਹਿਰੀਨ	Bahrein
ਅਰਮੀਨੀਆ	Armenië
ਕੀਲਾਕਾਰ ਲਿਪੀ	Spijkerschrift
ਹਿਗਜ਼ ਬੋਸੌਨ	Higgsboson
ਸਰਬੀਆ	Servië
ਚੰਦਰਮਾ	Maan
ਇਸਤਾਨਬੁਲ	Istanboel
ਆਸਟਰੇਲੀਆ	Australië (land)
ਬਾਬ ਮਾਰਲੇ	Bob Marley
ਭੌਤਿਕ ਵਿਗਿਆਨ	Natuurkunde
ਅਰਜਨਟੀਨਾ	Argentinië
ਪੇਰੂ	Peru
ਜੀਵ ਵਿਗਿਆਨ	Biologie
ਉੱਡਣ ਤਸ਼ਤਰੀ	Unidentified flying object
ਉੱਤਰੀ ਕੋਰੀਆ	Noord-Korea
ਕੰਬੋਡੀਆ	Cambodja
ਪਸ਼ੂ ਅਧਿਕਾਰ	Dierenrechten
ਕੁਰਾਨ	Koran
ਡਾਈਨੋਸੌਰ	Dinosauriërs
ਜੰਤੂ ਵਿਗਿਆਨ	Zoölogie
ਇਸਲਾਮ	Islam
ਲਿਊਬਲਿਆਨਾ	Ljubljana
ਬਨਸਪਤੀ ਵਿਗਿਆਨ	Plantkunde
ਦੇਨੀ ਦਿਦਰੋ	Denis Diderot
ਅਮਨ	Vrede
ਇਨਸਾਈਕਲੋਪੀਡੀਆ ਬ੍ਰਿਟੈਨਿਕਾ	Encyclopædia Britannica
ਲਿਓਂ	Lyon
ਯੂਰਪੀ ਸੰਘ	Europese Unie
ਇੰਟਰਨੈੱਟ ਅਰਕਾਈਵ	Internet Archive
ਰੋਨ-ਆਲਪ	Rhône-Alpes
ਵਰਲਡ ਵਾਈਡ ਵੈੱਬ	Wereldwijd web
ਔਰਤ	Vrouw
ਸੋਫ਼ੀਆ	Sofia (stad)
ਦੌਨ ਕੀਖ਼ੋਤੇ	Don Quichot (boek)
ਕਵਿਤਾ	Poëzie
ਆਰਥਰ ਰਿੰਬੋ	Arthur Rimbaud
ਨਿੰਬੂ	Citroen (vrucht)
ਸ਼ਾਰਲ ਬੌਦੇਲੈਰ	Charles Baudelaire
ਸਤੇਂਦਾਲ	Stendhal
ਐਮਿਲ ਜ਼ੋਲਾ	Émile Zola
ਮਾਊਂਟ ਐਵਰੈਸਟ	Mount Everest
ਅੰਗ ਵਿਗਿਆਨ	Anatomie
ਸ਼ਹਿਰ	Stad
ਨਪੋਲੀਅਨ	Napoleon Bonaparte
ਤਾਰਾ	Ster (hemellichaam)
ਸੂਰਜ	Zon
ਅਕਾਸ਼	Hemelgewelf
ਪ੍ਰਕਾਸ਼-ਸਾਲ	Lichtjaar
ਪਿੰਡ	Dorp
ਵਿਕਤੋਰ ਊਗੋ	Victor Hugo
ਓਸ਼ੇਨੀਆ	Oceanië
ਜੂਜ਼ੈੱਪੇ ਗਾਰੀਬਾਲਦੀ	Giuseppe Garibaldi
ਅਥਲੈਟਿਕਸ	Atletiek
ਸੂਰਜ ਮੰਡਲ	Zonnestelsel
ਬਾਲਟਿਕ ਸਮੁੰਦਰ	Oostzee
ਸ਼ਾਂਜ਼-ਏਲੀਜ਼ੇ	Avenue des Champs-Élysées
ਹਾਈਡਰੋਜਨ	Waterstof (element)
ਹੀਲੀਅਮ	Helium
ਮਨੁੱਖੀ ਦੰਦ	Tand (mens)
ਵਿਕੀਮੀਡੀਆ ਕਾਮਨਜ਼	Wikimedia Commons
ਐਂਜਿਲਾ ਮੇਰਕਲ	Angela Merkel
ਲਿਥੀਅਮ	Lithium (element)
ਬੇਰਿਲੀਅਮ	Beryllium
ਕਿਤਾਬ	Boek (document)
ਦਿਨ	Dag
ਪੂਰਬੀ ਤਿਮੋਰ	Oost-Timor
ਰਾਤ	Nacht
ਸਾਲ	Jaar
ਸਦੀ	Eeuw
ਰਾਈਨ ਦਰਿਆ	Rijn
ਓਸਲੋ	Oslo
ਬੌਨ	Bonn
ਬਲੈਕ ਹੋਲ	Zwart gat
ਲਿਸਬਨ	Lissabon
ਰੋਨ ਦਰਿਆ	Rhône (rivier)
ਦੁਬਈ	Dubai (emiraat)
ਲਿਓਨਲ ਮੈਸੀ	Lionel Messi
ਬੋਰਾਨ	Boor (element)
ਕਾਰਬਨ	Koolstof
ਵੋਲਗਾ ਦਰਿਆ	Wolga
ਨਾਈਟਰੋਜਨ	Stikstof (element)
ਆਕਸੀਜਨ	Zuurstof (element)
ਇੰਟਰ ਮਿਲਣ	FC Internazionale Milano
ਗ੍ਰਹਿ	Planeet
ਸੰਗੀਤ	Muziek
ਵੈਨਿਸ	Venetië (stad)
ਲੀਲ	Rijsel
ਮਾਸਕੋ	Moskou
ਫ਼ਲੋਰੀਨ	Fluor (element)
ਇਤਾਲਵੀ ਭਾਸ਼ਾ	Italiaans (taal)
ਨੀਆਨ	Neon (element)
ਚੀਵਾਵਾ (ਰਾਜ)	Chihuahua (staat)
ਸੇਂਟ ਪੀਟਰਸਬਰਗ	Sint-Petersburg
ਚਾਡ	Tsjaad
ਸੋਡੀਅਮ	Natrium
ਉੱਤਰ	Noord (windstreek)
ਮੈਗਨੀਸ਼ੀਅਮ	Magnesium
ਐਲਮੀਨੀਅਮ	Aluminium
ਨਿਊਜ਼ੀਲੈਂਡ	Nieuw-Zeeland
ਦੱਖਣ	Zuid
ਭਾਰਤ	India
ਸਿਲੀਕਾਨ	Silicium
ਫ਼ਰਾਂਸੀਅਮ	Francium
ਤੁਵਾਲੂ	Tuvalu
ਫ਼ਾਸਫ਼ੋਰਸ	Fosfor
ਲੋਹਾ	IJzer (element)
ਟੋਂਗਾ	Tonga (land)
ਪੱਛਮ	West
ਗੰਧਕ	Zwavel
ਸਮੋਆ	Samoa
ਪੂਰਬ	Oost (windstreek)
ਸੋਲੋਮਨ ਟਾਪੂ	Salomonseilanden
ਵਨੁਆਤੂ	Vanuatu
ਮੋਲੀਏਰ	Molière (schrijver)
ਕਲੋਰੀਨ	Chloor (element)
ਪਾਪੂਆ ਨਿਊ ਗਿਨੀ	Papoea-Nieuw-Guinea
ਵਿਲੀਅਮ ਸ਼ੇਕਸਪੀਅਰ	William Shakespeare
ਪਲਾਊ	Palau (land)
ਆਰਗਾਨ	Argon
ਨਾਉਰੂ	Nauru
ਫ਼ਾਇਰਫ਼ੌਕਸ	Mozilla Firefox
ਪਰੀ ਕਥਾ	Sprookje
ਮਾਈਕ੍ਰੋਨੇਸ਼ੀਆ ਦੇ ਸੰਘੀ ਰਾਜ	Micronesia
ਪੋਟਾਸ਼ੀਅਮ	Kalium
ਓਲੰਪੀਕ ਲਿਉਨੇ	Olympique Lyonnais
ਕੈਲਸ਼ੀਅਮ	Calcium
ਸਿੱਕਾ	Lood (element)
ਮਾਰਸ਼ਲ ਟਾਪੂ	Marshalleilanden
ਕਿਰੀਬਾਸ	Kiribati
ਮੰਗੋਲੀਆ	Mongolië
ਫ਼ਿਜੀ	Fiji
ਸਕੈਂਡੀਅਮ	Scandium
ਟਾਈਟੇਨੀਅਮ	Titanium
ਵੈਨੇਜ਼ੁਐਲਾ	Venezuela
ਸ਼ਤਰੰਜ	Schaken
ਚੰਗੇਜ਼ ਖ਼ਾਨ	Dzjengis Khan
ਵੈਨੇਡੀਅਮ	Vanadium
ਮੇਨ	Maine
ਕਰੋਮੀਅਮ	Chroom (element)
ਘੋੜਾ	Paard (dier)
ਅਮਸਤੱਰਦਮ	Amsterdam
ਹਥਿਆਰ	Gevechtswapen
ਜੰਤੂ	Dierenrijk
ਸੂਰੀਨਾਮ	Suriname
ਮੈਂਗਨੀਜ਼	Mangaan
ਪੈਰਾਗੁਏ	Paraguay
ਗੁਇਆਨਾ	Guyana
ਕਲਾ	Kunst
ਏਕੁਆਦੋਰ	Ecuador
ਰੀਨੀਅਮ	Renium
ਕੋਲੰਬੀਆ	Colombia
ਕੋਬਾਲਟ	Kobalt
ਟੰਗਸਟਨ	Wolfraam
ਨਿਕਲ	Nikkel
ਬੁੱਧ ਧਰਮ	Boeddhisme
ਬੋਲੀਵੀਆ	Bolivia
ਓਸਮੀਅਮ	Osmium
ਤਾਂਬਾ	Koper (element)
ਤ੍ਰਿਨੀਦਾਦ ਅਤੇ ਤੋਬਾਗੋ	Trinidad en Tobago
ਬੂਟਾ	Planten
ਸੇਂਟ ਵਿਨਸੈਂਟ ਅਤੇ ਗ੍ਰੇਨਾਡੀਨਜ਼	Saint Vincent en de Grenadines
ਜਿਸਤ	Zink (element)
ਨਿਊ ਹੈਂਪਸ਼ਰ	New Hampshire
ਸੇਂਟ ਲੂਸੀਆ	Saint Lucia
ਲਿਓਨਾਰਦੋ ਦਾ ਵਿੰਚੀ	Leonardo da Vinci
ਸੇਂਟ ਕਿਟਸ ਅਤੇ ਨੇਵਿਸ	Saint Kitts en Nevis
ਉੱਲੀ	Schimmels
ਦਾਰੀਓ ਫ਼ੋ	Dario Fo
ਜਮੈਕਾ	Jamaica
ਗ੍ਰੇਨਾਡਾ	Grenada
ਮੈਸਾਚੂਸਟਸ	Massachusetts
ਗੁਆਤੇਮਾਲਾ	Guatemala
ਬਹਾਮਾਸ	Bahama's
ਕਨੈਟੀਕਟ	Connecticut
ਐਂਟੀਗੁਆ ਅਤੇ ਬਰਬੂਡਾ	Antigua en Barbuda
ਹਵਾਈ	Hawaï
ਹਾਂਡੂਰਾਸ	Honduras
ਡੋਮਿਨਿਕਾ	Dominica
ਜਰਸੀ	Jersey (eiland)
ਡੋਮਿਨਿਕਾਈ ਗਣਰਾਜ	Dominicaanse Republiek
ਆਰਕਟਿਕ ਮਹਾਂਸਾਗਰ	Noordelijke IJszee
ਹੈਤੀ	Haïti
ਸਾਲਵਾਦੋਰ	El Salvador
ਇਰਾਨ	Iran
ਇਰਾਕ	Irak
ਅਲਾਸਕਾ	Alaska
ਸਿਆਣਪ	Wijsheid (deugd)
ਕੋਸਤਾ ਰੀਕਾ	Costa Rica
ਇਜ਼ਰਾਇਲ	Israël
ਪਨਾਮਾ	Panama (land)
ਯਮਨ	Jemen
ਵਿਸ਼ਾਣੂ	Virus (biologie)
ਪੋਲਿਸ਼ ਭਾਸ਼ਾ	Pools
ਜਾਰਡਨ	Jordanië
ਨਿਕਾਰਾਗੁਆ	Nicaragua
ਫ਼ਲੌਰਿਡਾ	Florida (staat)
ਕਿਰਗਿਜ਼ਸਤਾਨ	Kirgizië
ਐਰੀਜ਼ੋਨਾ	Arizona (staat)
ਕੁਵੈਤ	Koeweit
ਲਾਉਸ	Laos
ਲਿਬਨਾਨ	Libanon
ਔਰੇਗਨ	Oregon
ਮਾਲਦੀਵ	Maldiven
ਅਮਰੀਕਾ (ਮਹਾਂ-ਮਹਾਂਦੀਪ)	Amerika (continent)
ਯੂਟਾ	Utah
ਮਲੇਸ਼ੀਆ	Maleisië
ਮਿਖਾਇਲ ਬੁਲਗਾਕੋਵ	Michail Boelgakov
ਮਿਆਂਮਾਰ	Myanmar
ਨੇਪਾਲ	Nepal
ਉਮਾਨ	Oman
ਪਾਕਿਸਤਾਨ	Pakistan
ਕਤਰ	Qatar
ਗੇਂਦ-ਛਿੱਕਾ	Tennis
ਸਾਊਦੀ ਅਰਬ	Saoedi-Arabië
ਸ੍ਰੀਲੰਕਾ	Sri Lanka
ਜੋਸਿਫ਼ ਸਟਾਲਿਨ	Jozef Stalin
ਸੀਰੀਆ	Syrië
ਅਫਲਾਤੂਨ	Plato
ਗੈਲੀਅਮ	Gallium
ਤਾਜਿਕਸਤਾਨ	Tadzjikistan
ਤਾਇਵਾਨ	Taiwan
ਯੂਟਿਊਬ	YouTube
ਜਰਮੇਨੀਅਮ	Germanium
ਅਰਸਤੂ	Aristoteles
ਥਾਈਲੈਂਡ	Thailand
ਸੰਖੀਆ	Arseen
ਮੇਰਿਲ ਸਟਰੀਪ	Meryl Streep
ਤੁਰਕਮੇਨਸਤਾਨ	Turkmenistan
ਅਬਾਕਾਨ	Abakan (stad)
ਸਿਲੀਨੀਅਮ	Seleen
ਇਰੀਡੀਅਮ	Iridium (element)
ਸੰਯੁਕਤ ਅਰਬ ਇਮਰਾਤ	Verenigde Arabische Emiraten
ਬ੍ਰੋਮੀਨ	Broom (element)
ਪਲੈਟੀਨਮ	Platina
ਵੀਅਤਨਾਮ	Vietnam
ਚਾਰਲੀ ਚੈਪਲਿਨ	Charlie Chaplin
ਦੱਖਣੀ ਕੋਰੀਆ	Zuid-Korea
ਕ੍ਰਿਪਟਾਨ	Krypton (element)
ਅਫਗਾਨਿਸਤਾਨ	Afghanistan
ਗੰਗਨਮ ਸਟਾਈਲ	Gangnam Style
ਰੁਬੀਡੀਅਮ	Rubidium
ਸੋਨਾ	Goud
ਸੁਏਸ ਨਹਿਰ	Suezkanaal
ਵਿਗਿਆਨੀ	Wetenschapper
ਬੰਗਲਾਦੇਸ਼	Bangladesh
ਫ਼ਰੈਂਜ਼ ਕਾਫ਼ਕਾ	Franz Kafka
ਹੋਰਹੇ ਲੂਈਸ ਬੋਰਗੇਸ	Jorge Luis Borges
ਮਾਲੀ	Mali
ਸੁਕਰਾਤ	Socrates (filosoof)
ਵੋਲਗਾਗਰਾਡ	Wolgograd
ਅੰਗੋਲਾ	Angola
ਭੂਟਾਨ	Bhutan
ਟਵਿਟਰ	Twitter
ਬਰੂਨਾਈ	Brunei
ਤਨਜ਼ਾਨੀਆ	Tanzania
ਪਾਰਾ	Kwik
ਫਿਲੀਪੀਨਜ਼	Filipijnen
ਮੱਧ ਅਫਰੀਕੀ ਗਣਰਾਜ	Centraal-Afrikaanse Republiek
ਥੈਲੀਅਮ	Thallium
ਆਇਜ਼ਕ ਨਿਊਟਨ	Isaac Newton
ਅਲਬਰਟ ਆਈਨਸਟਾਈਨ	Albert Einstein
ਸਟਰੌਂਸ਼ਮ	Strontium
ਬਿਸਮਥ	Bismut
ਪੀਲ਼ਾ (ਰੰਗ)	Geel (kleur)
ਮਿਕਦਾਰ ਮਕੈਨਕੀ	Kwantummechanica
ਟੋਗੋ	Togo
ਤੁਨੀਸੀਆ	Tunesië
ਜ਼ਾਂਬੀਆ	Zambia
ਜ਼ਿੰਬਾਬਵੇ	Zimbabwe
ਬੀਜਿੰਗ	Peking
ਦੱਖਣੀ ਸੁਡਾਨ	Zuid-Soedan
ਬੇਨਿਨ	Benin
ਬੋਤਸਵਾਨਾ	Botswana
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	Burkina Faso
ਬੁਰੂੰਡੀ	Burundi
ਕਾਮਾਰੋਸ	Comoren
ਕਾਂਗੋ ਗਣਰਾਜ	Congo-Brazzaville
ਓਬ ਦਰਿਆ	Ob (rivier)
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	Congo-Kinshasa
ਸਾਨ ਆਂਤੋਨੀਓ	San Antonio (Texas)
ਜਿਬੂਤੀ	Djibouti (land)
ਮੀਮ	Meme (memetica)
ਪੋਲੋਨੀਅਮ	Polonium
ਬਾਈਆਨ	Beieren
ਭੂ-ਮੱਧ ਰੇਖਾਈ ਗਿਨੀ	Equatoriaal-Guinea
ਬਾਡਨ-ਵਰਟਮਬਰਕ	Baden-Württemberg
ਇਰੀਤਰੀਆ	Eritrea
ਨਵੀਂ ਦਿੱਲੀ	New Delhi
ਫ਼ਿਓਦਰ ਦਾਸਤੋਵਸਕੀ	Fjodor Dostojevski
ਤਬੀਲਿਸੀ	Tbilisi
ਐਸਟਾਟੀਨ	Astaat
ਗਬਾਨ	Gabon
ਮੋਹਨਦਾਸ ਕਰਮਚੰਦ ਗਾਂਧੀ	Mohandas Karamchand Gandhi
ਕੌਮਿਕਸ	Stripverhaal
