Áfríkà	Afrika
Sístẹ̀mù Òrùn	Zonnestelsel
Háídrójìn	Waterstof (element)
Hílíọ̀mù	Helium
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lítíọ̀mù	Lithium (element)
Bẹ́rílíọ̀mù	Beryllium
Ìwé	Boek (document)
Ọjọ́	Dag
Ìlàòrùn Timor	Oost-Timor
Ọdún	Jaar
Ọ̀rúndún	Eeuw
Carlos Ibáñez del Campo	Carlos Ibáñez del Campo
Oslo	Oslo
Lisbon	Lissabon
Dubai	Dubai (emiraat)
Bórọ̀nù	Boor (element)
Nicolaus Copernicus	Nicolaas Copernicus
Kárbọ̀nù	Koolstof
Nítrójìn	Stikstof (element)
Ọ́ksíjìn	Zuurstof (element)
Plánẹ̀tì	Planeet
Cleopatra 7k	Cleopatra VII
Orin	Muziek
Lille	Rijsel
Mọsko	Moskou
Fluorínì	Fluor (element)
Nẹ́ọ̀nù	Neon (element)
Saint Petersburg	Sint-Petersburg
Tsad	Tsjaad
Sódíọ̀mù	Natrium
Àríwá	Noord (windstreek)
Magnésíọ̀mù	Magnesium
Alumíníọ̀mù	Aluminium
New Zealand	Nieuw-Zeeland
Índíà	India
Sílíkọ́nù	Silicium
Fránsíọ̀m	Francium
Tufalu	Tuvalu
Fósfórù	Fosfor
André-Marie Ampère	André-Marie Ampère
Iron	IJzer (element)
Tóngà	Tonga (land)
Alessandro Volta	Alessandro Volta
Súlfúrù	Zwavel
Sàmóà	Samoa
Àwọn Erékùsù Sólómọ́nì	Salomonseilanden
Fanuatu	Vanuatu
Molière	Molière (schrijver)
Klorínì	Chloor (element)
Papua Guinea Titun	Papoea-Nieuw-Guinea
William Shakespeare	William Shakespeare
Páláù	Palau (land)
Árgọ̀nù	Argon
Nàúrù	Nauru
Àwọn Ìpínlẹ̀ Àṣepapọ̀ ilẹ̀ Mikronésíà	Micronesia
Pòtásíọ̀mù	Kalium
Calcium	Calcium
Òjé	Lood (element)
Àwọn Erékùṣù Marshall	Marshalleilanden
Kìrìbátì	Kiribati
Mòngólíà	Mongolië
Fíjì	Fiji
Scandium	Scandium
Stevie Wonder	Stevie Wonder
Titaniomu	Titanium
Fenesuela	Venezuela
Saginaw	Saginaw (Michigan)
Banadiomu	Vanadium
Maine	Maine
Krómíọ̀mù	Chroom (element)
Amsterdam	Amsterdam
Ẹranko	Dierenrijk
Sùrìnámù	Suriname
Manganisi	Mangaan
Paragúáì	Paraguay
Gùyánà	Guyana
Ọnà	Kunst
Ẹ̀kùàdọ̀r	Ecuador
Rhenium	Renium
Kòlómbìà	Colombia
Cobalt	Kobalt
Wolframu	Wolfraam
Nickel	Nikkel
Ẹ̀sìn Búddà	Boeddhisme
Bòlífíà	Bolivia
Osmium	Osmium
Bàbà	Koper (element)
Trínídád àti Tòbágò	Trinidad en Tobago
Ọ̀gbìn	Planten
Saint Vincent àti àwọn Grẹnadínì	Saint Vincent en de Grenadines
Zinc	Zink (element)
New Hampshire	New Hampshire
Lùsíà Mímọ́	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts àti Nevis	Saint Kitts en Nevis
Èbu	Schimmels
Dario Fo	Dario Fo
Jamáíkà	Jamaica
Grẹ̀nádà	Grenada
Massachusetts	Massachusetts
Guatẹmálà	Guatemala
Àwọn Bàhámà	Bahama's
Connecticut	Connecticut
Ántígúà àti Bàrbúdà	Antigua en Barbuda
Hawaii	Hawaï
Họ̀ndúràs	Honduras
Dòmíníkà	Dominica
Jersey	Jersey (eiland)
Orílẹ̀òmìnira Dómíníkì	Dominicaanse Republiek
Òkun Árktìkì	Noordelijke IJszee
Hàítì	Haïti
El Salfador	El Salvador
Ìránì	Iran
Irak	Irak
Alaska	Alaska
Kóstá Rikà	Costa Rica
Ísráẹ́lì	Israël
Panamá	Panama (land)
Yemen	Jemen
Lausanne	Lausanne (stad)
Èràn	Virus (biologie)
Èdè Pólándì	Pools
Jọ́rdánì	Jordanië
Nikarágúà	Nicaragua
Florida	Florida (staat)
Kirgistani	Kirgizië
Arizona	Arizona (staat)
Kuwaiti	Koeweit
Láọ̀s	Laos
Lẹ́bánọ́nì	Libanon
Oregon	Oregon
Àwọn Maldive	Maldiven
Amẹ́ríkà	Amerika (continent)
Utah	Utah
Malaysia	Maleisië
Myanmar	Myanmar
Nepal	Nepal
Oman	Oman
Pakístàn	Pakistan
Katar	Qatar
Tẹ́nìs	Tennis
Sáúdí Arábíà	Saoedi-Arabië
Sri Lanka	Sri Lanka
Joseph Stalin	Jozef Stalin
Síríà	Syrië
Plato	Plato
Gallium	Gallium
Joseph Brodsky	Joseph Brodsky
Tajikistan	Tadzjikistan
Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà	Taiwan
Jẹ́rmáníọ́mù	Germanium
Aristotulu	Aristoteles
Tháílàndì	Thailand
Arsenic	Arseen
Meryl Streep	Meryl Streep
Turkmẹ́nìstán	Turkmenistan
Selenium	Seleen
Iridium	Iridium (element)
Àwọn Ẹ́mírétì Árábù Aṣọ̀kan	Verenigde Arabische Emiraten
Brómìnì	Broom (element)
Platinum	Platina
Fiẹtnám	Vietnam
Kòréà Gúúsù	Zuid-Korea
Krypton	Krypton (element)
Afghanístàn	Afghanistan
J. R. R. Tolkien	J.R.R. Tolkien
Rubidium	Rubidium
Wúrà	Goud
Ìladò Suez	Suezkanaal
Bangladẹ́shì	Bangladesh
Bleach (mángà)	Bleach (manga)
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Málì	Mali
Socrates	Socrates (filosoof)
Àngólà	Angola
Bhùtán	Bhutan
Brunei	Brunei
Tànsáníà	Tanzania
Fàdákàolómi	Kwik
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipínì	Filipijnen
Orílẹ̀-èdè Olómìnira Àrin Áfríkà	Centraal-Afrikaanse Republiek
Thallium	Thallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontium	Strontium
Yttrium	Yttrium
Bismuth	Bismut
Tógò	Togo
Donald Tusk	Donald Tusk
Tùnísíà	Tunesië
John Bardeen	John Bardeen
Sámbíà	Zambia
Sìmbábúè	Zimbabwe
Beijing	Peking
Gúúsù Sudan	Zuid-Soedan
Benin	Benin
Bòtswánà	Botswana
Wikinews	Wikinews
Bùrkínà Fasò	Burkina Faso
Bùrúndì	Burundi
Kòmórò	Comoren
Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	Congo-Brazzaville
Orílẹ̀-èdè Olómìnira Olóṣèlú ilẹ̀ Kóngò	Congo-Kinshasa
San Antonio	San Antonio (Texas)
Djìbútì	Djibouti (land)
Polonium	Polonium
Bavaria	Beieren
Guinea Alágedeméjì	Equatoriaal-Guinea
Baden-Württemberg	Baden-Württemberg
Ẹritrẹ́à	Eritrea
Delhi Titun	New Delhi
Pópù Jòhánù Páúlù Èkejì	Paus Johannes Paulus II
Fyodor Dostoyevsky	Fjodor Dostojevski
Tbilisi	Tbilisi
Andrei Sakharov	Andrej Sacharov
Astatínì	Astaat
Gàbọ̀n	Gabon
Mohandas Karamchand Gandhi	Mohandas Karamchand Gandhi
Gámbíà	Gambia (land)
Guinea	Guinee
Guinea-Bissau	Guinee-Bissau
Côte d'Ivoire	Ivoorkust
Kamẹrúùn	Kameroen
Kepu Ferde	Kaapverdië
Lèsóthò	Lesotho
Làìbéríà	Liberia
Líbyà	Libië
Madagáskàr	Madagaskar
Màláwì	Malawi
Stuttgart	Stuttgart
Mauritáníà	Mauritanië
Àwọn ọmọ Pólàndì	Polen (volk)
Mọ́rísì	Mauritius (land)
Mòrókò	Marokko
Mòsámbìk	Mozambique
Nàmíbíà	Namibië
Nìjẹ̀r	Niger (land)
Nàìjíríà	Nigeria
Charles Darwin	Charles Darwin
Ùgándà	Oeganda
Rùwándà	Rwanda
Zirconium	Zirkonium
Sao Tome àti Principe	Sao Tomé en Principe
Sẹ̀nẹ̀gàl	Senegal
Ṣèíhẹ́lẹ́sì	Seychellen
Carl Linnaeus	Carolus Linnaeus
Siẹrra Léònè	Sierra Leone
Sòmálíà	Somalië
Niobium	Niobium
Jawaharlal Nehru	Jawaharlal Nehru
Juliu Késárì	Julius Caesar
Sudan	Soedan
Swásílándì	Swaziland
Molybdenum	Molybdeen
Technetium	Technetium
Hamburg	Hamburg
Gujarat	Gujarat
Àgbájọ àwọn Orílẹ̀-èdè Aṣòkan	Verenigde Naties
Dante Alighieri	Dante Alighieri
Jẹ́ọ́gráfì	Aardrijkskunde
Ọkàn	Hart
Prague	Praag
Ruthenium	Ruthenium
Rhodium	Rhodium
Palladium	Palladium (element)
Fàdákà	Zilver
Kadmium	Cadmium
Indium	Indium
Tánganran	Tin (element)
Ùráníọ̀m	Uranium
Antimony	Antimoon
Tellurium	Telluur
Plùtòníọ̀m	Plutonium
Iodínì	Jodium (element)
Nẹ́ptúníọ̀m	Neptunium
Ksenon	Xenon
Anime	Anime
Kesium	Cesium
Protaktiníọ̀m	Protactinium
Àdìjọ ìtanná	Elektrische lading
Barium	Barium
Tóríọ̀m	Thorium
Hafnium	Hafnium
Àktíníọ̀m	Actinium
Tantalum	Tantaal
Bill Clinton	Bill Clinton
Radiomu	Radium
Radon	Radon (element)
Indira Gandhi	Indira Gandhi
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Goa	Goa (India)
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Jammu àti Kashmir	Jammu en Kasjmir (staat)
Púẹ́rtò Ríkò	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Manipur	Manipur
Schleswig-Holstein	Sleeswijk-Holstein
Meghalaya	Meghalaya
Mecklenburg-Vorpommern	Mecklenburg-Voor-Pommeren
Lower Saxony	Nedersaksen
Nordrhein-Westfalen	Noordrijn-Westfalen
Hesse	Hessen
Rhineland-Palatinate	Rijnland-Palts
Saarland	Saarland
Saxony	Saksen (deelstaat)
John Lennon	John Lennon
Illinois	Illinois (staat)
Thuringia	Thüringen (deelstaat)
Saxony-Anhalt	Saksen-Anhalt
Àríwá Dakota	North Dakota
Brandenburg	Brandenburg (deelstaat)
Bremen (ìpínlẹ̀)	Vrije Hanzestad Bremen
Gúúsù Dakota	South Dakota
Montana	Montana (staat)
Wyoming	Wyoming
Jerúsálẹ́mù	Jeruzalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Ìpínlẹ̀ Washington	Washington (staat)
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordium	Rutherfordium
Nevada	Nevada (staat)
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Francesco Cossiga	Francesco Cossiga
Dubnium	Dubnium
Sandro Pertini	Sandro Pertini
Seaborgium	Seaborgium
Giovanni Leone	Giovanni Leone
Giuseppe Saragat	Giuseppe Saragat
Òkun Índíà	Indische Oceaan
Antonio Segni	Antonio Segni
Giovanni Gronchi	Giovanni Gronchi
Luigi Einaudi	Luigi Einaudi
Enrico De Nicola	Enrico De Nicola
Kósófò	Kosovo
Òkun Kàríbẹ́ánì	Caraïbische Zee
Bohriomu	Bohrium
Hassiomu	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneriomu	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado (staat)
Darmstadtium	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Roentgenium	Röntgenium
Kopernisiomu	Copernicium
Ẹ̀ka:Àwọn àkóónú	Categorie:Alles
Blaise Pascal	Blaise Pascal
Ṣìkágò	Chicago
The Beatles	The Beatles
Ununtrium	Ununtrium
Flẹ́rófíọ́mù	Flerovium
Ununpentium	Ununpentium
Livermorium	Livermorium
Ununseptium	Ununseptium
Ununoctium	Ununoctium
Saddam Hussein	Saddam Hoessein
Osama bin Laden	Osama bin Laden
Èdè Spéìn	Spaans
Friedrich Hayek	Friedrich von Hayek
Montevideo	Montevideo (stad)
Johann Sebastian Bach	Johann Sebastian Bach
Philadelphia	Philadelphia (Pennsylvania)
Delhi	Delhi (stad)
Dhaka	Dhaka (stad)
Bangalore	Bangalore
Ìwọòrùn Bẹ̀ngál	West-Bengalen
Islàmabad	Islamabad
Tripura	Tripura
Firginia	Virginia (staat)
Ìwọ̀orùn Firginia	West Virginia
Ìpínlẹ̀ New York	New York (staat)
Cerium	Cerium
Praseodymium	Praseodymium
Erékùṣù Rhode	Rhode Island (staat)
Neodymium	Neodymium
Kòkòrò	Insecten
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Lenin
Europium	Europium
Ohio	Ohio (staat)
Virgil	Vergilius
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	Imperator Caesar Augustus
Microsoft Windows	Microsoft Windows
Tiberius	Tiberius Iulius Caesar Augustus
New Jersey	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claudius I
Èdè Fínlándì	Fins
Nero	Nero (keizer)
Galba	Galba (keizer)
Indiana	Indiana
Otho	Otho
Vitellius	Vitellius (keizer)
Vespasian	Vespasianus
Titu	Titus (keizer)
Domitian	Titus Flavius Domitianus
Nerva	Nerva (keizer)
Trajan	Trajanus
Roger Federer	Roger Federer
Hadrian	Hadrianus
Ìpínlẹ̀ Georgia	Georgia (staat)
Antoninus Pius	Antoninus Pius
Marcus Aurelius	Marcus Aurelius
Lucius Verus	Lucius Verus
Commodus	Commodus
Zagreb	Zagreb
Pertinax	Pertinax (keizer)
Rajasthan	Rajasthan
Texas	Texas (staat)
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Àríwá Carolina	North Carolina
Gúúsù Carolina	South Carolina
Sicily	Sicilië
Manila	Manilla
Noynoy Aquino	Benigno Aquino III
Ìlú Quezon	Quezon City
Bordeaux	Bordeaux (stad)
Buenos Aires	Buenos Aires (stad)
Ìlú Mẹ́ksíkò	Mexico-Stad
Tokyo	Tokio
La Paz	La Paz (stad in Bolivia)
Ìpínlẹ̀ Mississippi	Mississippi (staat)
Ferdinand Magellan	Ferdinand Magellaan
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Mizoram	Mizoram
Sikkim	Sikkim
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi (stad)
Astana	Astana (stad)
Ìpínlẹ̀ Titun Mẹ́ksíkò	New Mexico
Ramesses 2k	Ramses II
Áténì	Athene (stad)
Ramesses 1k	Ramses I
Minnesota	Minnesota
Ramesses 3k	Ramses III
Baghdad	Bagdad
Ramesses 4k	Ramses IV
Caracas	Caracas
Ajọfọ̀nàkò Àsìkò Káríayé	UTC
Wisconsin	Wisconsin
Kísẹ́rò	Marcus Tullius Cicero
Iowa	Iowa (staat)
Nebraska	Nebraska
Ìlú Guatẹmálà	Guatemala-Stad
Kansas	Kansas (staat)
Havana	Havana
Èdè Híndì	Hindi
Ìpínlẹ̀ Missouri	Missouri (staat)
Georg Ohm	Georg Ohm
Louisiana	Louisiana (staat)
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas (staat)
Neil Armstrong	Neil Armstrong
Oklahoma	Oklahoma
Yohan Blake	Yohan Blake
Odò Dánúbì	Donau
Kiel	Kiel (Duitsland)
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover (stad)
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Munich	München
Erfurt	Erfurt
Dresden	Dresden
Magdeburg	Maagdenburg (stad)
Volleyball	Volleybal
Fienna	Wenen
Madonna	Madonna (zangeres)
Copenhagen	Kopenhagen
Kaliningrad Oblast	Oblast Kaliningrad
Macrinus	Macrinus (keizer)
Stockholm	Stockholm
Helsinki	Helsinki
Dublin	Dublin
Elagabalus	Elagabalus
Reykjavík	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Severus Alexander
Tallinn	Tallinn
Riga	Riga
Zanzibar	Zanzibar (staat)
Maximinus Thrax	Maximinus I Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Boedapest
Gordian 1k	Gordianus I
Frankfurt	Frankfurt am Main
Pupienus	Pupienus
Lanthanum	Lanthaan
Gordian 2k	Gordianus II
Balbinus	Balbinus
Promethium	Promethium
Gordian 3k	Gordianus III
Filip Áràbù	Philippus I Arabs
Samarium	Samarium
Aceh	Atjeh
Decius	Decius
Gadolinium	Gadolinium
Terbium	Terbium
Luxembourg (ìlú)	Luxemburg (stad)
Dysprosium	Dysprosium
Vaduz	Vaduz
Bíbélì Mímọ́	Bijbel (christendom)
Holmium	Holmium
Ìlú San Màrínò	San Marino (stad)
Erbium	Erbium
Phnom Penh	Phnom Penh
Thulium	Thulium
Ytterbium	Ytterbium
Lutetium	Lutetium
Hanoi	Hanoi
Ìjọ Jéésù Lótìítọ́	Ware Jezuskerk
Èdè Gẹ̀ẹ́sì	Engels
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei (stad)
Amẹrísíọ̀m	Americium
Kùríọ̀m	Curium
Concepción, Chile	Concepción (Chili)
Bẹ́rkẹ́líọ̀m	Berkelium
Kalifọ́rníọ̀m	Californium
Einsteiniom	Einsteinium
Fẹ́rmíọ̀m	Fermium
Mẹ̀ndẹ̀lẹ́fíọ̀m	Mendelevium
Kiev	Kiev
Nobelium	Nobelium
Lawrencium	Lawrencium
Ottawa	Ottawa (stad)
Yerevan	Jerevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam (stad)
Khartoum	Khartoem
Formula One	Formule 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Kárbónì ọlọ́ksíjínìméjì	Koolstofdioxide
2013	2013
2014	2014
2015	2015
Newfoundland àti Labrador	Newfoundland en Labrador
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
1 Oṣù Kínní	1 januari
Oṣù Kínní 2	2 januari
1920	1920
Oṣù Kínní 3	3 januari
1919	1919
1921	1921
1922	1922
Oṣù Kínní 4	4 januari
1923	1923
1924	1924
Ìgbàjá ástẹ́rọ́ìdì	Planetoïdengordel
Orílẹ̀-èdè Olómìnira Àpapọ̀ Sófìẹ̀tì Sósíálístì Rọ́síà	Russische Socialistische Federatieve Sovjetrepubliek
Georges Pompidou	Georges Pompidou
Graphics Interchange Format	Graphics Interchange Format
Windows Media Audio	Windows Media Audio
JPEG	JPEG
Oṣù Kínní 5	5 januari
Oṣù Kínní 6	6 januari
Ẹ̀lẹ́ktrọ́nù	Elektron
Oṣù Kínní 7	7 januari
Oṣù Kínní 8	8 januari
Oṣù Kínní 9	9 januari
Oṣù Kínní 10	10 januari
Oṣù Kínní 11	11 januari
Oṣù Kínní 12	12 januari
Buzz Aldrin	Buzz Aldrin
