Aprika	Afrika
Nupela Testamen	Nieuwe Testament
Nha Trang	Nha Trang
Maya Angelou	Maya Angelou
Pop	Paus
Rafael Correa	Rafael Correa
Busares	Boekarest
1928	1928
Olpela Testamen	Oude Testament
Indo-Yuropien famili bilong tokples	Indo-Europese talen
Breinigerberg	Breinigerberg
Gyeonggi	Gyeonggi-do
Ol Tokples Siamanik	Germaanse talen
Sosiolosi	Sociologie
Bahai	Bahai
Aialan	Ierland (eiland)
7	7
Wik	Week
Antropolosi	Antropologie
Ailan	Eiland
Moshchena	Mosjtsjena
Akiolosi	Archeologie
George H. W. Bush	George H.W. Bush
Paltoga	Paltoga
Quang Binh Provins	Quảng Bình (provincie)
Protestan	Protestantisme
Bryan Cranston	Bryan Cranston
Bikpela Briten	Groot-Brittannië
Kadinol daireksion	Windstreek
Lila Downs	Lila Downs
Famili bilong tokples	Taalfamilie
Pichilemu	Pichilemu
Pukpuk	Krokodilachtigen
Amerika	Amerika
Cabañas Raras	Cabañas Raras
Acebedo	Acebedo
Boca de Huérgano	Boca de Huérgano
Bustillo del Páramo	Bustillo del Páramo
Boñar	Boñar
Kokomo	Neushoornvogels
Danny DeVito	Danny DeVito
Jerry Springer	Jerry Springer
Sentrel Amerika	Centraal-Amerika
Kaunti	County
Ecser	Ecser
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Rouen	Rouen
Valery Leontiev	Valeri Leontjev
Tok Hawai	Hawaïaans
Hiri Motu	Hiri Motu
Niu Kaledonia	Nieuw-Caledonië (gebiedsdeel)
Marlon Brando	Marlon Brando
Tok Pisin	Tok Pisin
Mošovce	Mošovce
Ajetiv bilong nambawan kain	Bijvoeglijk naamwoord
Kristen Otodos	Oosters-orthodoxe Kerk
Ido	Ido (kunsttaal)
44 yia i go bipo Jisas	44 v.Chr.
Bislama	Bislama
Hokkaido	Hokkaido (Japan)
Charles Bronson	Charles Bronson
Borneo	Borneo
Siligo	Siligo
Apia	Apia
Pot Mosbi	Port Moresby
.ru	.ru
.ad	.ad
Cork	Cork (stad)
Arancón	Arancón
.fi	.fi
.am	.am
.de	.de
.fr	.fr
Melanesia	Melanesië
.au	.au
.cz	.cz
Maket	Markt (economie)
.at	.at
Pot Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
.us	.us
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Kaukau	Zoete aardappel
Yokohama	Yokohama (stad)
.al	.al
.az	.az
.ee	.ee
.bg	.bg
.jp	.jp
.it	.it
Lubuntu	Lubuntu
.dk	.dk
.ca	.ca
.ch	.ch
Maikroekonomiks	Macro-economie
.be	.be
Ágreda	Ágreda
.by	.by
.fj	.fj
.cl	.cl
.is	.is
.lt	.lt
.pt	.pt
.bt	.bt
Hobat	Hobart (Australië)
Niugini	Nieuw-Guinea
.et	.et
.tv	.tv
.eg	.eg
23 yia i go bipo Jisas	23 v.Chr.
.se	.se
.cy	.cy
.kz	.kz
.hu	.hu
.ua	.ua
.mx	.mx
.kh	.kh
.no	.no
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
.sk	.sk
Julia Gillard	Julia Gillard
.to	.to
.lv	.lv
Saikoanalisis	Psychoanalyse
.kg	.kg
.mh	.mh
.kr	.kr
.ki	.ki
.tj	.tj
.kp	.kp
Frank Gorshin	Frank Gorshin
.ro	.ro
.vn	.vn
.nr	.nr
.ke	.ke
.vu	.vu
.na	.na
.ye	.ye
.ws	.ws
.sm	.sm
.tk	.tk
Kevin Rudd	Kevin Rudd
.pg	.pg
Plak bilong Siapan	Vlag van Japan
Jim Morrison	Jim Morrison
Dan Castellaneta	Dan Castellaneta
Cubillos del Sil	Cubillos del Sil
Igüeña	Igüeña
Castropodame	Castropodame
Páramo del Sil	Páramo del Sil
Congosto	Congosto
Toreno	Toreno
Folgoso de la Ribera	Folgoso de la Ribera
.nu	.nu
The Doors	The Doors
Pécs	Pécs
Plak bilong Pinlan	Vlag van Finland
Templet:Commons category	Sjabloon:Commonscat
Morgan Freeman	Morgan Freeman
Plak bilong Albenia	Vlag van Albanië
Dire Straits	Dire Straits
Richard Attenborough	Richard Attenborough
Templet:Taxobox	Sjabloon:Taxobox
Siete Aguas	Siete Aguas
Burjassot	Burjassot
El Royo	El Royo
János Áder	János Áder
Viktor Orbán	Viktor Orbán
Reyero	Reyero
La Ercina	La Ercina
Niu Briten	Nieuw-Brittannië
La Robla	La Robla
Santa Colomba de Curueño	Santa Colomba de Curueño
San Cristóbal de la Polantera	San Cristóbal de la Polantera
Santa María del Páramo	Santa María del Páramo
Santa Elena de Jamuz	Santa Elena de Jamuz
San Justo de la Vega	San Justo de la Vega
Xubuntu	Xubuntu
Plak bilong Solomon Ailans	Vlag van de Salomonseilanden
Nonvailens	Geweldloosheid
Debrecen	Debrecen
Plak bilong Kanada	Vlag van Canada
Matallana de Torío	Matallana de Torío
Harrison Ford	Harrison Ford
Plak bilong Andora	Vlag van Andorra
Kimi ga Yo	Kimigayo
Szeged	Szeged
Plak bilong Ostrelia	Vlag van Australië
Plak bilong Hangari	Vlag van Hongarije
Plak bilong Azerbaijan	Vlag van Azerbeidzjan
Plak bilong Nowe	Vlag van Noorwegen
Robin Williams	Robin Williams
Gary Oldman	Gary Oldman
Tauns long Burgos provins	Lijst van gemeenten in provincie Burgos
Ol taun bilong León provins	Lijst van gemeenten in provincie León
Tauns long Soria provins	Lijst van gemeenten in provincie Soria
Plak bilong Aislan	Vlag van IJsland
Plak bilong Indonisia	Vlag van Indonesië
Plak bilong Skotlan	Vlag van Schotland
Miskolc	Miskolc
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Eli Wallach	Eli Wallach
Mickey Rooney	Mickey Rooney
Godelleta	Godelleta
Plak bilong Tuvalu	Vlag van Tuvalu
Holly Hunter	Holly Hunter
Kristen	Christen
Stet	Deelstaat
Meditesen	Meditatie
James Garner	James Garner
Joey King	Joey King
Plak bilong Kiribas	Vlag van Kiribati
Saut Ailan	Zuidereiland
Plak bilong Spen	Vlag van Spanje
Dziecinów	Dziecinów (powiat Otwocki)
Haus bilong binen	Bijenraat
Michael Caine	Michael Caine
Steve Irwin	Steve Irwin
Plak bilong Saut Koria	Vlag van Zuid-Korea
Plak bilong Slovenia	Vlag van Slovenië
Plak bilong Romenia	Vlag van Roemenië
Grup:Manmeri bilong Hangari	Hongaren
Dunedin	Dunedin
Kamikaze	Kamikaze
Cimanes de la Vega	Cimanes de la Vega
Cebrones del Río	Cebrones del Río
Garrafe de Torío	Garrafe de Torío
Cuadros	Cuadros
Llamas de la Ribera	Llamas de la Ribera
Castrocalbón	Castrocalbón
Carrocera	Carrocera
Grajal de Campos	Grajal de Campos
Castilfalé	Castilfalé
Quintana del Castillo	Quintana del Castillo
Campazas	Campazas
Santa Marina del Rey	Santa Marina del Rey
Cebanico	Cebanico
Castrillo de la Valduerna	Castrillo de la Valduerna
Pozuelo del Páramo	Pozuelo del Páramo
Prado de la Guzpeña	Prado de la Guzpeña
Santa Colomba de Somoza	Santa Colomba de Somoza
Cubillas de los Oteros	Cubillas de los Oteros
Maraña	Maraña
Castrotierra de Valmadrigal	Castrotierra de Valmadrigal
Castrillo de Cabrera	Castrillo de Cabrera
Gusendos de los Oteros	Gusendos de los Oteros
Chozas de Abajo	Chozas de Abajo
Phu Quoc	Phú Quốc
Wikipedia:Save long senisim pes	Help:Uitleg
Lệ Thủy	Lệ Thủy
Buai	Betelpalm
Brobergen	Brobergen
Daka	Betelpeper
Klostu Tudak	Twilight (2008)
Plak bilong Niu Silan	Vlag van Nieuw-Zeeland
Kaunti Cork	County Cork
St. Peter's College, Auckland	St Peter's College Auckland
Siaman Niugini	Duits-Nieuw-Guinea
Behaviourisim	Behaviorisme
Samuel L. Jackson	Samuel L. Jackson
Caltojar	Caltojar
Berlanga de Duero	Berlanga de Duero
Kumul	Paradijsvogels
Christopher Lee	Christopher Lee
Helen Clark	Helen Clark
Lev Vygotsky	Lev Vygotski
Plak bilong Fiji	Vlag van Fiji
Plak bilong Papua Niugini	Vlag van Papoea-Nieuw-Guinea
Plak bilong Nauru	Vlag van Nauru
Plak bilong Vanuatu	Vlag van Vanuatu
Plak bilong Wels	Vlag van Wales
Mike Myers	Mike Myers
Zelda Williams	Zelda Williams
Plak bilong Tonga	Vlag van Tonga
Plak bilong Samoa	Vlag van Samoa
Plak bilong Palau	Vlag van Palau
Christopher Plummer	Christopher Plummer
E pluribus unum	E pluribus unum
Expo 2010	Expo 2010
James Woods	James Woods (acteur)
Nancy Reagan	Nancy Reagan
Ol provinis bilong Swidan	Landschappen van Zweden
Plak bilong ol Masol Ailan	Vlag van de Marshalleilanden
Kina	Kina (munt)
Bogenvil	Bougainville (eiland)
Plak bilong Niue	Vlag van Niue
Roger Ebert	Roger Ebert
Bill Cosby	Bill Cosby
Niu Ailan ailan	Nieuw-Ierland
Jimmie Johnson	Jimmie Johnson
Rabaul	Rabaul
Saksak	Sago
Plak bilong Hawai	Vlag van Hawaï
Nesenel mak bilong Ostrelia	Wapen van Australië
Eartha Kitt	Eartha Kitt
Phyllis Diller	Phyllis Diller
Plak bilong Polinesia bilong Pranis	Vlag van Frans-Polynesië
Rhea Perlman	Rhea Perlman
Ian McShane	Ian McShane
Plak bilong Nofok Ailan	Vlag van Norfolk (Australië)
Shelley Duvall	Shelley Duvall
Plak bilong Guam	Vlag van Guam
Julie Newmar	Julie Newmar
Makó	Makó
Joan Rivers	Joan Rivers
Camponaraya	Camponaraya
Elizabeth Peña	Elizabeth Peña
Edie McClurg	Edie McClurg
Plak bilong Tokelau	Vlag van Tokelau
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Nesenel mak bilong Papua Niugini	Embleem van Papoea-Nieuw-Guinea
Marcus Stephen	Marcus Stephen
Carl Reiner	Carl Reiner
Martin Landau	Martin Landau
Tate Donovan	Tate Donovan
Vadillo	Vadillo
Dick Van Dyke	Dick Van Dyke
Don Ameche	Don Ameche
Brad Bird	Brad Bird
Wallace Shawn	Wallace Shawn
Gary Coleman	Gary Coleman
Rip Torn	Rip Torn
Jeff Gordon	Jeff Gordon
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Michael Somare	Michael Somare
Apisai Ielemia	Apisai Ielemia
Plak bilong Wolis na Futuna	Vlag van Wallis en Futuna
Madang (provins)	Madang (provincie)
Michael Jeter	Michael Jeter
Brad Dourif	Brad Dourif
Craig T. Nelson	Craig T. Nelson
Larry the Cable Guy	Larry the Cable Guy
Burgess Meredith	Burgess Meredith
Richard Schiff	Richard Schiff
Nicanor Parra	Nicanor Parra
David Cross	David Cross (acteur)
Bobcat Goldthwait	Bobcat Goldthwait
Bry-sur-Marne	Bry-sur-Marne
Con Dao	Côn Đảo (archipel)
Richard Kiel	Richard Kiel
Almaluez	Almaluez
Derek Sikua	Derek Sikua
Valencia de Don Juan	Valencia de Don Juan
Valdefresno	Valdefresno
Cesar Romero	Cesar Romero
Jackie Gleason	Jackie Gleason
Buk bilong Momon	Boek van Mormon
Astorga	Astorga (Spanje)
Ples balus Tan Son Nhat	Internationale Luchthaven Tân Sơn Nhất
Michael Clarke Duncan	Michael Clarke Duncan
Aliud	Aliud
Baraona	Baraona
Medinaceli	Medinaceli
Burgo de Osma-Ciudad de Osma, Soria	Burgo de Osma-Ciudad de Osma
Suellacabras	Suellacabras
Yanguas	Yanguas
San Esteban de Gormaz	San Esteban de Gormaz
Comares	Comares
.nl	.nl
Alcoy	Alcoy (Spanje)
Goroka	Goroka
Daru	Daru
Espinosa de los Monteros (Burgos)	Espinosa de los Monteros
Cañamaque	Cañamaque
Navaleno	Navaleno
Matt Frewer	Matt Frewer
Don Knotts	Don Knotts
Alotau	Alotau
Seeheim-Jugenheim	Seeheim-Jugenheim
Trévago	Trévago
Madang (taun)	Madang
Dévanos	Dévanos
Simbu	Chimbu
Fuentes de Carbajal	Fuentes de Carbajal
Kundiawa	Kundiawa
Lae	Lae
Magani	Wallaby
Ólvega	Ólvega
Arawa	Arawa
O Arise, All You Sons	O arise all you sons of this land
Villamartín de Don Sancho	Villamartín de Don Sancho
Sobrado	Sobrado (Galicië)
Magaña	Magaña
Abajas (Burgos)	Abajas
Itero del Castillo (Burgos)	Itero del Castillo
Wes Niu Briten	West New Britain
Blupela kumul	Blauwe paradijsvogel
Centenera de Andaluz	Centenera de Andaluz
Is Sepik	East Sepik
Cacabelos	Cacabelos
Ralph Waite	Ralph Waite
Histori long Koria	Geschiedenis van Korea
Paul Winchell	Paul Winchell
Soto de la Vega	Soto de la Vega
Junta de Traslaloma (Burgos)	Junta de Traslaloma
Mansilla de las Mulas	Mansilla de las Mulas
Oro	Northern (Papoea-Nieuw-Guinea)
Sandaun	Sandaun
Is Niu Briten	East New Britain
Valderas	Valderas
Gradefes	Gradefes
Onzonilla	Onzonilla
Ben Stein	Ben Stein
Sahagún	Sahagún (Spanje)
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Casarejos	Casarejos
Cerbón	Cerbón
Calatañazor	Calatañazor
Almazul	Almazul
Cidones	Cidones
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Beratón	Beratón
Almenar de Soria	Almenar de Soria
Maján	Maján
Coscurita	Coscurita
Barcones	Barcones
Castilfrío de la Sierra	Castilfrío de la Sierra
Castilruiz	Castilruiz
Miño de Medinaceli	Miño de Medinaceli
Vinuesa	Vinuesa
Cigudosa	Cigudosa
Candilichera	Candilichera
Ausejo de la Sierra	Ausejo de la Sierra
Carabantes	Carabantes
Soliedra	Soliedra
Taroda	Taroda
Nepas	Nepas
Valtajeros	Valtajeros
Arévalo de la Sierra	Arévalo de la Sierra
Pozalmuro	Pozalmuro
Cabrejas del Pinar	Cabrejas del Pinar
Villasayas	Villasayas
Cubilla	Cubilla
Castillejo de Robledo	Castillejo de Robledo
Escobosa de Almazán	Escobosa de Almazán
Estepa de San Juan	Estepa de San Juan
Carrascosa de la Sierra	Carrascosa de la Sierra
Las Aldehuelas	Las Aldehuelas
Bayubas de Arriba	Bayubas de Arriba
Borobia	Borobia
Bliecos	Bliecos
Buberos	Buberos
Muriel Viejo	Muriel Viejo
Oncala	Oncala
Fuentecambrón	Fuentecambrón
Cabrejas del Campo	Cabrejas del Campo
Frechilla de Almazán	Frechilla de Almazán
Valdelagua del Cerro	Valdelagua del Cerro
Ciria	Ciria
Buitrago	Buitrago
Talveila	Talveila
Salduero	Salduero
Fuentes de Magaña	Fuentes de Magaña
Viana de Duero	Viana de Duero
Tardelcuende	Tardelcuende
Duruelo de la Sierra	Duruelo de la Sierra
Bayubas de Abajo	Bayubas de Abajo
Fuentearmegil	Fuentearmegil
Fuentelmonge	Fuentelmonge
Rollamienta	Rollamienta
Villar del Ala	Villar del Ala
Velilla de los Ajos	Velilla de los Ajos
Momblona	Momblona
Fresno de Caracena	Fresno de Caracena
Valdegeña	Valdegeña
Velamazán	Velamazán
Torlengua	Torlengua
Fuentecantos	Fuentecantos
Carrascosa de Abajo	Carrascosa de Abajo
Pinilla del Campo	Pinilla del Campo
Serón de Nágima	Serón de Nágima
Blacos	Blacos
Valdeavellano de Tera	Valdeavellano de Tera
Narros	Narros
Valdeprado	Valdeprado
Borjabad	Borjabad
Fuentelsaz de Soria	Fuentelsaz de Soria
San Leonardo de Yagüe	San Leonardo de Yagüe
Muriel de la Fuente	Muriel de la Fuente
Villar del Río	Villar del Río
Valderrodilla	Valderrodilla
Espejón	Espejón
Liceras	Liceras
Matalebreras	Matalebreras
Quintana Redonda	Quintana Redonda
Nafría de Ucero	Nafría de Ucero
Sotillo del Rincón	Sotillo del Rincón
Torrubia de Soria	Torrubia de Soria
Noviercas	Noviercas
Tajueco	Tajueco
Valdenebro	Valdenebro
Villaciervos	Villaciervos
Villanueva de Gormaz	Villanueva de Gormaz
Yelo (Spen)	Yelo
Montenegro de Cameros	Montenegro de Cameros
Ucero	Ucero
Langa de Duero	Langa de Duero
Quiñonería	Quiñonería
Villar del Campo	Villar del Campo
Portillo de Soria	Portillo de Soria
Gormaz	Gormaz
Santa Cruz de Yanguas	Santa Cruz de Yanguas
Villaseca de Arciel	Villaseca de Arciel
Reznos	Reznos
Cueva de Ágreda	Cueva de Ágreda
Nolay	Nolay (Soria)
Cirujales del Río	Cirujales del Río
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Miño de San Esteban	Miño de San Esteban
Fuentestrún	Fuentestrún
Espeja de San Marcelino	Espeja de San Marcelino
Matamala de Almazán	Matamala de Almazán
La Póveda de Soria	La Póveda de Soria
Los Rábanos	Los Rábanos
