Africa	Afrika
Malaysia	Maleisië
Burma	Myanmar
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi Arabia	Saoedi-Arabië
Sri Lanka	Sri Lanka
Syria	Syrië
Tajikistan	Tadzjikistan
Taiwan	Taiwan
Thailand	Thailand
Chitima	Trein
Turkmenistan	Turkmenistan
United Arab Emirates	Verenigde Arabische Emiraten
Vietnam	Vietnam
South Korea	Zuid-Korea
Afghanistan	Afghanistan
Muronga Suez Canal	Suezkanaal
Bangladesh	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhutan
Brunei	Brunei
Tanzania	Tanzania
Philippines	Filipijnen
Central African Republic	Centraal-Afrikaanse Republiek
Isaac Newton	Isaac Newton
Togo	Togo
Tunisia	Tunesië
Zambia (nyika)	Zambia
Zimbabwe	Zimbabwe
Beijing	Peking
South Sudan	Zuid-Soedan
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Comoren
Republic of the Congo	Congo-Brazzaville
Democratic Republic of the Congo	Congo-Kinshasa
Djibouti	Djibouti (land)
Equatorial Guinea	Equatoriaal-Guinea
Eritrea	Eritrea
New Delhi	New Delhi
Tbilisi	Tbilisi
Mucheche	Baby
Gabon	Gabon
Gambia	Gambia (land)
Guinea	Guinee
Guinea-Bissau	Guinee-Bissau
Côte d'Ivoire	Ivoorkust
Cameroon	Kameroen
Cape Verde	Kaapverdië
Lesotho	Lesotho
Liberia	Liberia
Libya	Libië
Madagascar	Madagaskar
Malawi	Malawi
Mauritania	Mauritanië
Mauritius	Mauritius (land)
Morocco	Marokko
Mozambique	Mozambique
Namibia	Namibië
Niger	Niger (land)
Nigeria	Nigeria
Uganda	Oeganda
Rwanda	Rwanda
Sao Tome and Principe	Sao Tomé en Principe
Senegal	Senegal
Seychelles	Seychellen
Sierra Leone	Sierra Leone
Somalia	Somalië
Julius Caesar	Julius Caesar
Sudan	Soedan
Swaziland	Swaziland
Mubatanidzwa weNyika Pasirose	Verenigde Naties
Ketanyika	Geologie
Taranyika	Aardrijkskunde
Moyo	Hart
Huropi	Hersenen
Prague	Praag
Jerusalem	Jeruzalem
Kosovo	Kosovo
Chicago	Chicago
Chirimo	Lente
Tsazahusiku	Equinox
Montevideo	Montevideo (stad)
Dhaka	Dhaka (stad)
Buwe	Spinnen (dieren)
Islamabad	Islamabad
Muchero	Vrucht (plant)
Mari	Geld
Zagreb	Zagreb
Manila	Manilla
Buenos Aires	Buenos Aires (stad)
Mexico City	Mexico-Stad
Tokyo	Tokio
La Paz	La Paz (stad in Bolivia)
Dziva rokushambira	Zwembad
Abu Dhabi	Abu Dhabi (stad)
Astana	Astana (stad)
Athens	Athene (stad)
Baghdad	Bagdad
Caracas	Caracas
Guatemala City	Guatemala-Stad
Havana	Havana
Fodya	Tabak
Vienna	Wenen
Copenhagen	Kopenhagen
Stockholm	Stockholm
Helsinki	Helsinki
Dublin	Dublin
Reykjavík	Reykjavik
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Boedapest
Vaduz	Vaduz
Bhaibheri	Bijbel (christendom)
City of San Marino	San Marino (stad)
Phnom Penh	Phnom Penh
Guta reHo Chi Minh	Ho Chi Minhstad
Hanoi	Hanoi
True Jesus Church	Ware Jezuskerk
Chirungu	Engels
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei (stad)
Dong Hoi	Đồng Hới
Kyiv	Kiev
Ottawa	Ottawa (stad)
Juba	Djoeba
Yerevan	Jerevan
Dar es Salaam	Dar es Salaam (stad)
Khartoum	Khartoem
Kudya	Voedsel
Nyoka	Slangen
Nhanzvi	Orale seks
Minsk	Minsk
Chemishonga	Scheikunde
Mogadishu	Mogadishu
Nassau	Nassau (Bahama's)
Sana'a	Sanaa
Nhabvu	Voetbal
Rutsvamhumburu	Holocaust
Madrid	Madrid (stad)
Bogotá	Bogota (stad)
Brasília	Brasilia
Lima	Lima (stad)
Santiago	Santiago (Chili)
Quito	Quito
Asunción	Asuncion (stad)
Mbudzi	Geit
Mhuru	Kalf (rund)
Paramaribo	Paramaribo
Mukomana	Jongen
Musikana	Meisje
Kathmandu	Kathmandu (stad)
Belmopan	Belmopan
San José	San José (Costa Rica)
San Salvador	San Salvador (stad)
Canberra	Canberra
Moto	Vuur
Tegucigalpa	Tegucigalpa
Managua	Managua (stad)
Panama City	Panama-Stad
Rwizi Nile	Nijl
Rabat	Rabat (Marokko)
Algiers	Algiers
Tunis	Tunis
Tripoli	Tripoli (Libië)
Djibouti (city)	Djibouti (stad)
Tehran	Teheran
Addis Ababa	Addis Abeba
Jakarta	Jakarta
Ankara	Ankara
Asmara	Asmara
N'Djamena	Ndjamena
Nouakchott	Nouakchott (stad)
Riyadh	Riyad (stad)
Bamako	Bamako
Belgrade	Belgrado
Dakar	Dakar
Banjul	Banjul
Conakry	Conakry
Bissau	Bissau (Guinee-Bissau)
Monrovia	Monrovia (Liberia)
Praia	Praia
Accra	Accra
Damascus	Damascus
Yamoussoukro	Yamoussoukro
French Guiana	Frans-Guyana
Ouagadougou	Ouagadougou
Freetown	Freetown
Abuja	Abuja
Lomé	Lomé
Porto-Novo	Porto-Novo
Amman	Amman (stad)
Yaoundé	Yaoundé
Malabo	Malabo
Beirut	Beiroet
Libreville	Libreville
Muscat	Masqat
Bangui	Bangui (Centraal-Afrikaanse Republiek)
Kinshasa	Kinshasa
Brazzaville	Brazzaville
Bujumbura	Bujumbura
Nicosia	Nicosia (Cyprus)
Kigali	Kigali (stad)
Doha	Doha
Dodoma	Dodoma (stad)
Nairobi	Nairobi
Lilongwe	Lilongwe (stad)
Lusaka	Lusaka (stad)
Manama	Manama (stad)
Kudzikatidzwa kwezuva	Zonsverduistering
Maputo	Maputo (stad)
Kampala	Kampala
Luanda	Luanda (stad)
Moroni	Moroni (Comoren)
Mbabane	Mbabane
Maseru	Maseru (stad)
Muravanembiri	Binair
Chikoro	School (instelling)
Antananarivo	Antananarivo (stad)
Gaborone	Gaborone
Harare	Harare
Pretoria	Pretoria
Port Louis	Port Louis (stad)
São Tomé	Sao Tomé (stad)
Windhoek	Windhoek
Victoria (Seychelles)	Victoria (Seychellen)
Imba	Huis (woning)
Rwizi	Rivier
Boterekwa	Baan (hemellichaam)
Dong Hoi Airport	Luchthaven Đồng Hới
Mukaha weChadenga	Ruimte (astronomie)
Chiringakure	Telescoop (optica)
Curitiba	Curitiba (gemeente)
Sango	Bos (vegetatie)
Category:Masvomhu	Categorie:Wiskunde
Mbiru	Zuil (bouwkunde)
Gungwa Mediterranean	Middellandse Zee
Chitendero chechiKristu	Christendom
Mupunga	Rijst
Ziwumbe	Continent
Shiri	Vogels
Mwedzi (Mwaka)	Maand
Peji Rekutanga	Hoofdpagina
Cape Town	Kaapstad
Durban	Durban (Zuid-Afrika)
Bhazi	Autobus
Kabul	Kabul (stad)
Gumbeze	Deken (beddengoed)
Kusvira	Geslachtsgemeenschap
Mbutu	Vagina
Category:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
Category:Zvechadenga	Categorie:Astronomie
Mbayo	Materialisme (filosofie)
Matongerwo eNyika	Politiek
Kupatsanura zvipenyu	Taxonomie
Baradzira	Propaganda (communicatie)
Kilimanjaro	Kilimanjaro (berg)
Kutsvoda	Zoen
Rudzi rwaIsrael	Joden
Nzeve	Oor
Mhuno	Neus
Ziso	Oog (anatomie)
Humhutu	Steekmuggen
Hwayi	Schaap (dier)
Nghamera	Kamelen
Dzinoyamwisa	Zoogdieren
Nzou	Olifanten
Nyuchi	Bijen
Amai (vakakubereka)	Moeder
Sinowo	Sneeuw
Baba	Vaderschap
Vabereki	Ouder
Vana	Kind (leeftijdsgroep)
Ngongoni	Gnoes
Chingwa	Brood
Sangano reHutano Pasirose	Wereldgezondheidsorganisatie
Chimbuzi	Toilet
Sera (rezvinorarama)	Cel (biologie)
Ropa	Bloed
Mapapu	Long (orgaan)
Casablanca	Casablanca (stad)
Kundengenyeka kwenyika	Aardbeving
Muchegwa	Mineraal
Chokwadi	Waarheid
Mashandiro eZvinhu Zvisingararami	Natuurwetenschap
Dombo	Gesteente
Chikwatamabwe	Vulkaan
Pimagonyonhatu	Goniometrie
Pimanyika	Meetkunde
Mhepo	Wind (meteorologie)
Gute romweya	Atmosfeer (astronomie)
Muchenga Pfuma	Economie
Hushangazhi	Industrie
Misambo paBonde	Sekspositie
Bonyora	Masturbatie
Chita	Maatschappij (wereld)
Mhuri	Familie (verwanten)
Murume	Man (geslacht)
Rusaruraganda	Racisme
Muranda	Slavernij
Mukaka	Melk (drank)
Gomo	Berg (landvorm)
Gwenga	Woestijn
Lagos	Lagos (Nigeria)
Seoul	Seoel
Ruzivo	Kennis
Zamu	Borst
Chiedza	Licht
Chinamato	Religie
Genesisi	Genesis (boek)
Eksodo	Exodus (boek)
Baku	Bakoe
Thimphu	Thimphu (stad)
Bandar Seri Begawan	Bandar Seri Begawan
Dili	Dili (stad)
Vientiane	Vientiane (stad)
Malé	Malé
Bishkek	Bisjkek
Dushanbe	Doesjanbe
Chitaka	Lever
Itsvo	Nier (biologie)
Jende	Teelbal
Gungwa	Oceaan
Tsindi	Eekhoorns
Kufema	Ademhaling (mens)
Muzongoza	Ruggenmerg
Chibereko	Baarmoeder
Rurimi	Tong (anatomie)
Dzira (nhengo)	Zenuw
Makandiro	Eierstok
Mutsipa	Nek (anatomie)
Matumbu	Ingewanden
Tsatsadzi	Klier
Muronga wechikafu	Maag-darmstelsel
Huronyo	Sperma
Nouméa	Nouméa (stad)
Ronald Reagan	Ronald Reagan
Cardiff	Cardiff
Robert Gabriel Mugabe	Robert Mugabe
Georgetown	Georgetown (Guyana)
Bununu	Naaktheid
Dzinokambaira	Reptielen
Muti	Boom (plant)
Dzehugaro huviri	Amfibieën
Huchi	Honing
Nyama	Vlees
Mbatatisi	Aardappel
Shuga	Tafelsuiker
Muriwo	Groente
Pepanhau	Krant
Runhare	Telefoontoestel
Tsika	Cultuur
Sarajevo	Sarajevo
Mhetapawa	Logaritme
Huwandu	Rekenen
Zviringani	Coördinatenstelsel
Munyu	Keukenzout
Enzane	Vergelijking (wiskunde)
Munangatire	Functie (wiskunde)
Gonyo	Hoek (meetkunde)
Chidenhi	Hormoon
Rufangu	Versnelling (natuurkunde)
Simba	Energie
Manikidzo	Kracht
Ngoma	Trommel
Chinyenze	Fluit (muziekinstrument)
Gunganidzo	Zwaartekracht
Huremu	Massa (natuurkunde)
Simbi	Metaal
Misandu yeSebhe	Aggregatietoestand
Gasi	Gas (aggregatietoestand)
Mutuvi	Vloeistof
Godo	Vaste stof
Kurima	Landbouw
Donje	Katoen
Zvipfeko	Kleding
Kurima neMombe	Ploeg (werktuig)
Muchacha	Snelheid
Hujoto	Temperatuur
Kukorora Simbi	Metallurgie
Nguva	Tijd
Nharaunda	Oppervlakte
Dudzirazivo raPythagoras	Stelling van Pythagoras
Nhamba	Getal (wiskunde)
Chibage	Mais
Kudzana	Dans
Rufuvha (magetsi)	Elektrische stroom
Hwiriro	Frequentie
Sikarudzi	Voortplanting (biologie)
Nhumbu	Zwangerschap
Gorosi	Tarwe
Mapfunde	Sorgo
Hutano	Gezondheid
Kufuta	Obesitas
Zambuko	Brug (bouwwerk)
Dhamu	Dam (waterkering)
Kupimirana	Symmetrie
Nhamba mhumburu	Geheel getal
Mburungwa	Bol (lichaam)
Danhiko	Trap (gebouw)
Munondo	Zwaard (wapen)
Zvombo zveShomwe	Kernwapen
Majuro	Majuro
Dehenya	Schedel
Ranjisi	Sinaasappel
Ruomba	Room
Bhodhi	Beha
Penzura	Potlood
Tafura	Tafel (meubilair)
Template:Location map Zimbabwe	Sjabloon:Positiekaart Zimbabwe
Twiza	Giraffe (dier)
Muromo	Lip
Tsoka	Voet (anatomie)
Dzvinyu	Hagedissen
Pahuro	Keel (anatomie)
Template:Link FA	Sjabloon:Link FA
Pasirose	Wereld (Aarde)
Wikipedia:Community Portal	Wikipedia:De kroeg
Guam	Guam
American Samoa	Amerikaans-Samoa
Northern Mariana Islands	Noordelijke Marianen
Lolol	Lolol
Chipatara	Ziekenhuis
Kereke	Kerkgebouw
Zai	Ei (dier)
Denderedzwa	Cirkel
Mutsendo	Vlak (meetkunde)
Chizinganhare	Mobiele telefoon
Mhou (shiri)	Struisvogel
Dudzirazivo	Theorie
Pyongyang	Pyongyang
Pfumbamwe	9 (getal)
Tirana	Tirana (stad)
Mbongoro	Ezel (dier)
Gonyonhatu	Driehoek (meetkunde)
Cecil John Rhodes	Cecil Rhodes
Chișinău	Chisinau
Gumbapamwe reZviringani ZveTaranyika	Geografische coördinaten
Njanji	Spoorweg
Shangu	Schoen
Nomwe	7 (getal)
Nhuta	Goudmollen
Sere	8 (getal)
Vhiki	Week
Nyanza	Meer (watervlakte)
Ulaanbaatar	Ulaanbaatar
Edinburgh	Edinburgh
Ashgabat	Asjchabad
Chitsuwa	Eiland
Tanhatu	6 (getal)
Madomasi	Tomaat
Muenzanisi	Evenaar
Podgorica	Podgorica
Duramahwi	Woordenboek
Musoro	Hoofd (anatomie)
Wellington	Wellington (stad in Nieuw-Zeeland)
Valletta	Valletta
Gumi	10 (getal)
Dindingwe	Jachtluipaard
Mwaka yepaNyika	Seizoen
Zizi	Uilen (orde)
Nguva dzezuva	Uur
Dzemuzongoza	Gewervelden
Nowy Dwór Królewski	Nowy Dwór Królewski
Pristina	Pristina
Nyundo	Hamer (gereedschap)
Pichilemu	Pichilemu
Bete	Kakkerlakken
Pawa	Vermogen (natuurkunde)
Shuramurove	Ooievaar
Mukweso	Elektrische weerstand (eigenschap)
Haka	Manis
Mukwava	Knooppunt (wiskunde)
Cook Islands	Cookeilanden
Chipo (huwandu)	Benadering van een grootheid
Vhudzi	Haar (zoogdier)
Pimamuganhu	Omtrek
Jira	Textiel
Chedza	Poging
Huduma	Dichtheid (natuurkunde)
Mbiti	Otter (dier)
Mafuro	Weiland
Twana	Caracal (dier)
Alofi	Alofi (plaats)
Jamestown	Jamestown (Sint-Helena, Ascension en Tristan da Cunha)
French Polynesia	Frans-Polynesië
Hagåtña	Hagåtña
Mata-Utu	Matâ'utu
Yaren	Yaren
Tambo	Touw
Wedzaniso	Optellen
Tsiva	Boksen
Banga	Mes (voorwerp)
Mbizi	Zebra (dier)
ChiBantu	Bantoetalen
Muradanuro	Machtsverheffen
Mheni	Bliksem
New Caledonia	Nieuw-Caledonië (gebiedsdeel)
Hugari hwevanhu	Bevolking
Shizha	Blad
ChiShona	Shona (taal)
Niue	Niue
Rumbariro	Breedtegraad
Mapopoma	Waterval
Funafuti	Funafuti
Humburumbira	Cilinder (meetkunde)
Port-au-Prince	Port-au-Prince
Sipo	Zeep (reiniging)
Mugwagwa	Weg
Mvuu	Nijlpaard
Mirairo gumi yaMwari	Tien geboden
Johannesburg	Johannesburg
Jecha	Zand
Kingston	Kingston (Jamaica)
Mbada	Luipaard
Chipembere	Neushoorns
Santo Domingo	Santo Domingo (Dominicaanse Republiek)
Kuwait City	Koeweit (stad)
Arab	Arabieren
Colombo	Colombo (stad)
Bako	Grot
Wallis and Futuna	Wallis en Futuna
Mhakatwa	Materie
Huni	Brandhout
Kukotsira	Slaap (rust)
Kubhabhatidza	Doop (sacrament)
Igwa	Boot (vaartuig)
Mushenjere	Bamboe
Ivhu (Dhaga)	Bodem
Bridgetown	Bridgetown
Hurefu	Lengte (meetkunde)
Apia	Apia
Saint John's	Saint John's (Antigua en Barbuda)
Roseau	Roseau (Dominica)
Chiroto	Droom
Hunhungo	Lengtegraad
Port Moresby	Port Moresby
Kupirimuka kwemishonga	Chemische reactie
Chipfambi	Prostitutie
Gonhi	Deur
Gonyoina	Vierhoek
Tokelau	Tokelau
Gumi nembiri	12 (getal)
Chiso	Gelaat
Shambadza	Reclame
Mutsetse	Lijn (meetkunde)
Gumi neimwe	11 (getal)
Gumi nenhatu	13 (getal)
Masaisai	Golf (natuurkunde)
Gurapakati	Diameter
Mudzidzisi	Onderwijzer
Mweya Mutsvene	Heilige Geest
Nzungu	Pinda
Naypyidaw	Naypyidaw
Zana	100 (getal)
Mabvi	Knie (anatomie)
Bvungapfunga	Mist
Gonyozhinji	Veelhoek
Chivhuramabwe	Hagel (neerslag)
Musika (Kunotengeswa)	Markt (economie)
Rwavhi	Kameleons
Bloemfontein	Bloemfontein
Mawuto ehondo	Landmacht (algemeen)
Port Vila	Port Vila
Firiji	Koelkast
Mbambaira	Zoete aardappel
Mitemo yeruhambo yaNewton	Wetten van Newton
Gumi neina	14 (getal)
Nwiwa	Watermeloen
Gumi neshanu	15 (getal)
Gumi nesere	18 (getal)
Suva	Suva
Nukuʻalofa	Nuku'alofa
Port of Spain	Port of Spain
Mbeva	Mus (geslacht)
Mumhu	Inhoud (volume)
Puresha	Druk (grootheid)
Chiremba	Arts
Mupata	Dal (aardrijkskunde)
Kuverengwa kweVanhu	Volkstelling
Gumi nepfumbamwe	19 (getal)
Mudhebhe	Broek (kledingstuk)
Mwaka wechikumi	Decennium
Zvidhinha	Baksteen
Denderende	Ellips (wiskunde)
Gumi nenomwe	17 (getal)
Gumi nenhanhatu	16 (getal)
Kuunga huwandu	Vermenigvuldigen
Makumi maviri	20 (getal)
Gweta	Advocaat (beroep)
Kubvisa	Aftrekken (wiskunde)
Mbeu	Zaad (plant)
Mhando	Kata
Gakanje	Krabben
Honiara	Honiara
Mutundo	Urine
Huma	Voorhoofd
Mapisarema	Psalmen
Dova	Dauw
Gonyoina tsazamativi	Ruit (meetkunde)
Mburungwagama rekuchamhembe	Zuidelijk halfrond
Runhanhira	Impuls (natuurkunde)
Basseterre	Basseterre
Kingstown	Kingstown (Saint Vincent en de Grenadines)
St. George's, Grenada	Saint George's
Castries	Castries (Saint Lucia)
Rudzi	Etniciteit
Chisumamunyati	Hypothese
Zvakazarurwa	Openbaring van Johannes
Bere	Hyena's
Magaro	Bil (anatomie)
Mubhedha	Bed
Basa	Arbeid (natuurkunde)
Gwenzi	Struik
Munyakwe	Klei
Makumi mana	40 (getal)
Charaka	Kegel (ruimtelijke figuur)
Mutsimba	Worstelen
Nzunza	Serval (katachtige)
Palikir	Palikir
Ndebvu	Baard (haargroei)
Makumi matatu	30 (getal)
Muduso	Financiën
Shangwa	Droogte
Rwizi Zambezi	Zambezi
Garwe	Krokodillen
Tsivatsaona	Verzekering
Gonyeti	Vrachtauto
Victoria Falls	Victoriawatervallen
Gunguwo	Corvus (geslacht)
Nzvari	Vrouwelijk (biologie)
Ruwoko	Arm (ledemaat)
Tsime	Waterput
Cotonou	Cotonou
Sokisi	Sok (kledingstuk)
Ngarikuni	Meleagris
Guvhu	Navel
Hono	Mannelijk (biologie)
Injini	Motor
Kudzikatidzwa kwemwedzi	Maansverduistering
Cayenne	Cayenne (stad)
Madziya	Warmte
Pfumo	Speer
Chigayo	Molen
Mugodhi	Mijnbouw
Poyindi	Punt (wiskunde)
Gonyoina sambamba	Parallellogram
Museve	Pijl (wapen)
Annaba	Annaba (stad)
Hweru	Aardvarken
Dandare remagetsi	Elektrisch veld
Simba reNhekairo	Kinetische energie
Gonyoina sambambiri	Trapezium
Uta	Boog (wapen)
Kamba	Landschildpadden
Mandundu	Bergketen
Chindori	Ring (sieraad)
Saint-Denis	Saint-Denis (Réunion)
Mugomo	Emmer
Chiyero chekupimisa	Natuurkundige eenheid
Bhoni	Gloeilamp
Chitupa	Legitimatiebewijs
Template:Commons category	Sjabloon:Commonscat
Chitunha	Kadaver
Kennedy Space Center	Kennedy Space Center
Kuramwa Basa	Staking
Muchato	Bruiloft
Gwaro	Document
Muzasedimbu	Evenredigheid
Quilicura	Quilicura
Pago Pago	Pago Pago
Saipan	Saipan
Chirwere cheEbola	Ebola
Hurukuro	Gesprek
Datya	Kikkers
Sambamba	Evenwijdig
Musenerera	Osmose
Choya	Schaamhaar
Ndiro (yokudyira)	Bord (maaltijd)
Morgan Tsvangirai	Morgan Tsvangirai
Nhare	Fortificatie
Dandira (zvakarongeka)	Systeem (wetenschap)
Swakopmund	Swakopmund
Chivi (kutadza)	Zonde
Pakati	Center
Marudzi aShem	Semieten
Chanduru	Galblaas
Kugetsenura	Elektrolyse
Dimbu	Breuk (wiskunde)
Rutsaudzo rwechiedza	Lichtbreking
Doworume	Zaadcel
Duvurwi	Plateau (geografie)
Misodzi	Traan (oog)
Alfred Beit	Alfred Beit
Mushonga	Stof (scheikunde)
Makumi matanhatu	60 (getal)
Mukonikoni	Echte libellen
Bhodhoro	Fles
Jerenyenje	Mangoesten
Derere	Okra (plant)
Fes	Fez (stad)
Nhevedzwa dzeMvura	Waterkringloop
Mupurwa	Varanus
Muravanegumi	Decimaal
Chikara (mhuka)	Carnivoor
Kurwadziwa	Pijn
Nyanga	Hoorn (anatomie)
Rudzindi	Wrijving
Dunhu	Regio
Zita	Naam
Gonyonhanhatu	Regelmatige zeshoek
Denga (Remba)	Dak
Chidembo	Stinkdieren
Dzingiswa	Circumcisie
Huchenjeri	Intelligentie
Honha	Lingot
Mazita eMhuri	Achternaam
Dare	Klok (bel)
Lobamba	Lobamba
Marrakesh	Marrakesh
Mhopo	Wrat
Chitofu (mugodhi)	Erts (mineraal)
Nyauka	Smelten (faseovergang)
Kayiti	Vlieger (meetkunde)
Dendera	Rotatie (natuurkunde)
Gwamba	Stolling
Marin County	Marin County
Kuperekera magetsi	Soortelijke weerstand
Bumha	Zwerm
Chinepfu (ruhambo)	Traagheid
Tsika yekurava nhamba	Talstelsel
Huyu	Bijenraat
Zuvaragodza	Zonnewende
Mhanda (Kurwa)	Geweld
Chisipiti	Bron (water)
Chindunduma	Opstand
Port Elizabeth	Port Elizabeth
Nhambwe	Afstand
Tangier	Tanger
Kurutsa	Braken (lichaamsfunctie)
Gavakava	Aloë
Bhomba	Bom (wapen)
Makunakuna	Incest
Tsanga (ziso)	Cataract (oogaandoening)
Mafuta	Vet
Zvidya	Dij
Papeetē	Papeete
Jekanyika	Geodesie
Badza	Hak (grondbewerking)
South Tarawa	Zuid-Tarawa
