Saot Amerika	Zuid-Amerika
Lou Reed	Lou Reed
Robert Gates	Robert Gates
William Tyndale	William Tyndale
Apaxco	Apaxco
Efate	Efate
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Kalkot Mataskelekele	Kalkot Mataskelekele
Michael Somare	Michael Somare
Lluís Domènech i Montaner	Lluís Domènech i Montaner
Bry-sur-Marne	Bry-sur-Marne
Almaluez	Almaluez
Derek Sikua	Derek Sikua
Ambae Aelan	Ambae
Buk Blong Momon	Boek van Mormon
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Aliud	Aliud
Baraona	Baraona
Blufis	Papegaaivissen
Tornesch	Tornesch
Blakbokis	Pteropus anetianus
Markdorf	Markdorf
Tafea	Tafea
Shefa	Shefa
Sanma	Sanma
Malampa	Malampa
Yonawa	Jonava
Grin pijin	Ptilinopus
Waeldakdak	Wenkbrauweend
Sigal	Witkopmeeuw
Pigazzano	Pigazzano
Torba	Torba (Vanuatu)
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Casarejos	Casarejos
Almazul	Almazul
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Almenar de Soria	Almenar de Soria
Ausejo de la Sierra	Ausejo de la Sierra
Arévalo de la Sierra	Arévalo de la Sierra
Las Aldehuelas	Las Aldehuelas
Bliecos	Bliecos
Blacos	Blacos
Penama	Penama
Barca	Barca (Spanje)
List blong provens blong Vanuatu	Provincies van Vanuatu
Luganville	Luganville
Młoszowa	Młoszowa
Kakao	Cacaopoeder
Isangel	Isangel
Smalfala grin pijin	Greys jufferduif
Pijin blong hariken	Wigstaartpijlstormvogel
Bigfala grin pijin	Vanuatujufferduif
Nalaklak	Vanuatubrilvogel
Category:Germany	Categorie:Duitsland
Category:Itali	Categorie:Italië
Category:Yunaeted Stet blong Amerika	Categorie:Verenigde Staten
Category:Rusia	Categorie:Rusland
Category:Kanada	Categorie:Canada
Category:United Kingdom	Categorie:Verenigd Koninkrijk
Category:Spain	Categorie:Spanje
Category:China	Categorie:China
Category:India	Categorie:India
Category:Niu Zilan	Categorie:Nieuw-Zeeland
Sola	Sola (Vanuatu)
Category:Bangladesh	Categorie:Bangladesh
Category:Poland	Categorie:Polen
Category:Saot Koria	Categorie:Zuid-Korea
Category:Ukraine	Categorie:Oekraïne
Category:Vietnam	Categorie:Vietnam
Category:Pijin	Categorie:Vogel
Category:Baeoloji	Categorie:Biologie
Category:Histri	Categorie:Geschiedenis
Category:Jiografi	Categorie:Geografie
Category:Sosaeti	Categorie:Mens en maatschappij
Category:Rilijin	Categorie:Religie
Category:Saens	Categorie:Wetenschap
Category:Yunaeted Nesen	Categorie:Verenigde Naties
Saratamata	Saratamata
Category:Budisim	Categorie:Boeddhisme
Category:Kristaniti	Categorie:Christendom
Category:Islam	Categorie:Islam
Ba Ria	Bà Rịa (stad)
Bochotnica	Bochotnica
Benedicta Boccoli	Benedicta Boccoli
Category:Wikipedia Manejmen	Categorie:Wikipedia:Beheer
Category:Kultur	Categorie:Cultuur
Category:Kontinen	Categorie:Continent
Bigfala Apostasi	Grote Afval
Annarita Del Piano	Anna Rita Del Piano
Category:Pipol blong Yunaeted Stet blong Amerika	Categorie:Amerikaans persoon
Sergio Mattarella	Sergio Mattarella
Category:Kaontri	Categorie:Land
Category:Pipol	Categorie:Persoon
Category:Intanet	Categorie:Internet
Template:Bot	Sjabloon:Bot
Kanada	Canada
Category:Hungary	Categorie:Hongarije
Category:Czechia	Categorie:Tsjechië
Category:Litwania	Categorie:Litouwen
Category:Slovakia	Categorie:Slowakije
Category:Yurop	Categorie:Europa
Template:Documentation	Sjabloon:Sjabdoc
Category:Wikipedians by language	Categorie:Wikipedia:Babel
Template:Softredirect	Sjabloon:Softredirect
Template:Delete	Sjabloon:Nuweg
Category:Toktok	Categorie:Taal
Category:Wikipedia	Categorie:Encyclopedie Wikipedia
Category:Pages with broken file links	Categorie:Wikipedia:Pagina's met onjuiste bestandsverwijzingen
Wikipedia:Statistics	Wikipedia:Statistieken
Category:Buk	Categorie:Boek
Template:Babel	Sjabloon:Babel
Template:Commons	Sjabloon:Commons
Template:Link GA	Sjabloon:Link GA
Template:User eo-1	Sjabloon:Gebruiker eo-1
Template:User en-2	Sjabloon:Gebruiker en-2
Template:User es-1	Sjabloon:Gebruiker es-1
Template:User sk	Sjabloon:Gebruiker sk
Template:User fr-2	Sjabloon:Gebruiker fr-2
Category:Azerbaijan	Categorie:Azerbeidzjan
Category:Esia	Categorie:Azië
Template:Mod	Sjabloon:Modulo
Template:User it	Sjabloon:Gebruiker it
Template:States blog United States	Sjabloon:Navigatie bestuurlijke indeling Verenigde Staten
Category:User en	Categorie:Wikipedia:Gebruiker en
Category:Croatia	Categorie:Kroatië
Category:User en-2	Categorie:Wikipedia:Gebruiker en-2
Category:Hed blong Stet	Categorie:Staatshoofd
Template:Purge	Sjabloon:Purge
Template:Interwiki	Sjabloon:InterWiki
Category:Galicia	Categorie:Galicië
Category:User sk	Categorie:Wikipedia:Gebruiker sk
Category:User eo	Categorie:Wikipedia:Gebruiker eo
Category:User fr	Categorie:Wikipedia:Gebruiker fr
Category:User fr-2	Categorie:Wikipedia:Gebruiker fr-2
Category:User it-N	Categorie:Wikipedia:Gebruiker it-M
Category:User sk-N	Categorie:Wikipedia:Gebruiker sk-M
Category:User de	Categorie:Wikipedia:Gebruiker de
Category:User eo-1	Categorie:Wikipedia:Gebruiker eo-1
Category:User es	Categorie:Wikipedia:Gebruiker es
Category:User es-1	Categorie:Wikipedia:Gebruiker es-1
Category:User it	Categorie:Wikipedia:Gebruiker it
Category:Saens blong Pipol	Categorie:Sociale wetenschap
Category:Not Dakota	Categorie:North Dakota
Category:Louisiana	Categorie:Louisiana
Category:Arizona	Categorie:Arizona
Category:Kentucky	Categorie:Kentucky
Category:Armenia	Categorie:Armenië
Category:Vanuatu	Categorie:Vanuatu
Category:Pipol blong Vanuatu	Categorie:Vanuatuaans persoon
Category:Hed blong Stet blong Yunaeted Stet blong Amerika	Categorie:President van de Verenigde Staten
Category:Paraguay	Categorie:Paraguay
Category:Papua Nui Guini	Categorie:Papoea-Nieuw-Guinea
Category:Andorra	Categorie:Andorra
Category:Peru	Categorie:Peru
Category:Albania	Categorie:Albanië
Category:Fis	Categorie:Vis
Category:Dipsi	Categorie:Oceaan
Category:Animol	Categorie:Dierenrijk
Category:Asturias	Categorie:Asturië
Category:Wol	Categorie:Wereld
Category:Catalonia	Categorie:Catalonië
Trojany	Trojany (Mazovië)
Category:Provens blong Vanuatu	Categorie:Provincie van Vanuatu
Category:Buk Blong Momon	Categorie:Boek van Mormon
Category:Stesen blong Saot Koria	Categorie:Spoorwegstation in Zuid-Korea
Category:Sanma	Categorie:Sanma
Category:Penama	Categorie:Penama
Category:Soria	Categorie:Soria
Category:Aragón	Categorie:Aragón
Special:RecentChanges	Speciaal:RecenteWijzigingen
