ఆఫ్రికా	Afrika
డ్రోసిరా	Zonnedauw
తాష్కెంట్	Tasjkent
నీరు	Water
చెక్క	Hout
టెలివిజన్	Televisie
లింగ భేదం	Sekse
చిలీ	Chili
యేసు	Jezus (traditioneel-christelijk)
శారీరక దండన	Lijfstraf
గెలీలియో గెలీలి	Galileo Galilei
బుధుడు	Mercurius (planeet)
చరిత్ర	Geschiedenis
యాపిల్ ఇన్‌కార్పొరేషన్	Apple Inc.
శుక్రుడు	Venus (planeet)
భాష	Taal
ప్రేమ	Liefde
నియంతృత్వం	Dictatuur
గేలక్సీ	Sterrenstelsel
గురుడు	Jupiter (planeet)
మిచెల్లీ బచెలేట్	Michelle Bachelet
పాలపుంత	Melkweg (sterrenstelsel)
మహా విస్ఫోటం	Oerknal
యురేనస్	Uranus (planeet)
ఆంగ్ల వికీపీడియా	Engelstalige Wikipedia
నెప్ట్యూన్	Neptunus (planeet)
ఖగోళ శాస్త్రము	Astronomie
సింగపూరు	Singapore
విజ్ఞానశాస్త్రం	Wetenschap
ప్లూటో	Pluto (dwergplaneet)
మాంట్రియల్	Montreal (Canada)
కాలము	Toekomst
మరియమ్	Maria (moeder van Jezus)
ఆటలు	Sport
ఎడాల్ఫ్ హిట్లర్	Adolf Hitler
ఫేస్‌బుక్	Facebook
గూగుల్+	Google+
వికీలీక్స్	WikiLeaks
జూలియన్ అసాంజే	Julian Assange
మొదటి ప్రపంచ యుద్ధం	Eerste Wereldoorlog
రెండవ ప్రపంచ యుద్ధం	Tweede Wereldoorlog
కొలోన్	Keulen (stad)
లంచం	Corruptie
వికీబుక్స్	Wikibooks
వికీకోట్	Wikiquote
ఉబుంటు	Ubuntu (Linuxdistributie)
లినక్స్	Linux
బాబ్ డైలాన్	Bob Dylan
గణితము	Wiskunde
లాటిన్	Latijn
బహ్రయిన్	Bahrein
ఆర్మేనియా	Armenië
జెన్నా జేమ్సన్	Jenna Jameson
సెర్బియా	Servië
చంద్రుడు	Maan
ఇస్తాంబుల్	Istanboel
ఆస్ట్రేలియా	Australië (land)
కార్ల్ సాగాన్	Carl Sagan
భౌతిక శాస్త్రము	Natuurkunde
అర్జెంటీనా	Argentinië
పెరూ	Peru
జీవ శాస్త్రము	Biologie
గుర్తించబడని ఎగురుతున్న వస్తువు	Unidentified flying object
ఉత్తర కొరియా	Noord-Korea
కంబోడియా	Cambodja
క్యూపర్ బెల్ట్	Kuipergordel
ఖోరాన్	Koran
రాక్షసబల్లి	Dinosauriërs
జంతుశాస్త్రం	Zoölogie
ఇస్లాం మతం	Islam
వృక్షశాస్త్రం	Plantkunde
లెక్ వలీసా	Lech Wałęsa
చక్రం	Wiel (voortbeweging)
శాంతి	Vrede
బ్రిటానికా విజ్ఞాన సర్వస్వము	Encyclopædia Britannica
ఐరోపా సమాఖ్య	Europese Unie
వరల్డ్ వైడ్ వెబ్	Wereldwijd web
స్త్రీ	Vrouw
కవి	Poëzie
కంప్యూటర్ వైరస్	Computervirus
హిరోషిమా మరియు నాగసాకిలపై అణ్వస్త్ర దాడులు	Atoombommen op Hiroshima en Nagasaki
మిలన్	Milaan (stad)
మిత్రుడు	Vriendschap
మలము	Ontlasting
గుదము	Anus (anatomie)
చంక	Oksel
నిమ్మ	Citroen (vrucht)
అరటి	Banaan (vrucht)
పుష్పము	Bloem (plant)
గూగోల్	Googol
ఎవరెస్టు పర్వతం	Mount Everest
శరీర నిర్మాణ శాస్త్రము	Anatomie
నగరము	Stad
నెపోలియన్	Napoleon Bonaparte
శరీరశాస్త్రం	Fysiologie
నక్షత్రము (ఖగోళశాస్త్రం)	Ster (hemellichaam)
సూర్యుడు	Zon
ఆకాశం	Hemelgewelf
లూయీ పాశ్చర్	Louis Pasteur
కాంతి సంవత్సరం	Lichtjaar
గ్రామం	Dorp
విక్టర్ హ్యూగో	Victor Hugo
ఓషియానియా	Oceanië
గిసేప్పి గారిబాల్డి	Giuseppe Garibaldi
సౌరమండలము	Zonnestelsel
హైడ్రోజన్	Waterstof (element)
హీలియం	Helium
పన్ను	Tand (mens)
నరకం	Hel (mythologie)
వికీపీడియా:వికీమీడియా కామన్స్	Wikimedia Commons
లిథియం	Lithium (element)
బెరీలియం	Beryllium
పుస్తకము	Boek (document)
తూర్పు తైమూర్	Oost-Timor
రాత్రి	Nacht
సంవత్సరము	Jaar
కృష్ణబిలం	Zwart gat
సెరిస్ (మరుగుజ్జు గ్రహం)	Ceres (dwergplaneet)
లిస్బన్	Lissabon
ఎరిస్ (మరుగుజ్జు గ్రహం)	Eris (dwergplaneet)
దుబాయ్	Dubai (emiraat)
బోరాన్	Boor (element)
నికోలాస్ కోపర్నికస్	Nicolaas Copernicus
కార్బన్	Koolstof
నత్రజని	Stikstof (element)
ఆక్సిజన్	Zuurstof (element)
ఫుట్‌బాల్ క్లబ్ ఇంటర్నేజనలే మిలనో	FC Internazionale Milano
గ్రహం	Planeet
క్లియోపాత్రా	Cleopatra VII
భారతీయ సంగీతము	Muziek
వెనిస్	Venetië (stad)
ఉష్ణమాపకం	Thermometer
మాస్కో	Moskou
ఫ్లోరిన్	Fluor (element)
చువావా (కుక్క)	Chihuahua (hond)
నియాన్	Neon (element)
సెయింట్ పీటర్స్‌బర్గ్	Sint-Petersburg
చాద్	Tsjaad
సోడియం	Natrium
ఉత్తరం	Noord (windstreek)
మెగ్నీషియం	Magnesium
అల్యూమినియం	Aluminium
న్యూజీలాండ్	Nieuw-Zeeland
దక్షిణం	Zuid
భారత దేశము	India
సిలికాన్	Silicium
భాస్వరము	Fosfor
ఇనుము	IJzer (element)
పడమర	West
అలెస్సాండ్రో వోల్టా	Alessandro Volta
సల్ఫర్	Zwavel
సమోవా	Samoa
తూర్పు	Oost (windstreek)
సోలమన్ దీవులు	Salomonseilanden
వనాటు	Vanuatu
క్లోరిన్	Chloor (element)
విలియం షేక్‌స్పియర్	William Shakespeare
ఫైర్‌ఫాక్స్	Mozilla Firefox
పొటాషియం	Kalium
కాల్షియమ్	Calcium
సీసము (మూలకము)	Lood (element)
కిరిబటి	Kiribati
మంగోలియా	Mongolië
ఫిజీ	Fiji
స్కాండియం	Scandium
టైటానియం	Titanium
వెనుజులా	Venezuela
చదరంగం (ఆట)	Schaken
చెంఘీజ్ ఖాన్	Dzjengis Khan
వెనేడియం	Vanadium
మెయిన్	Maine
క్రోమియం	Chroom (element)
గుర్రము	Paard (dier)
ఆయుధం	Gevechtswapen
జంతువు	Dierenrijk
సురినామ్	Suriname
మాంగనీస్	Mangaan
గయానా	Guyana
ఈక్వడార్	Ecuador
కొలంబియా	Colombia
కోబాల్ట్	Kobalt
నికెల్	Nikkel
బౌద్ధ మతము	Boeddhisme
బొలీవియా	Bolivia
ఓస్మియం	Osmium
రాగి	Koper (element)
ట్రినిడాడ్ మరియు టొబాగో	Trinidad en Tobago
మొక్క	Planten
తుత్తునాగము	Zink (element)
న్యూహాంప్‌షైర్	New Hampshire
లియొనార్డో డావిన్సి	Leonardo da Vinci
శిలీంధ్రం	Schimmels
జమైకా	Jamaica
మసాచూసెట్స్	Massachusetts
గూగుల్ క్రోమ్	Google Chrome
బహామాస్	Bahama's
కనెక్టికట్	Connecticut
కోడి	Kip (vogel)
ఆంటిగ్వా మరియు బార్బుడా	Antigua en Barbuda
హవాయి	Hawaï
హోండురాస్	Honduras
జెర్సీ	Jersey (eiland)
డొమెనికన్ రిపబ్లిక్	Dominicaanse Republiek
పంది	Varken (tam)
ఆర్క్‌టిక్ మహాసముద్రం	Noordelijke IJszee
ఇరాన్	Iran
ఇరాక్	Irak
అలాస్కా	Alaska
వివేకం	Wijsheid (deugd)
కోస్టారీకా	Costa Rica
ఇజ్రాయిల్	Israël
పనామా	Panama (land)
యెమన్	Jemen
వైరస్	Virus (biologie)
జోర్డాన్	Jordanië
ఫ్లోరిడా	Florida (staat)
కిర్గిజిస్తాన్	Kirgizië
ఆరిజోనా	Arizona (staat)
కువైట్	Koeweit
లావోస్	Laos
లెబనాన్	Libanon
ఓరెగాన్	Oregon
మాల్దీవులు	Maldiven
యూటా	Utah
పశువు	Rund
మలేషియా	Maleisië
మయన్మార్	Myanmar
నేపాల్	Nepal
ఒమన్	Oman
పాకిస్తాన్	Pakistan
‌జేమ్స్ బాండ్	James Bond
కతర్	Qatar
టెన్నిస్	Tennis
సౌదీ అరేబియా	Saoedi-Arabië
శ్రీలంక	Sri Lanka
స్టాలిన్	Jozef Stalin
బార్‌కోడ్	Streepjescode
సిరియా	Syrië
ప్లేటో	Plato
గాలియం	Gallium
తజికిస్తాన్	Tadzjikistan
తైవాన్	Taiwan
యూ ట్యూబ్	YouTube
జెర్మేనియం	Germanium
అరిస్టాటిల్	Aristoteles
థాయిలాండ్	Thailand
రైలు	Trein
ఆర్సెనిక్	Arseen
రేడియో	Radio
తుర్కమేనిస్తాన్	Turkmenistan
సెలీనియం	Seleen
యునైటెడ్ అరబ్ ఎమిరేట్స్	Verenigde Arabische Emiraten
బ్రోమిన్	Broom (element)
వియత్నాం	Vietnam
చార్లీ చాప్లిన్	Charlie Chaplin
దక్షిణ కొరియా	Zuid-Korea
ఆఫ్ఘనిస్తాన్	Afghanistan
బంగారం	Goud
సూయజ్ కాలువ	Suezkanaal
శాస్త్రవేత్త	Wetenschapper
బంగ్లాదేశ్	Bangladesh
ఫ్రాంజ్ కాఫ్కా	Franz Kafka
జార్జ్ లూయిస్ బోర్గర్స్	Jorge Luis Borges
సోక్రటీసు	Socrates (filosoof)
అంగోలా	Angola
భూటాన్	Bhutan
ట్విట్టర్	Twitter
బ్రూనై	Brunei
టాంజానియా	Tanzania
ఫిలిప్పీన్స్	Filipijnen
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	Centraal-Afrikaanse Republiek
ఐజాక్ న్యూటన్	Isaac Newton
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
స్ట్రాన్షియం	Strontium
పసుపు (రంగు)	Geel (kleur)
ట్యునీషియా	Tunesië
జాంబియా	Zambia
జింబాబ్వే	Zimbabwe
బీజింగ్	Peking
దక్షిణ సూడాన్	Zuid-Soedan
బెనిన్	Benin
బోత్సువానా	Botswana
బర్కీనా ఫాసో	Burkina Faso
బురుండి	Burundi
కొమొరోస్	Comoren
కాంగో రిపబ్లిక్	Congo-Brazzaville
శాన్ అంటోనియో	San Antonio (Texas)
జిబౌటి	Djibouti (land)
బవేరియా	Beieren
ఎరిత్రియా	Eritrea
క్రొత్త ఢిల్లీ	New Delhi
దాస్తొయెవ్‌స్కీ	Fjodor Dostojevski
శిశువు	Baby
గబాన్	Gabon
మహాత్మా గాంధీ	Mohandas Karamchand Gandhi
కామిక్స్	Stripverhaal
గాంబియా	Gambia (land)
కోటె డి ఐవొరి	Ivoorkust
కామెరూన్	Kameroen
కేప్ వర్దె	Kaapverdië
లిబియా	Libië
మడగాస్కర్	Madagaskar
మౌరిటానియ	Mauritanië
మారిషస్	Mauritius (land)
మొరాకో	Marokko
మొజాంబిక్	Mozambique
నమీబియా	Namibië
నైజర్	Niger (land)
నైజీరియా	Nigeria
చార్లెస్ డార్విన్	Charles Darwin
ఉగాండా	Oeganda
రువాండా	Rwanda
సెనెగల్	Senegal
కరోలస్ లిన్నేయస్	Carolus Linnaeus
సొమాలియా	Somalië
నియోబియం	Niobium
జవహర్‌లాల్ నెహ్రూ	Jawaharlal Nehru
జూలియస్ సీజర్	Julius Caesar
సూడాన్	Soedan
ఇంద్రధనస్సు	Regenboog (optica)
టెక్నీషియం	Technetium
నరేంద్ర మోడి	Narendra Modi
రోగ నిరోధక వ్యవస్థ	Immuunsysteem
గుజరాత్	Gujarat
పరిణామం	Evolutie (biologie)
ఐక్యరాజ్య సమితి	Verenigde Naties
భూగోళ శాస్త్రము	Aardrijkskunde
గుండె	Hart
మెదడు	Hersenen
చర్మము	Huid
రంగు	Kleur
నామవాచకం	Zelfstandig naamwoord
నీలము	Blauw (kleur)
వెండి	Zilver
కాడ్మియం	Cadmium
తగరము	Tin (element)
అయోడిన్	Jodium (element)
సీసియం	Cesium
విద్యుద్భరితము	Elektrische lading
బిల్ క్లింటన్	Bill Clinton
ఇందిరా గాంధీ	Indira Gandhi
ముంబై	Bombay
ఆంధ్ర ప్రదేశ్	Andhra Pradesh
అరుణాచల్ ప్రదేశ్	Arunachal Pradesh
అసోం	Assam
బీహార్	Bihar
మిషిగన్	Michigan
ఛత్తీస్‌గఢ్	Chhattisgarh
గోవా	Goa (India)
హర్యానా	Haryana
హిమాచల్ ప్రదేశ్	Himachal Pradesh
జమ్మూ కాశ్మీరు	Jammu en Kasjmir (staat)
ఫ్యూర్టో రికో	Puerto Rico
జార్ఖండ్	Jharkhand
కర్ణాటక	Karnataka
కేరళ	Kerala
మధ్య ప్రదేశ్	Madhya Pradesh
ఉసేన్ బోల్ట్	Usain Bolt
మహారాష్ట్ర	Maharashtra
మణిపూర్	Manipur
మేఘాలయ	Meghalaya
ఇల్లినాయిస్	Illinois (staat)
నార్త్ డకోటా	North Dakota
సౌత్ డకోటా	South Dakota
మొంటానా	Montana (staat)
వయోమింగ్	Wyoming
జెరూసలేం	Jeruzalem
ఐడహొ	Idaho
బ్రూస్ స్ప్రింగ్‌స్టీన్	Bruce Springsteen
నెవాడా	Nevada (staat)
హిందూ మహాసముద్రం	Indische Oceaan
కోఫీ అన్నన్	Kofi Annan
బౌత్రోస్ బౌత్రోస్ ఘలీ	Boutros Boutros-Ghali
జేవియర్ పెరేజ్ డిక్యుల్లర్	Javier Pérez de Cuéllar
కొలరాడో	Colorado (staat)
యూ థాంట్	U Thant
కొలరాడో నది	Colorado (rivier)
ట్రిగ్వేలీ	Trygve Lie
వర్గం:వర్గాలు	Categorie:Alles
ఆల్ప్స్ పర్వతాలు	Alpen
బ్లేజ్ పాస్కల్	Blaise Pascal
డార్ట్ ముండ్	Dortmund
చికాగో	Chicago
ద బీటిల్స్	The Beatles
చలికాలం	Winter
వేసవి కాలం	Zomer
విషువత్తు	Equinox
సద్దామ్ హుసేన్	Saddam Hoessein
ఒసామా బిన్ లాదెన్	Osama bin Laden
స్పానిష్ భాష	Spaans
పిట్స్‌బర్గ్	Pittsburgh
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	Philadelphia (Pennsylvania)
కోల్‌కత	Calcutta
చెన్నై	Madras
ఢిల్లీ	Delhi (stad)
ఢాకా	Dhaka (stad)
బెంగుళూరు	Bangalore
పశ్చిమ బెంగాల్	West-Bengalen
సాలెపురుగు	Spinnen (dieren)
ఆర్థ్రోపోడా	Geleedpotigen
హైదరాబాదు	Haiderabad (Andhra Pradesh)
ఇస్లామాబాద్	Islamabad
త్రిపుర	Tripura
పండు	Vrucht (plant)
ధనం	Geld
వర్జీనియా	Virginia (staat)
పశ్చిమ వర్జీనియా	West Virginia
న్యూయార్క్ రాష్ట్రం	New York (staat)
రోడ్ ఐలండ్	Rhode Island (staat)
కీటకము	Insecten
మేరీల్యాండ్	Maryland
డెలావేర్	Delaware
లెనిన్	Vladimir Lenin
ఒహాయో	Ohio (staat)
మాకియవెలీ	Niccolò Machiavelli
పెన్సిల్వేనియా	Pennsylvania
ఊఎతెర్సెన్	Uetersen
ఆగస్టస్	Imperator Caesar Augustus
విండోస్	Microsoft Windows
న్యూజెర్సీ	New Jersey
నీరో	Nero (keizer)
ఇండియానా	Indiana
నోకియా	Nokia (bedrijf)
కారు	Auto
రోజర్ ఫెడరర్	Roger Federer
జార్జియా	Georgia (staat)
కెడిఇ(KDE)	KDE
రాజస్థాన్	Rajasthan
టెక్సస్	Texas (staat)
తమిళనాడు	Tamil Nadu
నార్త్ కెరొలినా	North Carolina
మైదాన హాకీ	Hockey
సౌత్ కెరొలినా	South Carolina
సిసిలీ	Sicilië
మనీలా	Manilla
సార్డీనియా	Sardinië
క్రోన్స్ వ్యాధి	Ziekte van Crohn
టోక్యో	Tokio
అనాస	Ananas
మిసిసిపీ	Mississippi (staat)
మిసిసిపీ నది	Mississippi (rivier)
ఉత్తర ప్రదేశ్	Uttar Pradesh
ఉత్తరాఖండ్	Uttarakhand
ఈత కొలను	Zwembad
మిజోరాం	Mizoram
సిక్కిం	Sikkim
టేనస్సీ	Tennessee
నాగపూర్	Nagpur (stad)
న్యూ మెక్సికో	New Mexico
ఏథెన్స్	Athene (stad)
మిన్నసోటా	Minnesota
విస్కాన్సిన్	Wisconsin
పూణే	Poona (stad)
అయోవా	Iowa (staat)
నెబ్రాస్కా	Nebraska
కాన్సాస్	Kansas (staat)
హిందీ భాష	Hindi
మరాఠీ భాష	Marathi (taal)
పొగ చుట్ట	Sigaar
సిగరెట్	Sigaret
వినాయకుడు	Ganesha
మిస్సోరీ	Missouri (staat)
లూసియానా	Louisiana (staat)
నాగాలాండ్	Nagaland
కెంటకీ	Kentucky
ఆర్కాన్సా	Arkansas (staat)
నీల్ ఆర్మ్‌స్ట్రాంగ్	Neil Armstrong
ఉర్దూ భాష	Urdu
ఓక్లహోమా	Oklahoma
డానుబే	Donau
వాలీబాల్	Volleybal
వియన్నా	Wenen
కోపెన్‌హాగన్	Kopenhagen
స్టాక్‌హోమ్	Stockholm
కొచ్చి	Kochi (India)
బైబిల్	Bijbel (christendom)
నిజ ఏసుక్రీస్తు మండలి	Ware Jezuskerk
ఆంగ్ల భాష	Engels
బ్యాంకాక్	Bangkok
క్యివ్	Kiev
అంటారియో	Ontario
అటావా	Ottawa (stad)
కొన్‌స్కొవొలా	Końskowola
ఫార్ములా వన్	Formule 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
కార్బన్ డయాక్సైడ్	Koolstofdioxide
2013	2013
2008	2008
జావాస్క్రిప్టు	JavaScript
2004	2004
2005	2005
2006	2006
2007	2007
లినక్స్ మింట్	Linux Mint
1900	1900
1901	1901
1902	1902
ఫ్లోరెన్స్	Florence (stad)
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
హెచ్‌టిఎమ్ఎల్5(HTML5)	HTML5
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
ఆహారం	Voedsel
పాము	Slangen
XML	Extensible Markup Language
నోటితో రతి	Orale seks
న్యూట్రినో	Neutrino
సన్ గోకు (డ్రాగన్ బాల్)	Son Goku
జనవరి 1	1 januari
జనవరి 2	2 januari
సుభాష్ చంద్రబోస్	Subhas Bose
1920	1920
జనవరి 3	3 januari
1919	1919
1921	1921
1922	1922
జనవరి 4	4 januari
1923	1923
1924	1924
ఆస్టెరాయిడ్ పట్టీ	Planetoïdengordel
గిఫ్	Graphics Interchange Format
మరుగుజ్జు గ్రహం	Dwergplaneet
జనవరి 5	5 januari
జనవరి 6	6 januari
ఎలక్ట్రాన్	Elektron
జనవరి 7	7 januari
జనవరి 8	8 januari
జనవరి 9	9 januari
జనవరి 10	10 januari
జనవరి 11	11 januari
జనవరి 12	12 januari
జనవరి 13	13 januari
బర్మింగ్‌హామ్	Birmingham (Verenigd Koninkrijk)
జనవరి 14	14 januari
జనవరి 15	15 januari
జనవరి 16	16 januari
జనవరి 17	17 januari
జనవరి 18	18 januari
జనవరి 19	19 januari
జనవరి 20	20 januari
పారిశ్రామిక విప్లవం	Industriële revolutie
జనవరి 21	21 januari
జనవరి 22	22 januari
జనవరి 23	23 januari
జనవరి 24	24 januari
జనవరి 25	25 januari
జనవరి 26	26 januari
మైక్రోసాఫ్ట్	Microsoft
జనవరి 27	27 januari
జనవరి 28	28 januari
జనవరి 29	29 januari
జనవరి 30	30 januari
జనవరి 31	31 januari
ప్రోటాన్	Proton (deeltje)
డిసెంబర్ 2	2 december
డిసెంబర్ 1	1 december
డిసెంబర్ 3	3 december
డిసెంబర్ 7	7 december
డిసెంబర్ 5	5 december
డిసెంబర్ 8	8 december
డిసెంబర్ 10	10 december
డిసెంబర్ 6	6 december
డిసెంబర్ 9	9 december
పింక్ ఫ్లాయిడ్	Pink Floyd
డిసెంబర్ 4	4 december
ఫిబ్రవరి 1	1 februari
ఫిబ్రవరి 2	2 februari
ఫిబ్రవరి 3	3 februari
కురోవ్	Kurów (powiat Puławski)
ఫిబ్రవరి 4	4 februari
ఫిబ్రవరి 5	5 februari
ఫిబ్రవరి 6	6 februari
ఫిబ్రవరి 7	7 februari
ఫిబ్రవరి 8	8 februari
ఫిబ్రవరి 9	9 februari
ఫిబ్రవరి 10	10 februari
రసాయన శాస్త్రము	Scheikunde
ఫిబ్రవరి 14	14 februari
ఫిబ్రవరి 13	13 februari
ఫిబ్రవరి 15	15 februari
ఫిబ్రవరి 11	11 februari
ఫిబ్రవరి 12	12 februari
ఫిబ్రవరి 19	19 februari
ఫిబ్రవరి 17	17 februari
ఫిబ్రవరి 16	16 februari
ఫిబ్రవరి 18	18 februari
ఫిబ్రవరి 20	20 februari
12 యాంగ్రీ మెన్	12 Angry Men (1957)
న్యూట్రాన్	Neutron
69 భంగిమ	Soixante-neuf
ఫిబ్రవరి 21	21 februari
ఫిబ్రవరి 22	22 februari
ఫిబ్రవరి 23	23 februari
ఫిబ్రవరి 24	24 februari
ఫిబ్రవరి 25	25 februari
ఫిబ్రవరి 26	26 februari
ఫిబ్రవరి 27	27 februari
ఫిబ్రవరి 28	28 februari
డిసెంబర్ 11	11 december
ఫిబ్రవరి 29	29 februari
డిసెంబర్ 12	12 december
విజువల్ బేసిక్	Visual Basic
డిసెంబర్ 13	13 december
డిసెంబర్ 14	14 december
డిసెంబర్ 15	15 december
మార్చి 2	2 maart
మార్చి 3	3 maart
మార్చి 5	5 maart
మార్చి 1	1 maart
మార్చి 7	7 maart
మార్చి 8	8 maart
మార్చి 4	4 maart
మార్చి 10	10 maart
మార్చి 11	11 maart
మార్చి 6	6 maart
మార్చి 13	13 maart
మార్చి 9	9 maart
మార్చి 12	12 maart
మార్చి 15	15 maart
మార్చి 14	14 maart
డిసెంబర్ 16	16 december
డిసెంబర్ 17	17 december
మార్చి 16	16 maart
మార్చి 17	17 maart
మార్చి 18	18 maart
మార్చి 19	19 maart
1989	1989
1988	1988
మార్చి 20	20 maart
1987	1987
1986	1986
1985	1985
1984	1984
మార్చి 21	21 maart
1983	1983
మార్చి 22	22 maart
1982	1982
1981	1981
డిసెంబర్ 18	18 december
1980	1980
మార్చి 23	23 maart
