આફ્રિકા	Afrika
ચેરી	Kers (fruit)
૧	1 (getal)
૦ (શૂન્ય)	0 (getal)
લાટવિયા	Letland
યુક્રેન	Oekraïne
સ્લોવાકિયા	Slowakije
સ્લોવેનિયા	Slovenië
મોલ્દોવા	Moldavië (land)
રોમાનિયા	Roemenië
બલ્ગેરિયા	Bulgarije
મેસેડોનિયા	Macedonië (land)
આલ્બેનિયા	Albanië
ક્રોએશિયા	Kroatië
અઝેરબીજાન	Azerbeidzjan
સાયપ્રસ	Cyprus
જ્યોર્જીયા (દેશ)	Georgië
કઝાકિસ્તાન	Kazachstan
માલ્ટા	Malta (land)
મોનૅકો	Monaco
મોન્ટેનીગ્રો	Montenegro
સાન મૅરિનો	San Marino
ઍફીલ ટાવર	Eiffeltoren
ઇન્ટેલ કોર્પોરેશન	Intel
કોમ્પ્યુટર કીબોર્ડ	Toetsenbord (computer)
જાવા (પ્રોગ્રામિંગ ભાષા)	Java (programmeertaal)
ઈંડોનેશિયા	Indonesië
મોઝાર્ટ	Wolfgang Amadeus Mozart
દક્ષિણ આફ્રિકા	Zuid-Afrika
વિકિસ્રોત	Wikisource
ઉઝબેકિસ્તાન	Oezbekistan
પાણી	Water
ચીલી	Chili
ઇસુ	Jezus (traditioneel-christelijk)
ગૅલિલિયો ગૅલિલિ	Galileo Galilei
બુધ (ગ્રહ)	Mercurius (planeet)
ઇતિહાસ	Geschiedenis
શુક્ર (ગ્રહ)	Venus (planeet)
ભાષા	Taal
પ્રેમ	Liefde
આકાશગંગા	Sterrenstelsel
ગુરુ (ગ્રહ)	Jupiter (planeet)
યુરેનસ (ગ્રહ)	Uranus (planeet)
નૅપ્ચ્યુન (ગ્રહ)	Neptunus (planeet)
ખગોળશાસ્ત્ર	Astronomie
સિંગાપુર	Singapore
વિજ્ઞાન	Wetenschap
પ્લૂટો	Pluto (dwergplaneet)
ફ્રી સૉફ્ટવૅર	Vrije software
લીચેસ્ટેઈન	Liechtenstein
રમત-ગમત	Sport
ફેસબુક	Facebook
જુલિયન અસાંજે	Julian Assange
બીજું વિશ્વ યુદ્ધ	Tweede Wereldoorlog
ભ્રષ્ટાચાર	Corruptie
વોડકા	Wodka
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu (Linuxdistributie)
ગણિત	Wiskunde
બહેરીન	Bahrein
આર્મેનિયા	Armenië
ચંદ્ર	Maan
ઑસ્ટ્રેલિયા	Australië (land)
ભૌતિકશાસ્ત્ર	Natuurkunde
આર્જેન્ટીના	Argentinië
પેરુ (દેશ)	Peru
જીવવિજ્ઞાન	Biologie
અજાણી ઊડતી વસ્તુ	Unidentified flying object
ઉત્તર કોરિયા	Noord-Korea
કમ્બોડીયા	Cambodja
કુરાન	Koran
ડાયનાસોર	Dinosauriërs
પ્રાણીશાસ્ત્ર	Zoölogie
ઇસ્લામ	Islam
વર્લ્ડ વાઈડ વેબ	Wereldwijd web
સ્ત્રી	Vrouw
કોમ્પ્યુટર વાયરસ	Computervirus
હિરોશિમા અને નાગાસાકી પરનો અણુ હુમલો	Atoombommen op Hiroshima en Nagasaki
મિલાન	Milaan (stad)
લીંબુ	Citroen (vrucht)
કેળાં	Banaan (vrucht)
ફૂલ	Bloem (plant)
માઉન્ટ એવરેસ્ટ	Mount Everest
શહેર	Stad
નેપોલિયન બોનાપાર્ટ	Napoleon Bonaparte
સૂર્ય	Zon
લૂઈ પાશ્ચર	Louis Pasteur
પ્રકાશવર્ષ	Lichtjaar
ગામ	Dorp
સૂર્યમંડળ	Zonnestelsel
ચેમ્પ્સ-એલીસીસ (પેરિસ)	Avenue des Champs-Élysées
ઉદકજન	Waterstof (element)
હીલિયમ	Helium
નર્ક	Hel (mythologie)
વિકિમીડિયા કૉમન્સ	Wikimedia Commons
લિથિયમ	Lithium (element)
બેરિલિયમ	Beryllium
દિવસ	Dag
પૂર્વ તિમોર	Oost-Timor
વર્ષ	Jaar
ઓસ્લો	Oslo
કૃષ્ણ વિવર	Zwart gat
સિરસ (વામન ગ્રહ)	Ceres (dwergplaneet)
હૌમેયા (વામન ગ્રહ)	Haumea
મેકમેક (વામન ગ્રહ)	Makemake
બોરોન	Boor (element)
કાર્બન	Koolstof
નત્રલવાયુ	Stikstof (element)
પ્રાણવાયુ (ઑક્સીજન)	Zuurstof (element)
ગ્રહ	Planeet
સંગીત	Muziek
ઉષ્ણતામાપક	Thermometer
ફ્લોરિન	Fluor (element)
નિયોન	Neon (element)
ચૅડ	Tsjaad
ક્ષારાતુ	Natrium
ઉત્તર	Noord (windstreek)
મેગ્નેશિયમ	Magnesium
સ્ફટયાતુ	Aluminium
દક્ષિણ	Zuid
ભારત	India
સિલિકોન	Silicium
ફ્રાંસીયમ	Francium
ફોસ્ફરસ	Fosfor
લોખંડ	IJzer (element)
પશ્ચિમ	West
ગંધક	Zwavel
સમોઆ	Samoa
નીરજી	Chloor (element)
વિલિયમ શેક્સપીયર	William Shakespeare
આર્ગોન	Argon
નૌરુ	Nauru
પોટેશિયમ	Kalium
કેલ્શિયમ	Calcium
સીસું	Lood (element)
મંગોલિયા	Mongolië
સ્કેન્ડિયમ	Scandium
ટાઇટેનિયમ	Titanium
વેનેઝુએલા	Venezuela
ચેસ	Schaken
વેનેડિયમ	Vanadium
વર્ણાતુ	Chroom (element)
ઘોડો	Paard (dier)
હથિયારો	Gevechtswapen
પ્રાણી	Dierenrijk
સુરીનામ	Suriname
મેંગેનિઝ	Mangaan
ગુયાના	Guyana
કલા	Kunst
ઈક્વેડોર	Ecuador
રિનીયમ	Renium
કોલમ્બિયા	Colombia
કોબાલ્ટ	Kobalt
ટંગસ્ટન	Wolfraam
નિકલ	Nikkel
બૌદ્ધ ધર્મ	Boeddhisme
બોલીવિયા	Bolivia
ઓસ્મીયમ	Osmium
તાંબુ	Koper (element)
ટ્રિનિદાદ અને ટોબેગો	Trinidad en Tobago
જસત	Zink (element)
ન્યૂ હેમ્પશાયર	New Hampshire
લિઓનાર્ડો દ વિન્ચી	Leonardo da Vinci
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	Honduras
હૈતી	Haïti
ઈરાન	Iran
ઈરાક	Irak
શાણપણ	Wijsheid (deugd)
ઈઝરાયલ	Israël
પનામા	Panama (land)
યેમેન	Jemen
જૉર્ડન	Jordanië
કિર્ગિસ્તાન	Kirgizië
કુવૈત	Koeweit
લાઓસ	Laos
લેબેનાન	Libanon
માલદીવ્સ	Maldiven
અમેરિકા	Amerika (continent)
મલેશિયા	Maleisië
બર્મા	Myanmar
નેપાળ	Nepal
ઓમાન	Oman
પાકિસ્તાન	Pakistan
જેમ્સ બોન્ડ	James Bond
કતાર (અરબસ્તાન)	Qatar
સાઉદી અરેબિયા	Saoedi-Arabië
શ્રીલંકા	Sri Lanka
સ્ટાલિન	Jozef Stalin
સિરિયા	Syrië
પ્લેટો	Plato
ગેલિયમ	Gallium
તાજિકિસ્તાન	Tadzjikistan
ચીની ગણતંત્ર	Taiwan
યુ ટ્યુબ	YouTube
જર્મેનિયમ	Germanium
એરિસ્ટોટલ	Aristoteles
થાઇલેન્ડ	Thailand
સોમલ	Arseen
તુર્કમેનિસ્તાન	Turkmenistan
સેલિનીયમ	Seleen
ઈરિડીયમ	Iridium (element)
બ્રોમિન	Broom (element)
પ્લેટિનમ	Platina
વિયેતનામ	Vietnam
ચાર્લી ચૅપ્લિન	Charlie Chaplin
દક્ષિણ કોરિયા	Zuid-Korea
ક્રિપ્ટોન	Krypton (element)
અફઘાનિસ્તાન	Afghanistan
રુબિડીયમ	Rubidium
સોનું	Goud
સુએઝ નહેર	Suezkanaal
બાંગ્લાદેશ	Bangladesh
સોક્રેટિસ	Socrates (filosoof)
ભૂતાન	Bhutan
બ્રુનેઈ	Brunei
ટાન્ઝાનિયા	Tanzania
પારો	Kwik
ફીલીપાઈન્સ	Filipijnen
થેલીયમ	Thallium
આઇઝેક ન્યુટન	Isaac Newton
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
સ્ટ્રોન્શિયમ	Strontium
ઈટ્રીયમ	Yttrium
બિસ્મથ	Bismut
ટોગો	Togo
ટ્યુનિશિયા	Tunesië
બેઇજિંગ	Peking
બેનિન	Benin
પોલોનીયમ	Polonium
એસ્ટાટીન	Astaat
મહાત્મા ગાંધી	Mohandas Karamchand Gandhi
મડાગાસ્કર	Madagaskar
સ્ટુટગાર્ટ	Stuttgart
નાઈજર	Niger (land)
નાઈજેરિયા	Nigeria
ચાર્લ્સ ડાર્વિન	Charles Darwin
ઝિર્કોનિયમ	Zirkonium
નાયોબિયમ	Niobium
જવાહરલાલ નેહરુ	Jawaharlal Nehru
જુલિયસ સીઝર	Julius Caesar
સુદાન	Soedan
સ્વાઝીલેન્ડ	Swaziland
મેઘધનુષ	Regenboog (optica)
મોલિબ્ડેનમ	Molybdeen
ટેક્નેશિયમ	Technetium
ચયાપચય	Stofwisseling
નરેન્દ્ર મોદી	Narendra Modi
ગુજરાત	Gujarat
ઉત્ક્રાંતિ	Evolutie (biologie)
સંયુક્ત રાષ્ટ્રસંઘ	Verenigde Naties
અમદાવાદ	Ahmedabad (stad)
ભૂગોળ	Aardrijkskunde
મગજ	Hersenen
સંજ્ઞા	Zelfstandig naamwoord
રુથેનિયમ	Ruthenium
રોડિયમ	Rhodium
પલેડિયમ	Palladium (element)
ચાંદી	Zilver
કેડમિયમ	Cadmium
ઈંડિયમ	Indium
ટીન	Tin (element)
યુરેનિયમ	Uranium
એંટિમની	Antimoon
ટેલુરિયમ	Telluur
પ્લુટોનીયમ	Plutonium
આયોડિન	Jodium (element)
નેપ્ચ્યુનીયમ	Neptunium
ઝેનોન	Xenon
સીસીયમ	Cesium
પ્રોટેક્ટિનીયમ	Protactinium
બેરિયમ	Barium
થોરીયમ	Thorium
હાફનીયમ	Hafnium
એક્ટિનીયમ	Actinium
ટેન્ટેલમ	Tantaal
રેડિયમ	Radium
રેડૉન	Radon (element)
ઈન્દિરા ગાંધી	Indira Gandhi
જામનગર	Jamnagar (stad)
મુંબઈ	Bombay
આંધ્ર પ્રદેશ	Andhra Pradesh
અરુણાચલ પ્રદેશ	Arunachal Pradesh
આસામ	Assam
બિહાર	Bihar
છત્તીસગઢ	Chhattisgarh
ગોઆ	Goa (India)
હરિયાણા	Haryana
હિમાચલ પ્રદેશ	Himachal Pradesh
જમ્મુ અને કાશ્મીર	Jammu en Kasjmir (staat)
ઝારખંડ	Jharkhand
કર્ણાટક	Karnataka
કેરળ	Kerala
મધ્ય પ્રદેશ	Madhya Pradesh
યુસૈન બોલ્ટ	Usain Bolt
મહારાષ્ટ્ર	Maharashtra
મણિપુર	Manipur
મેઘાલય	Meghalaya
બ્રુસ સ્પ્રિન્ગસ્ટીન	Bruce Springsteen
રુથરફોર્ડીયમ	Rutherfordium
ડૂબનીયમ	Dubnium
સીબોર્ગીયમ	Seaborgium
હિંદ મહાસાગર	Indische Oceaan
કેરેબિયન સાગર	Caraïbische Zee
બોહ્રીયમ	Bohrium
હેસીયમ	Hassium
માઈટનિરીયમ	Meitnerium
ડાર્મસ્ટેડીયમ	Darmstadtium
રેન્ટજિનીયમ	Röntgenium
કોપરનિસીયમ	Copernicium
ધ બિટલ્સ	The Beatles
શિયાળો	Winter
ઉનાળો	Zomer
સમપ્રકાશીય ઘટના કે વિષુવકાલ	Equinox
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	Philadelphia (Pennsylvania)
કોલકાતા	Calcutta
ચેન્નઈ	Madras
દિલ્હી	Delhi (stad)
ઢાકા	Dhaka (stad)
બેંગલોર	Bangalore
પશ્ચિમ બંગાળ	West-Bengalen
હૈદરાબાદ	Haiderabad (Andhra Pradesh)
ઇસ્લામાબાદ	Islamabad
ત્રિપુરા	Tripura
સિરીયમ	Cerium
પ્રેસિયોડિમિયમ	Praseodymium
નિયોડીમીયમ	Neodymium
લેનિન	Vladimir Lenin
યુરોપિયમ	Europium
ઊએતેર્સેન્	Uetersen
ઇન્ડિયાના	Indiana
નોકિયા	Nokia (bedrijf)
મોટરગાડી	Auto
ટ્રાજન	Trajanus
રોજર ફેડરર	Roger Federer
રાજસ્થાન	Rajasthan
તમિલનાડુ	Tamil Nadu
હોકી	Hockey
ક્રોહનનો રોગ	Ziekte van Crohn
ઉત્તર પ્રદેશ	Uttar Pradesh
ઉત્તરાખંડ	Uttarakhand
મિઝોરમ	Mizoram
સિક્કિમ	Sikkim
ટેનેસી	Tennessee
નાગપુર	Nagpur (stad)
કારાકાસ	Caracas
પુના	Poona (stad)
આયોવા	Iowa (staat)
નેબ્રાસ્કા	Nebraska
કેન્સાસ	Kansas (staat)
હિંદી ભાષા	Hindi
મરાઠી ભાષા	Marathi (taal)
ગણેશ	Ganesha
મિઝોરી	Missouri (staat)
લ્યુઇસિયાના	Louisiana (staat)
નાગાલેંડ	Nagaland
અરકાનસાસ	Arkansas (staat)
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
ઉર્દુ ભાષા	Urdu
ઓક્લાહોમા	Oklahoma
બુડાપેસ્ટ	Boedapest
લેન્થેનમ	Lanthaan
પ્રોમેથિયમ	Promethium
સમેરિયમ	Samarium
ગેડોલિનીયમ	Gadolinium
ટર્બિયમ	Terbium
ડીસ્પ્રોસીયમ	Dysprosium
બાઇબલ	Bijbel (christendom)
હોલ્મીયમ	Holmium
અર્બિયમ	Erbium
થુલિયમ	Thulium
ઈટરબિયમ	Ytterbium
લ્યુટેશિયમ	Lutetium
સત્ય ઇસુ દેવળ	Ware Jezuskerk
અંગ્રેજી ભાષા	Engels
અમેરિસીયમ	Americium
ક્યુરીયમ	Curium
બર્કેલીયમ	Berkelium
કેલિફોર્નીયમ	Californium
આઇન્સ્ટેનીયમ	Einsteinium
ફર્મીયમ	Fermium
મેન્ડેલિવીયમ	Mendelevium
નોબેલીયમ	Nobelium
લોરેન્સીયમ	Lawrencium
ગુરુના ચંદ્રો	Lijst van manen van Jupiter
કઞ્સ્કવલા	Końskowola
૨૦૦૧	2001
વિકિટ્રાવેલ	Wikitravel
૧૯૯૩	1993
૧૯૧૦	1910
સાપ	Slangen
મુખ મૈથુન	Orale seks
જાન્યુઆરી ૧	1 januari
જાન્યુઆરી ૨	2 januari
સુભાષચંદ્ર બોઝ	Subhas Bose
જાન્યુઆરી ૩	3 januari
જાન્યુઆરી ૪	4 januari
જાન્યુઆરી ૫	5 januari
જાન્યુઆરી ૬	6 januari
જાન્યુઆરી ૭	7 januari
જાન્યુઆરી ૮	8 januari
જાન્યુઆરી ૯	9 januari
જાન્યુઆરી ૧૦	10 januari
જાન્યુઆરી ૧૧	11 januari
જાન્યુઆરી ૧૨	12 januari
જાન્યુઆરી ૧૩	13 januari
બર્મિંગહામ	Birmingham (Verenigd Koninkrijk)
જાન્યુઆરી ૧૪	14 januari
જાન્યુઆરી ૧૫	15 januari
જાન્યુઆરી ૧૬	16 januari
જાન્યુઆરી ૧૭	17 januari
જાન્યુઆરી ૧૮	18 januari
જાન્યુઆરી ૧૯	19 januari
જાન્યુઆરી ૨૦	20 januari
જાન્યુઆરી ૨૧	21 januari
જાન્યુઆરી ૨૨	22 januari
જાન્યુઆરી ૨૩	23 januari
જાન્યુઆરી ૨૪	24 januari
જાન્યુઆરી ૨૫	25 januari
જાન્યુઆરી ૨૬	26 januari
માઇક્રોસોફ્ટ	Microsoft
જાન્યુઆરી ૨૭	27 januari
જાન્યુઆરી ૨૮	28 januari
જાન્યુઆરી ૨૯	29 januari
જાન્યુઆરી ૩૦	30 januari
જાન્યુઆરી ૩૧	31 januari
ડિસેમ્બર ૨	2 december
ડિસેમ્બર ૧	1 december
ડિસેમ્બર ૩	3 december
ડિસેમ્બર ૭	7 december
ડિસેમ્બર ૫	5 december
ડિસેમ્બર ૮	8 december
ડિસેમ્બર ૧૦	10 december
ડિસેમ્બર ૬	6 december
ડિસેમ્બર ૯	9 december
પિંક ફ્લોઇડ	Pink Floyd
ડિસેમ્બર ૪	4 december
ફેબ્રુઆરી ૧	1 februari
ફેબ્રુઆરી ૨	2 februari
ફેબ્રુઆરી ૩	3 februari
કુરોવ	Kurów (powiat Puławski)
ફેબ્રુઆરી ૪	4 februari
ફેબ્રુઆરી ૫	5 februari
ફેબ્રુઆરી ૬	6 februari
ફેબ્રુઆરી ૭	7 februari
ફેબ્રુઆરી ૮	8 februari
ફેબ્રુઆરી ૯	9 februari
ફેબ્રુઆરી ૧૦	10 februari
રસાયણ શાસ્ત્ર	Scheikunde
ફેબ્રુઆરી ૧૪	14 februari
ફેબ્રુઆરી ૧૩	13 februari
ફેબ્રુઆરી ૧૫	15 februari
ફેબ્રુઆરી ૧૧	11 februari
ફેબ્રુઆરી ૧૨	12 februari
ફેબ્રુઆરી ૧૯	19 februari
ફેબ્રુઆરી ૧૭	17 februari
ફેબ્રુઆરી ૧૬	16 februari
ફેબ્રુઆરી ૧૮	18 februari
ફેબ્રુઆરી ૨૦	20 februari
ફેબ્રુઆરી ૨૧	21 februari
ફેબ્રુઆરી ૨૨	22 februari
ફેબ્રુઆરી ૨૩	23 februari
ફેબ્રુઆરી ૨૪	24 februari
ફેબ્રુઆરી ૨૫	25 februari
ફેબ્રુઆરી ૨૬	26 februari
ફેબ્રુઆરી ૨૭	27 februari
ફેબ્રુઆરી ૨૮	28 februari
ડિસેમ્બર ૧૧	11 december
ફેબ્રુઆરી ૨૯	29 februari
ડિસેમ્બર ૧૨	12 december
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C♯
ડિસેમ્બર ૧૩	13 december
ડિસેમ્બર ૧૪	14 december
ડિસેમ્બર ૧૫	15 december
માર્ચ ૨	2 maart
માર્ચ ૩	3 maart
માર્ચ ૫	5 maart
માર્ચ ૧	1 maart
માર્ચ ૭	7 maart
માર્ચ ૮	8 maart
માર્ચ ૪	4 maart
માર્ચ ૧૦	10 maart
માર્ચ ૧૧	11 maart
માર્ચ ૬	6 maart
માર્ચ ૧૩	13 maart
માર્ચ ૯	9 maart
માર્ચ ૧૨	12 maart
માર્ચ ૧૫	15 maart
માર્ચ ૧૪	14 maart
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	16 december
ડિસેમ્બર ૧૭	17 december
માર્ચ ૧૬	16 maart
માર્ચ ૧૭	17 maart
માર્ચ ૧૮	18 maart
માર્ચ ૧૯	19 maart
માર્ચ ૨૦	20 maart
માર્ચ ૨૧	21 maart
માર્ચ ૨૨	22 maart
ડિસેમ્બર ૧૮	18 december
માર્ચ ૨૩	23 maart
ડિસેમ્બર ૧૯	19 december
માર્ચ ૨૪	24 maart
માર્ચ ૨૫	25 maart
ડિસેમ્બર ૨૦	20 december
માર્ચ ૨૬	26 maart
માર્ચ ૨૭	27 maart
માર્ચ ૨૮	28 maart
માર્ચ ૨૯	29 maart
માર્ચ ૩૦	30 maart
માર્ચ ૩૧	31 maart
એપ્રિલ ૧૫	15 april
એપ્રિલ ૧૩	13 april
એપ્રિલ ૧૨	12 april
એપ્રિલ ૧૪	14 april
એપ્રિલ ૧૧	11 april
એપ્રિલ ૧૦	10 april
એપ્રિલ ૮	8 april
એપ્રિલ ૯	9 april
એપ્રિલ ૭	7 april
એપ્રિલ ૬	6 april
એપ્રિલ ૫	5 april
એપ્રિલ ૪	4 april
એપ્રિલ ૩	3 april
એપ્રિલ ૧	1 april
એપ્રિલ ૨	2 april
એપ્રિલ ૧૬	16 april
એપ્રિલ ૧૭	17 april
એપ્રિલ ૧૮	18 april
એપ્રિલ ૧૯	19 april
એપ્રિલ ૨૦	20 april
એપ્રિલ ૨૧	21 april
એપ્રિલ ૨૨	22 april
એપ્રિલ ૨૩	23 april
એપ્રિલ ૨૪	24 april
એપ્રિલ ૨૫	25 april
એપ્રિલ ૨૬	26 april
એપ્રિલ ૨૭	27 april
એપ્રિલ ૨૮	28 april
એપ્રિલ ૨૯	29 april
એપ્રિલ ૩૦	30 april
મે ૧	1 mei
મે ૨	2 mei
મે ૩	3 mei
મે ૪	4 mei
મે ૫	5 mei
મે ૬	6 mei
મે ૭	7 mei
મે ૮	8 mei
મે ૯	9 mei
મે ૧૦	10 mei
મે ૧૧	11 mei
મે ૧૨	12 mei
મે ૧૩	13 mei
મે ૧૪	14 mei
મે ૧૫	15 mei
મે ૧૬	16 mei
મે ૧૭	17 mei
મે ૧૮	18 mei
મે ૧૯	19 mei
મે ૨૦	20 mei
મે ૨૧	21 mei
મે ૨૨	22 mei
મે ૨૩	23 mei
મે ૨૪	24 mei
મે ૨૫	25 mei
મે ૨૬	26 mei
મે ૨૭	27 mei
મે ૨૮	28 mei
મે ૨૯	29 mei
મે ૩૦	30 mei
મે ૩૧	31 mei
ડિસેમ્બર ૨૧	21 december
જૂન ૧૪	14 juni
જૂન ૧૫	15 juni
જૂન ૧૩	13 juni
જૂન ૧૦	10 juni
જૂન ૭	7 juni
જૂન ૧૧	11 juni
જૂન ૯	9 juni
જૂન ૧૨	12 juni
જૂન ૬	6 juni
જૂન ૮	8 juni
જૂન ૫	5 juni
જૂન ૩	3 juni
જૂન ૨	2 juni
જૂન ૧	1 juni
જૂન ૪	4 juni
ડિસેમ્બર ૨૨	22 december
જૂન ૧૬	16 juni
જૂન ૩૦	30 juni
જૂન ૨૯	29 juni
જૂન ૨૮	28 juni
જૂન ૨૬	26 juni
જૂન ૨૫	25 juni
જૂન ૨૨	22 juni
જૂન ૨૭	27 juni
જૂન ૨૪	24 juni
જૂન ૨૦	20 juni
જૂન ૨૩	23 juni
જૂન ૧૯	19 juni
જૂન ૧૮	18 juni
જૂન ૨૧	21 juni
જૂન ૧૭	17 juni
ડિસેમ્બર ૨૩	23 december
આર્નોલ્ડ શ્વાર્ઝેનેગર	Arnold Schwarzenegger
જુલાઇ ૧૫	15 juli
જુલાઇ ૧૩	13 juli
જુલાઇ ૧૨	12 juli
જુલાઇ ૧૦	10 juli
જુલાઇ ૯	9 juli
જુલાઇ ૧૪	14 juli
જુલાઇ ૮	8 juli
જુલાઇ ૭	7 juli
જુલાઇ ૬	6 juli
જુલાઇ ૫	5 juli
જુલાઇ ૨	2 juli
જુલાઇ ૪	4 juli
જુલાઇ ૩	3 juli
જુલાઇ ૧	1 juli
જુલાઇ ૧૧	11 juli
ડિસેમ્બર ૨૪	24 december
જુલાઇ ૩૧	31 juli
જુલાઇ ૩૦	30 juli
જુલાઇ ૨૯	29 juli
જુલાઇ ૨૮	28 juli
જુલાઇ ૨૭	27 juli
જુલાઇ ૨૫	25 juli
જુલાઇ ૨૪	24 juli
જુલાઇ ૨૩	23 juli
જુલાઇ ૨૬	26 juli
જુલાઇ ૨૨	22 juli
જુલાઇ ૧૯	19 juli
જુલાઇ ૨૧	21 juli
જુલાઇ ૨૦	20 juli
જુલાઇ ૧૭	17 juli
જુલાઇ ૧૮	18 juli
જુલાઇ ૧૬	16 juli
અસોસિએશન ફુટબોલ	Voetbal
ડિસેમ્બર ૨૫	25 december
ડિસેમ્બર ૨૬	26 december
ઓગસ્ટ ૧૪	14 augustus
ઓગસ્ટ ૧૫	15 augustus
ઓગસ્ટ ૧૩	13 augustus
ઓગસ્ટ ૧૨	12 augustus
ઓગસ્ટ ૧૧	11 augustus
ઓગસ્ટ ૧૦	10 augustus
ઓગસ્ટ ૮	8 augustus
ઓગસ્ટ ૭	7 augustus
ઓગસ્ટ ૯	9 augustus
ઓગસ્ટ ૫	5 augustus
ઓગસ્ટ ૪	4 augustus
ઓગસ્ટ ૨	2 augustus
ઓગસ્ટ ૩	3 augustus
ઓગસ્ટ ૬	6 augustus
ઓગસ્ટ ૧	1 augustus
આઇપેડ (iPad)	IPad
ડિસેમ્બર ૨૭	27 december
સબમરીન	Onderzeeboot
ઓગસ્ટ ૧૬	16 augustus
ઓગસ્ટ ૨૯	29 augustus
ઓગસ્ટ ૨૮	28 augustus
ઓગસ્ટ ૩૦	30 augustus
ઓગસ્ટ ૨૫	25 augustus
ઓગસ્ટ ૨૬	26 augustus
ઓગસ્ટ ૨૩	23 augustus
ઓગસ્ટ ૨૭	27 augustus
ઓગસ્ટ ૨૧	21 augustus
ઓગસ્ટ ૨૦	20 augustus
ઓગસ્ટ ૨૪	24 augustus
ઓગસ્ટ ૧૮	18 augustus
ઓગસ્ટ ૧૭	17 augustus
ઓગસ્ટ ૨૨	22 augustus
ઓગસ્ટ ૧૯	19 augustus
ઓગસ્ટ ૩૧	31 augustus
માઇકલ જેકસન	Michael Jackson
ડિસેમ્બર ૨૮	28 december
સપ્ટેમ્બર ૧૫	15 september
સપ્ટેમ્બર ૧૪	14 september
સપ્ટેમ્બર ૧૩	13 september
સપ્ટેમ્બર ૧૨	12 september
સપ્ટેમ્બર ૮	8 september
સપ્ટેમ્બર ૧૧	11 september
સપ્ટેમ્બર ૭	7 september
સપ્ટેમ્બર ૧૦	10 september
સપ્ટેમ્બર ૫	5 september
