Afrig	Afrika
Jeoorji	Georgië
Kasakistaan	Kazachstan
Malt	Malta (land)
Monaako	Monaco
Montenegro	Montenegro
Watikaa	Vaticaanstad
San Marino	San Marino
Burusel	Brussel (stad)
Kubaa	Cuba (land)
Beliis	Belize (land)
Barbados	Barbados
Endoneesi	Indonesië
Afrig gu Bëj-saalum	Zuid-Afrika
Alseeri	Algerije
Usbekistaan	Oezbekistan
Warsaw	Warschau
Ndox	Water
Sili	Chili
Yéesu-kristaa	Jezus (traditioneel-christelijk)
Merkuur	Mercurius (planeet)
Taariix	Geschiedenis
Weenus	Venus (planeet)
Kàllaama	Taal
Yupiter	Jupiter (planeet)
Uraanus	Uranus (planeet)
Neptuun	Neptunus (planeet)
Saytubiddiw	Astronomie
Singapoor	Singapore
Xam-xam	Wetenschap
Pluton	Pluto (dwergplaneet)
Liechtenstein	Liechtenstein
Xareb Àdduna bu Njëkk	Eerste Wereldoorlog
Ñaareelu Xareb Àdduna	Tweede Wereldoorlog
Skopje	Skopje
Linux	Linux
Xayma	Wiskunde
Bahrayni	Bahrein
Armeeni	Armenië
Seerbi	Servië
Óstraali	Australië (land)
Jëmm	Natuurkunde
Arsantin	Argentinië
Peru	Peru
Kore gu Bëj-gànnaar	Noord-Korea
Kamboodi	Cambodja
Alxuraan	Koran
Lislaam	Islam
Jubaljana	Ljubljana
Jimbulang bu waa-Brëtaañ	Encyclopædia Britannica
World Wide Web	Wereldwijd web
Jigéen	Vrouw
Sofiya	Sofia (stad)
Jant	Zon
Asamaan	Hemelgewelf
Oseyaani	Oceanië
Nosteg jant	Zonnestelsel
Bés	Dag
Timoor gu Penku	Oost-Timor
Guddi	Nacht
At	Jaar
Oslo	Oslo
Lisbon	Lissabon
Way	Muziek
Mosku	Moskou
Cadd	Tsjaad
Seland-Gu-Bees	Nieuw-Zeeland
End	India
Tuvalu	Tuvalu
Tonga	Tonga (land)
Samowaa	Samoa
Duni Solomon	Salomonseilanden
Wanuatu	Vanuatu
Papuwaasi-Gine-Gu-Bees	Papoea-Nieuw-Guinea
Palau	Palau (land)
Nauru	Nauru
Réew yu Bennoo yu Mikronesi	Micronesia
Duni Marshall	Marshalleilanden
Kiribati	Kiribati
Mongoli	Mongolië
Fiiji	Fiji
Benesuwela	Venezuela
Amsterdam	Amsterdam
Rab	Dierenrijk
Surinaam	Suriname
Paraguwaay	Paraguay
Guyaana	Guyana
Fànn	Kunst
Ekwadoor	Ecuador
Koloombi	Colombia
Boliibi	Bolivia
Tirinidaad ak Tobaago	Trinidad en Tobago
Gàncax	Planten
Saint Vincent and the Grenadines	Saint Vincent en de Grenadines
Saint Lucia	Saint Lucia
Saint Kitts and Nevis	Saint Kitts en Nevis
Jamayka	Jamaica
Grenada	Grenada
Guwaatemala	Guatemala
Bahamas	Bahama's
Ganaar	Kip (vogel)
Antigua ak Barbuda	Antigua en Barbuda
Onduras	Honduras
Dominika	Dominica
Réewum Dominik	Dominicaanse Republiek
Mbaam	Varken (tam)
Mbàmbulaan gu Bëj-gànnaar	Noordelijke IJszee
Ayiti	Haïti
Salbadoor	El Salvador
Iraan	Iran
Iraak	Irak
Kosta Riika	Costa Rica
Israayil	Israël
Panamaa	Panama (land)
Yaman	Jemen
Jordaani	Jordanië
Nikaraaguwa	Nicaragua
Kirgistaan	Kirgizië
Kowet	Koeweit
Réewum Lawos	Laos
Libaa	Libanon
Maldiif	Maldiven
Aamerig	Amerika (continent)
Maleesi	Maleisië
Miyanmaar	Myanmar
Nepaal	Nepal
Omaan	Oman
Pakistaan	Pakistan
Kataar	Qatar
Araabi Sawdit	Saoedi-Arabië
Siri Laanka	Sri Lanka
Siri	Syrië
Tajikistaan	Tadzjikistan
Taaywaan	Taiwan
Taaylaand	Thailand
Ceññeer-mbej	Radio
Turkumenistaan	Turkmenistan
Imaaraat yu Araab yu Bennoo yi	Verenigde Arabische Emiraten
Wiyetnaam	Vietnam
Kore gu Bëj-saalum	Zuid-Korea
Afganistaan	Afghanistan
Banglaades	Bangladesh
Mali	Mali
Angolaa	Angola
Butaan	Bhutan
Tansani	Tanzania
Filipiin	Filipijnen
Réewum Diggu Afrig	Centraal-Afrikaanse Republiek
Dottub Bëj-saalum	Zuidpool
Dottub Bëj-gànnaar	Noordpool
Albert Einstein	Albert Einstein
Mboq	Geel (kleur)
Togóo	Togo
Tiniisi	Tunesië
Saambi	Zambia
Simbaawee	Zimbabwe
Bene	Benin
Botswana	Botswana
Burkinaa Faaso	Burkina Faso
Buruundi	Burundi
Komoor	Comoren
Kongóo-Brasaawiil	Congo-Brazzaville
Kongóo-Kinshasa	Congo-Kinshasa
Jibuti	Djibouti (land)
Gineg yamoo	Equatoriaal-Guinea
Eritere	Eritrea
Tibilisi	Tbilisi
Gaboŋ	Gabon
Gàmbi	Gambia (land)
Gine	Guinee
Gine Bisaawóo	Guinee-Bissau
Kodiwaar	Ivoorkust
Kamerun	Kameroen
Kap Weert	Kaapverdië
Lesoto	Lesotho
Libeeria	Liberia
Libi	Libië
Madagaskaar	Madagaskar
Malawi	Malawi
Gànnaar	Mauritanië
Móoris	Mauritius (land)
Marok	Marokko
Mosambik	Mozambique
Namibi	Namibië
Niseer	Niger (land)
Charles Darwin	Charles Darwin
Ugandaa	Oeganda
Ruwandaa	Rwanda
Saw Tome ak Preesip	Sao Tomé en Principe
Senegaal	Senegal
Seysel	Seychellen
Siraa Leyoon	Sierra Leone
Somali	Somalië
Julius Caesar	Julius Caesar
Sudaan	Soedan
Suwaasilaand	Swaziland
Kureelu Mbootayu Xeet yi	Verenigde Naties
Melosuuf	Aardrijkskunde
Melo	Kleur
Prag	Praag
Baxa	Blauw (kleur)
Yanu mbëj	Elektrische lading
Poortorikoo	Puerto Rico
Mbàmbulaanug End	Indische Oceaan
Wàll:Xët wu njëkk	Categorie:Alles
Koppar	Geld
Gunóor	Insecten
Niccolò Machiavelli	Niccolò Machiavelli
Uetersen	Uetersen
Jibraltaar	Gibraltar
Sagreb	Zagreb
Astana	Astana (stad)
Aten	Athene (stad)
Bagdad	Bagdad
Caracas	Caracas
Wiyen	Wenen
Kopenagen	Kopenhagen
Stokolm	Stockholm
Elsinki	Helsinki
Dublin	Dublin
Reykjawik	Reykjavik
Talin	Tallinn
Riga	Riga
Baratislawa	Bratislava
Budapest	Boedapest
Luksambuur (péy)	Luxemburg (stad)
Wadus	Vaduz
Biibël	Bijbel (christendom)
San Marino (péy)	San Marino (stad)
Ho Chi Minh City	Ho Chi Minhstad
Jàngu Yéesu bu Dëggu bi	Ware Jezuskerk
Wu-angalteer	Engels
Andorra la Vella	Andorra la Vella
Đồng Hới	Đồng Hới
Concepción (Ciili)	Concepción (Chili)
Kiyew	Kiev
Końskowola	Końskowola
Xartum	Khartoem
Sharles Degóol	Charles de Gaulle
Mbëjfepp	Elektron
Minsk	Minsk
Feppsaal	Proton (deeltje)
Kurów	Kurów (powiat Puławski)
Feppmaandu	Neutron
Mogadisu	Mogadishu
Football	Voetbal
Madrid	Madrid (stad)
Wert	Groen (kleur)
Xonq	Rood (kleur)
Safara	Vuur
Lourdes	Lourdes
Niiruw jant	Zonnenevel
Rabat	Rabat (Marokko)
Alse	Algiers
Dexub Senegaal	Sénégal
Tunis	Tunis
Tripoli (Libi)	Tripoli (Libië)
Jibuti (dëkk)	Djibouti (stad)
Addis-Abeba	Addis Abeba
Ankara	Ankara
Asmara	Asmara
Njamena	Ndjamena
Nouakchott	Nouakchott (stad)
Belgrad	Belgrado
Ndakaaru	Dakar
Banjul	Banjul
Wàll:Royuwaay	Categorie:Wikipedia:Sjablonen
Praia	Praia
Guyaana gu Faraas	Frans-Guyana
Amman	Amman (stad)
Yaunde	Yaoundé
Malabo	Malabo
Libarwil	Libreville
Bangi	Bangui (Centraal-Afrikaanse Republiek)
Kinshasa	Kinshasa
Brasawil	Brazzaville
Bujumbura	Bujumbura
Kigali	Kigali (stad)
Dodoma	Dodoma (stad)
Nairobi	Nairobi
Lilongwe	Lilongwe (stad)
Lusaka	Lusaka (stad)
Maputo	Maputo (stad)
Kampala	Kampala
Luanda	Luanda (stad)
Moroni	Moroni (Comoren)
Antananariwo	Antananarivo (stad)
Arare	Harare
Wiktoria (Seysel)	Victoria (Seychellen)
Kër	Huis (woning)
Lonkoyoon	Kaart (cartografie)
Dex	Rivier
Osasco	Osasco (Brazilië)
Curitiba	Curitiba (gemeente)
Sowwu Afrig	West-Afrika
Confucius	Confucius
Corbin Bleu	Corbin Bleu
Wàll:Xayma	Categorie:Wiskunde
Duni Faarow	Faeröer
Géej gu Diggu	Middellandse Zee
Gox	Continent
Monzón	Monzón
Weer	Maand
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Almazán	Almazán (gemeente)
Jimbulang	Encyclopedie
Xët wu njëkk	Hoofdpagina
Dëgërlukaay	Weerstand (component)
Fattalukaay(mbëj)	Condensator
Tugalasi	Eurazië
Babilon	Babylon (stad)
Dunu Aland	Åland
Betleyem	Bethlehem
Duni Kanaari	Canarische Eilanden
Xeltu	Filosofie
Rap	Rap (muziekstijl)
Hebe Camargo	Hebe Camargo
Sahara gu Sowwu	Westelijke Sahara
Atali	Antalya (stad)
Wàll:Saytubiddiw	Categorie:Astronomie
Saara	Sahara
Niels Bohr	Niels Bohr
Politig	Politiek
Qin Shi Huang	Qin Shi Huangdi
Penku gu Diggu	Midden-Oosten
Réew	Staat
Mbàmbulaan gu Bëj-saalum	Zuidelijke Oceaan
Bët	Oog (anatomie)
Ñay	Olifanten
Melentaan	Mieren
Simili	Minuut (tijd)
Taariixu Itaali	Geschiedenis van Italië
Mburu	Brood
Kiswahili	Swahili
Dereet	Bloed
Toulouse	Toulouse (stad)
Xam-xamu suuf si ak jawwu ji	Aardwetenschappen
Doj	Gesteente
Jawwu ji	Atmosfeer (astronomie)
Koom-koom	Economie
Yewwute gu ndefar	Industrie
Wàll:Bulgaari	Categorie:Bulgarije
Njàngat	Literatuur
Wàll:Faraas	Categorie:Frankrijk
Wàll:Woy	Categorie:Muziek
Wàll:Njàngat	Categorie:Literatuur
.ac	.ac
Xay	Beschaving
Gόor	Man (geslacht)
Tangor	Berg (landvorm)
Yay	Woestijn
Ooŋ Koŋ	Hongkong
HTML	HyperText Markup Language
Xarefulwoon	Atoom
Nosteg doxiin	Besturingssysteem
Baku	Bakoe
Mbàmbulaan	Oceaan
Budda	Gautama Boeddha
Premier League	Premier League
Mohammed	Mohammed
Dunu Falkland	Falklandeilanden
Ronald Reagan	Ronald Reagan
Gordon Brown	Gordon Brown
Wàll:Benesuwela	Categorie:Venezuela
Pitax	Duiven (vogels)
Garab	Boom (plant)
Wuutuloxo	Machine
Xibaar	Informatie
Paj	Geneeskunde
Saarayego	Sarajevo
Wàll:Breesil	Categorie:Brazilië
Wàll:Romaani	Categorie:Roemenië
Xeet	Chemisch element
Kàttan	Energie
Hip-hop	Hiphop
Mbëjbijjaakon	Elektromagnetisme
Toolu bijjaakon	Magnetisch veld
Dooley ñoddi	Zwaartekracht
Bijjaan	Magneet
Yolaakon	Vloeistof
Féex	Vacuüm
Yaatuwaay	Oppervlakte
Saa	Seconde
Cuub	Schilderkunst
Nataal	Fotografie
Yatt	Beeldhouwkunst
Mbëjfeppal	Elektronica
Dawaanu mbëj	Elektrische stroom
Baraay	Frequentie
Soppalikaay	Transformator
Xaralay xibaar ak jokkoo	Informatietechnologie
Duni Virgin (us)	Amerikaanse Maagdeneilanden
Bëj-saalum-penku Asi	Zuidoost-Azië
Limu réewi àdduna bi	Lijst van landen in 2015
Njëkk-taariix	Prehistorie
Réewum ñaari dex yi	Mesopotamië
Las Palmasu Kanaari gu Mag	Las Palmas de Gran Canaria
Arminaat	Kalender
Xarey jóoñe	Kruistocht
Mbëj	Elektriciteit
Montserrat	Montserrat (eiland)
Ndajem Berlin	Koloniale Conferentie van Berlijn
Adiratig	Adriatische Zee
Ngiste	Optica
Makaaw	Macau
Soviet Yi Benno	Sovjet-Unie
Queen	Queen
Royuwaay:Lien AdQ	Sjabloon:Link FA
Àdduna	Wereld (Aarde)
Wikipedia:Pénc mi	Wikipedia:De kroeg
Guam	Guam
Samoa gu Aamerig	Amerikaans-Samoa
Northern Mariana Islands	Noordelijke Marianen
United States Minor Outlying Islands	Kleine afgelegen eilanden van de Verenigde Staten
Guwaadalup	Guadeloupe
Martinik	Martinique
Mayoot	Mayotte
Reiñõo	Réunion
Turks and Caicos Islands	Turks- en Caicoseilanden
Manchester United	Manchester United FC
Juróom ñent	9 (getal)
Bien Hoa	Biên Hòa (stad)
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Bukarest	Boekarest
Louvre	Louvre
Kureelu tembte bu Poortorikoo	Partido Independentista Puertorriqueño
Tirana	Tirana (stad)
Nowel	Kerstmis
Breinigerberg	Breinigerberg
Ségg	Tijger
Kisinawu	Chisinau
Xam-xamu nosukaay	Informatica
Şalom	Şalom
Aruba	Aruba
Juróom ñaar	7 (getal)
Juróom ñett	8 (getal)
Ayubés	Week
Ngéej	Meer (watervlakte)
Jeexiituwaay bu Orsay	Musée d'Orsay
Dunu Buwet	Bouveteiland
Dun	Eiland
Juróom benn	6 (getal)
Moshchena	Mosjtsjena
Paltoga	Paltoga
Yamoo	Evenaar
Mérida, Benesuwela	Mérida (Venezuela)
Podgorika	Podgorica
Baatukaay	Woordenboek
Bermuda	Bermuda
Palestiin	Palestina (regio)
Waleta	Valletta
Fukk	10 (getal)
Tene	Jachtluipaard
Looy	Uilen (orde)
Angila	Anguilla (eiland)
Waxtu	Uur
Pichilemu	Pichilemu
Duni Virgin (angalteer)	Britse Maagdeneilanden
Phan Thiet	Phan Thiết
Goxub Dottub Bëj-gànnaar	Arctis
Ngóora (jëmm)	Vermogen (natuurkunde)
Ndëgërlu gu mbëj	Elektrische weerstand (eigenschap)
Dendu mbëj	Elektrische spanning
Niccolò Cusano University	Università degli Studi Niccolò Cusano
Mbëjtekkaaral	Elektrostatica
Anet	Dille
Dunu Kook	Cookeilanden
Penku Asi	Oost-Azië
Diggu Asi	Centraal-Azië
Bëj-gànnaaru Afrig	Noord-Afrika
Bëj-saalumu Afrig	Zuidelijk Afrika
Penku Afrig	Oost-Afrika
Diggu Afrig	Centraal-Afrika
Bëj-saalumu Tugal	Zuid-Europa
Penku Tugal	Oost-Europa
Bëj-gànnaaru Tugal	Noord-Europa
Sowwu Tugal	West-Europa
Afritugalasi	Afrika-Eurazië
Diggu Aamerig	Centraal-Amerika
Maghreb	Maghreb
Weeri wolof	Islamitische kalender
Ecser	Ecser
Akas	Achaz
Polineesi gu Faraas	Frans-Polynesië
Dunu Norfolk	Norfolk (eiland)
Dunu Christmas	Christmaseiland
Arabi	Arabisch Schiereiland
Paaka	Mes (voorwerp)
Pullaar	Fula (taal)
Kaledooni-Gu-Bees	Nieuw-Caledonië (gebiedsdeel)
Way-dëkk	Bevolking
Niwe	Niue
Tus-wu-gaar	Breedtegraad
Wolof (làkk)	Wolof (taal)
Gëstubiddiw	Astrologie
Seent Eleen	Sint-Helena (eiland)
Saint Pierre ak Miquelon	Saint-Pierre en Miquelon
Njëkk-xaymà	Lijst van landnummers in de telefonie
Tequixquiac	Tequixquiac
Jeoorji gu Bëj-saalum ak Duni Islaand yi Bëj-saalum	Zuid-Georgia en de Zuidelijke Sandwicheilanden
Dalub web	Website
Araab	Arabieren
Wallis ak Futuna	Wallis en Futuna
Pitkeern	Pitcairneilanden
Ne-ne	Materie
Al Bayda	Al Bayda
Gaal	Boot (vaartuig)
Polineesi	Polynesië
Dunu Kokos	Cocoseilanden
Thanh Hoa	Thanh Hóa (stad in Thanh Hóa)
Siligo	Siligo
Tus-wu-taxaw	Lengtegraad
Dàngin	Gorilla's
Ben Tre	Bến Tre (stad)
Xëtu web	Webpagina
Tokelau	Tokelau
Tembte	Onafhankelijkheid (staatkunde)
Melaneesi	Melanesië
Téeméer	100 (getal)
Campora San Giovanni	Campora San Giovanni
Besançon	Besançon
Jinax	Mus (geslacht)
Suraas	Oranje (kleur)
Artemis	Artemis (mythologie)
Esaas	Benzine
Radio Studio 54 Network	Radio Studio 54 Network
Tëriinuw nosukaay	Computerprogramma
Jëf ya	Handelingen van de apostelen
Bejjenu Afrig	Hoorn van Afrika
Fatt-jawwu	Troposfeer
Al Pacino	Al Pacino
Doolerandu	Mechanica
Sinemaa	Bioscoop
Jum	Raket
Daawuda	Koning David
Seere	Sjahada
Liggéey (jëmm)	Arbeid (natuurkunde)
Gëwéel	Tropen (geografie)
Junni	1000 (getal)
Xaralaymbëj	Elektrotechniek
Waañ	Keuken (ruimte)
Andare	Andreas (apostel)
Bartelemi	Bartolomeüs (apostel)
Alex Ferguson	Alex Ferguson
The Doors	The Doors
Toolu mbëj	Elektrisch veld
Kàttanug imbiku	Kinetische energie
Mbootaayu Réewi Jullit yi	Organisatie van de Islamitische Samenwerking
Penku gu Jege	Nabije Oosten
Almasi bi	Messias
Bànni Israyil	Israëlieten
Aaroona	Aäron
Anas	Annas
Jàngoroy Ebola	Ebola
Locri	Locri
Monaako (péy)	Monaco-Ville
Aset	Bord (maaltijd)
Truong Tan Sang	Trương Tấn Sang
Duran Duran	Duran Duran
Safaanukaay	Alternator
Ron-goxu End	Indisch subcontinent
Diiwaani dott	Poolgebied
Sahel	Sahel (landstreek)
Aadama	Adam
Doxalukaay bu mbëj	Elektromotor
Ametist	Amethist
Coronel Fabriciano	Coronel Fabriciano
Junj	Symbool
1 Korent	Eerste brief van Paulus aan de Korintiërs
Furset	Vork (bestek)
Kuddu	Lepel (bestek)
Royan	Royan
Lepton	Lepton (subatomair deeltje)
Bundesliga	Bundesliga (Duitsland)
Dencukaay	Bestand (computer)
Cosaan	Traditie
Jéeri ji	Lithosfeer
Ba Don	Ba Đồn
Lëkkalekaay	Hyperlink
Nukleon	Nucleon
Beril	Beril
Xarey àdduna	Wereldoorlog
Abdulaay Wàdd	Abdoulaye Wade
Dëgërluwiin	Soortelijke weerstand
Yolom-jawwu	Stratosfeer
Melosuufug Tugal	Geografie van Europa
Dawaan bu safaanu	Wisselstroom
Disc jockey	Diskjockey
2 Piyeer	Tweede brief van Petrus
Heard Island and McDonald Islands	Heard en McDonaldeilanden
IMMAGINE&POESIA	Immagine & Poesia
Jurukaayu mbëj	Generator (energietechniek)
Ndombo gu mbëj	Elektrisch netwerk
Mamudsu	Mamoudzou
Afrig gu bëj-saalumu-Sahara	Sub-Saharisch Afrika
Sawara	Verbranding
Raaya wu Senegaal	Vlag van Senegal
Albaatar	Albast
Leopool Sedaar Sengoor	Léopold Senghor
Dóox	Hertogdom
Bennoo gu Almaañ	Duitse eenwording
Dawaan bu wéy	Gelijkstroom
Digg bu mbëj	Elektriciteitscentrale
Kom-kom	Economie (systeem)
Pachuca de Soto	Pachuca
Iyon-jawwu	Ionosfeer
Break dancing	Breakdance
Biti-jawwu	Exosfeer
Asot	Asjdod
Amiin	Amen (gebed)
Amos	Amos (boek)
Bunt: taariix	Portaal:Geschiedenis
Ponki Lislaam	Vijf zuilen van de islam
Toolu mbëjbijjaakon	Elektromagnetisch veld
Xiirtalu	Zelfinductie
Mbëjbijjaan	Elektromagneet
ASP.NET	ASP.NET
Diiwaanu Ndar	Saint-Louis (regio)
Ayóoba	Job (persoon)
Aakimoo jawwu ji	Ruimteonderzoek
Dalu Archimède	Wet van Archimedes
Imbraatóor gu Mali	Koninkrijk Mali
Barnabas	Barnabas
Njël	Zonsopkomst
Bere	Berroia
Areyopas	Areopaag
Beelsebul	Beëlzebub
Pël	Fulbe
Imbraatóor gu Songaay	Songhai-rijk
Vesoul	Vesoul
Akayi	Achaea (Romeinse provincie)
Alisa	Elisa (profeet)
Imbraatóor gu Gana	Koninkrijk Ghana
Kàttanug mbëj	Elektrische energie
Piipa	Gewone dolfijn
Doxalukaay bu demandoodi	Driefasige asynchrone motor
Duusub sin	Sinusoïde
Sudaan (diiwaan)	Soedan (regio)
Njeexitu joule	Wet van Joule
Yuusu Nduur	Youssou N'Dour
Bowas	Boaz (Bijbelse naam)
Ajara	Hagar
Wolof (askan)	Wolof (volk)
Amfipolis	Amphipolis
Turu Way-Dëkk	Inwonersnaam
Ngaté bu digen	Zwartkopzeebrasem
Sao Tome (dun)	Sao Tomé (eiland)
Haj	Hadj
Arkelawus	Herodes Archelaüs
Beer	Gorée
Mboolaay	Maatschappij
Ndar	Saint-Louis (Senegal)
Yoonu Eŋaca	Via Egnatia
Abadon	Abaddon
Luga	Louga
Aretas	Aretas IV
Wommat wu mbëj	Elektrische geleidbaarheid
Jasaan	Kleintandzaagvis
Asaf	Asa van Juda
Barabas	Barabbas
Agaripa	Herodes Agrippa II
Amon	Amon van Juda
Ousmane Sembène	Ousmane Sembène
Abiyatar	Abjathar
Apolos	Apollos
Akilas	Aquila van Sinope
Aristobul	Aristobulus I
Agabus	Agabus (religie)
Bëer	Ombervis
Aloos	Agarhout
Bitini	Bithynië
Toq	Tockus
Xaaju kol-kol	Hemisfeer (aarde)
Yolet	Violet
Fatik	Fatick (stad)
Arpagsàdd	Arpachshad
Ben-yamin	Benjamin (zoon van Jakob)
Damaris	Damaris
Berenis	Julia Berenice
Planoise	Planoise
Anañas	Ananias
Betsayda	Betsaïda
Bisub Tabaski	Offerfeest
Dalmasi	Dalmatië (regio)
Max	Termieten
Antipas	Antipas (heilige)
Balaam	Bileam
Diiwaanu Séeju	Sédhiou (regio)
Baal	Baäl
Sompat	Pomadasys perotaei
Cees	Thiès (stad)
Aram	Aram (persoon)
Yoon	Yoon
Tuubaa	Touba (Senegal)
Antipataris	Antipatris
Diiwaanu Luga	Louga (regio)
Diiwaanu Koldaa	Kolda (regio)
Séeréer	Sérères
Asos	Assos
Tundi Senegaal	Departementen van Senegal
Isipt gu yàgg ga	Geschiedenis van het Oude Egypte
Banda	Middellandsezeeknorvis
Barag	Barak (Rechters)
Bartime	Bartimeüs
Beliyar	Belial
Mandinke	Mandinka (volk)
Diiwaanu Siggcoor	Ziguinchor (regio)
Awa	Eva (persoon)
Betani	Bethanië
Kaasamaas	Casamance
Swalbard ak Jan Mayen	Spitsbergen en Jan Mayen
Limub njiiti Senegaal yil	Lijst van presidenten van Senegal
Doxalukaay bu demandoo	Synchrone draaistroommotor
Diiwaani Senegaal	Regio's van Senegal
Diiwaanu Kawlax	Kaolack (regio)
Kawlak	Kaolack
Diiwaanu Cees	Thiès (regio)
Diiwaanu Tambaakundaa	Tambacounda (regio)
Nosteg galag	Fiscaal recht
Diiwaanu Njaaréem	Diourbel (regio)
Diiwaanu Ndakaaru	Dakar (regio)
Diiwaanu Maatam	Matam (regio)
Diiwaanu Fatik	Fatick (regio)
Oiapoque	Oiapoque (gemeente)
Jurbel	Diourbel
Xolaxol	Groene langstaartglansspreeuw
Wuutuloxo bu mbëj	Elektrische machine
Elimas	Elymas
Xiirtalug mbëjbijjaakon	Inductie (elektriciteit)
Tëngéej	Rufisque (stad)
Podoor	Podor
Mbuur	M'bour (stad)
Diiwaanu Kéedugu	Kédougou (regio)
Diiwaanu Kafrin	Kaffrine (regio)
Wersun	Zeekarper
Maatam	Matam (stad)
Joolaa (askan)	Diola
Dùn	Dùn (eiland)
Wàll:Almaañ	Categorie:Duitsland
Wàll:Itaali	Categorie:Italië
Wàll:Riisi	Categorie:Rusland
Wàll:Kanadaa	Categorie:Canada
Wàll:Nguur-Yu-Bennoo	Categorie:Verenigd Koninkrijk
Wàll:Ispaañ	Categorie:Spanje
Wàll:Sapoŋ	Categorie:Japan
Wàll:Óstraali	Categorie:Australië
Wàll:Meksik	Categorie:Mexico
Wàll:End	Categorie:India
Wàll:Araabi Sawdit	Categorie:Saoedi-Arabië
Wàll:Israayil	Categorie:Israël
Wàll:Watikaa	Categorie:Vaticaanstad
Wàll:Tirki	Categorie:Turkije
Wàll:Afrig gu Bëj-saalum	Categorie:Zuid-Afrika
Wàll:Isipt	Categorie:Egypte
Wàll:Iraan	Categorie:Iran
Wàll:Arsantin	Categorie:Argentinië
Balag	Balak (Bijbel)
Abba	Ab (vader)
Wàll:Afganistaan	Categorie:Afghanistan
Wàll:Alseeri	Categorie:Algerije
Wàll:Banglaades	Categorie:Bangladesh
Wàll:Kubaa	Categorie:Cuba
Wàll:Ecoopi	Categorie:Ethiopië
Wàll:Endoneesi	Categorie:Indonesië
Wàll:Iraak	Categorie:Irak
Wàll:Niseeria	Categorie:Nigeria
Wàll:Poloñ	Categorie:Polen
Wàll:Portugaal	Categorie:Portugal
Wàll:Kore gu Bëj-saalum	Categorie:Zuid-Korea
Wàll:Sudaan	Categorie:Soedan
Wàll:Suwis	Categorie:Zwitserland
Wàll:Tansani	Categorie:Tanzania
Wàll:Ukreen	Categorie:Oekraïne
Wàll:Wiyetnaam	Categorie:Vietnam
Wàll:Picc	Categorie:Vogel
Wàll:Gàncax	Categorie:Plant
Wàll:Jëmm	Categorie:Natuurkunde
Wàll:Taariix	Categorie:Geschiedenis
Wàll:Melosuuf	Categorie:Geografie
Wàll:Diine	Categorie:Religie
Wàll:Sport	Categorie:Sport
