Āfrika	Afrika
Kvadrāts	Vierkant (meetkunde)
Jūra	Zee
Melnā jūra	Zwarte Zee
Pī	Pi (wiskunde)
Pī (burts)	Pi (letter)
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sanpaulu	São Paulo (stad)
Sanpaulu (štats)	São Paulo (staat)
Kvebeka	Quebec (provincie)
Pica	Pizza
Pasta (ēdiens)	Pasta (deegwaar)
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Džimijs Veilss	Jimmy Wales
Vācija	Duitsland
Baltkrievija	Wit-Rusland
Lerijs Sendžers	Larry Sanger
Itālijas himna	Il Canto degli Italiani
Vācu valoda	Duits
Islande	IJsland
Dievs	God (monotheïsme)
Igaunija	Estland
Deivids Kemerons	David Cameron
Saturns (planēta)	Saturnus (planeet)
Šokolāde	Chocolade
Lidmašīna	Vliegtuig
Karš	Oorlog
1 (skaitlis)	1 (getal)
2 (skaitlis)	2 (getal)
3 (skaitlis)	3 (getal)
4 (skaitlis)	4 (getal)
5 (skaitlis)	5 (getal)
Nulle	0 (getal)
Bezgalība	Oneindigheid
Stīvens Hārpers	Stephen Harper
Džordžs V. Bušs	George W. Bush
Taisnstūris	Rechthoek
Latvija	Letland
Ukraina	Oekraïne
Čehija	Tsjechië
Slovākija	Slowakije
Slovēnija	Slovenië
Viļņa	Vilnius
Moldova	Moldavië (land)
Rumānija	Roemenië
Bulgārija	Bulgarije
Roma	Rome (stad)
Maķedonija	Macedonië (land)
Albānija	Albanië
Grenlande	Groenland
Horvātija	Kroatië
Bosnija un Hercegovina	Bosnië en Herzegovina
Nūka	Nuuk
Azerbaidžāna	Azerbeidzjan
Andora	Andorra
Kipra	Cyprus
Gruzija	Georgië
Valonija	Wallonië
Kazahstāna	Kazachstan
Malta	Malta (land)
Flandrija	Vlaanderen
Monako	Monaco
Melnkalne	Montenegro
Vatikāns	Vaticaanstad
Sanmarīno	San Marino
Brisele	Brussel (stad)
Briseles galvaspilsētas reģions	Brussels Hoofdstedelijk Gewest
Kuba	Cuba (land)
Beliza	Belize (land)
Eifeļa tornis	Eiffeltoren
Barbadosa	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Datora klaviatūra	Toetsenbord (computer)
Java (programmēšanas valoda)	Java (programmeertaal)
Indonēzija	Indonesië
Volfgangs Amadejs Mocarts	Wolfgang Amadeus Mozart
Ludvigs van Bēthovens	Ludwig van Beethoven
Turku valoda	Turks
Mandelbrota kopa	Mandelbrotverzameling
Dienvidāfrika	Zuid-Afrika
Žans Fransuā Šampolions	Jean-François Champollion
Linkin Park	Linkin Park
Alžīrija	Algerije
Wikisource	Wikisource
Viesuļvētra Sendija	Sandy (orkaan)
Uzbekistāna	Oezbekistan
Rasenes	Zonnedauw
Poznaņa	Poznań (stad)
Taškenta	Tasjkent
Varšava	Warschau
Eirovīzijas dziesmu konkurss	Eurovisiesongfestival
Modēna	Modena (stad)
Viskijs	Whisky
Vīns	Wijn
Ūdens	Water
Āda (materiāls)	Leer (stof)
Koksne	Hout
Tūra	Tours (Indre-et-Loire)
Televīzija	Televisie
Dzimums	Sekse
Pornogrāfija	Pornografie
Islandiešu valoda	IJslands
Klods Monē	Claude Monet
Djego Velaskess	Diego Velázquez (kunstschilder)
Čīle	Chili
El Greko	El Greco
Jēzus Kristus	Jezus (traditioneel-christelijk)
Elviss Preslijs	Elvis Presley
Sebastjans Piņera	Sebastián Piñera
Galileo Galilejs	Galileo Galilei
Merkurs (planēta)	Mercurius (planeet)
Vēsture	Geschiedenis
Perlašēza kapsēta	Cimetière du Père-Lachaise
Apple Inc.	Apple Inc.
Venera (planēta)	Venus (planeet)
Valoda	Taal
Mīlestība	Liefde
Diktatūra	Dictatuur
Galaktika	Sterrenstelsel
Jupiters (planēta)	Jupiter (planeet)
Mišela Bačeleta	Michelle Bachelet
Piena Ceļš	Melkweg (sterrenstelsel)
Lanvairpulguingila	Llanfairpwll­gwyngyllgogerychwyrndrobwllllantysiliogogogoch
Lielais sprādziens	Oerknal
Urāns (planēta)	Uranus (planeet)
Bretaņa (vēsturisks reģions)	Bretagne (schiereiland)
Vikipēdija angļu valodā	Engelstalige Wikipedia
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Neptunus (planeet)
Astronomija	Astronomie
Singapūra	Singapore
Zinātne	Wetenschap
Kosmoloģija	Kosmologie
Plutons (pundurplanēta)	Pluto (dwergplaneet)
Monreāla	Montreal (Canada)
Brīvā programmatūra	Vrije software
Kempēra	Quimper
Jaunava Marija	Maria (moeder van Jezus)
Luijs IX	Lodewijk IX van Frankrijk
Lihtenšteina	Liechtenstein
Sports	Sport
Kembridža	Cambridge (Verenigd Koninkrijk)
Jeloustonas nacionālais parks	Yellowstone National Park
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Google+	Google+
WikiLeaks	WikiLeaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	Eerste Wereldoorlog
Otrais pasaules karš	Tweede Wereldoorlog
Ķelne	Keulen (stad)
Korupcija	Corruptie
Wikibooks	Wikibooks
Augusto Pinočets	Augusto Pinochet
Wikiquote	Wikiquote
Wikiversity	Wikiversity
Wikivoyage	Wikivoyage
Degvīns	Wodka
Pulkstenis	Klok (tijd)
Janka Kupala	Janka Koepala
Ubuntu Linux	Ubuntu (Linuxdistributie)
Skopje	Skopje
Gdiņa	Gdynia
GNU/Linux	Linux
Bobs Dilans	Bob Dylan
Ščecina	Szczecin
Metroloģija	Metrologie
Matemātika	Wiskunde
U2	U2 (band)
Latīņu valoda	Latijn
Bahreina	Bahrein
Armēnija	Armenië
Dženna Džeimsone	Jenna Jameson
Ķīļraksts	Spijkerschrift
Higsa bozons	Higgsboson
Serbija	Servië
Mēness	Maan
Stambula	Istanboel
Austrālija	Australië (land)
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Astrobiologie
Fizika	Natuurkunde
Argentīna	Argentinië
Telesakari	Telecommunicatie
Peru	Peru
Bioloģija	Biologie
Neidentificēts lidojošs objekts	Unidentified flying object
Ziemeļkoreja	Noord-Korea
Kambodža	Cambodja
Dzīvnieku tiesības	Dierenrechten
Koipera josla	Kuipergordel
Korāns	Koran
Dinozauri	Dinosauriërs
Zooloģija	Zoölogie
Islāms	Islam
Bumbieres	Peer (plant)
Aleksandrijas bibliotēka	Bibliotheek van Alexandrië
Ščebžešina	Szczebrzeszyn
Ļubļana	Ljubljana
Vonhocka	Wąchock
Salvadors Aljende	Salvador Allende
Botānika	Plantkunde
Lehs Valensa	Lech Wałęsa
Ritenis	Wiel (voortbeweging)
Enciklopēdija (Denī Didro)	Encyclopédie
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Geest
Miers	Vrede
Encyclopædia Britannica	Encyclopædia Britannica
Liona	Lyon
Eiropas Savienība	Europese Unie
Plovdiva	Plovdiv (stad)
Zvaigžņu kari	Star Wars
Rona-Alpi	Rhône-Alpes
DBpedia	DBpedia
Vispasaules tīmeklis	Wereldwijd web
Sieviete	Vrouw
Sofija	Sofia (stad)
Akvedukts	Aquaduct (watergang)
Dons Kihots	Don Quichot (boek)
Dzeja	Poëzie
Datorvīruss	Computervirus
Černobiļas AES katastrofa	Kernramp van Tsjernobyl
Hirosimas un Nagasaki bombardēšana	Atoombommen op Hiroshima en Nagasaki
Milāna	Milaan (stad)
Draudzība	Vriendschap
Atmiņa	Geheugen (psychologie)
Arturs Rembo	Arthur Rimbaud
Turīna	Turijn (stad)
Izkārnījumi	Ontlasting
Anālā atvere	Anus (anatomie)
Citrons	Citroen (vrucht)
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Banāni	Banaan (vrucht)
Emīls Zolā	Émile Zola
Zieds	Bloem (plant)
Gugols	Googol
Gugolplekss	Googolplex
Marianas dziļvaga	Marianentrog
Vladimirs Visockis	Vladimir Vysotski
Everests	Mount Everest
Anatomija	Anatomie
Pilsēta	Stad
Napoleons Bonaparts	Napoleon Bonaparte
Olimpa kalns (Marss)	Olympus Mons
Fizioloģija	Fysiologie
Zvaigzne	Ster (hemellichaam)
Vezuvs	Vesuvius (vulkaan)
Saule	Zon
Debesis	Hemelgewelf
Luijs Pastērs	Louis Pasteur
Ingemars Stēnmarks	Ingemar Stenmark
Gaismas gads	Lichtjaar
Ciems	Dorp
Viktors Igo	Victor Hugo
Valdemāra zemesraga pils	Waldemarsudde
Okeānija	Oceanië
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Atletiek
Cenzūra	Censuur (informatie)
Saules sistēma	Zonnestelsel
Baltijas jūra	Oostzee
Trieste	Triëst (stad)
Visla	Wisła (rivier)
Elizejas lauki	Avenue des Champs-Élysées
Odera	Oder
Zobi	Tand
Ūdeņradis	Waterstof (element)
Petija Smita	Patti Smith
Hēlijs	Helium
Elle	Hel (mythologie)
Vikikrātuve	Wikimedia Commons
Šķīstītava	Vagevuur
Angela Merkele	Angela Merkel
Litijs	Lithium (element)
Berilijs	Beryllium
Skaļrunis	Luidspreker
Grāmata	Boek (document)
Diennakts	Dag
Austrumtimora	Oost-Timor
Nakts	Nacht
Gads	Jaar
Gadsimts	Eeuw
Lodza	Łódź (stad)
Monblāns	Mont Blanc
Reina	Rijn
Oslo	Oslo
Bonna	Bonn
Visu svēto diena	Allerheiligen
Katovice	Katowice
Melnais caurums	Zwart gat
Luišs di Kamoinšs	Luís de Camões
Romas karalis	The King of Rome
Cerera	Ceres (dwergplaneet)
Lisabona	Lissabon
Žešova	Rzeszów
Ihiro Suzuki	Ichiro Suzuki
Haumeja	Haumea
Rona	Rhône (rivier)
Makemake	Makemake
Maikls Blumbergs	Michael Bloomberg
Erīda (pundurplanēta)	Eris (dwergplaneet)
Dubaija	Dubai (emiraat)
Lionels Mesi	Lionel Messi
Paduja	Padua (stad)
Bors	Boor (element)
Nikolajs Koperniks	Nicolaas Copernicus
Versaļa	Versailles
Ogleklis	Koolstof
Alesandro Del Pjēro	Alessandro Del Piero
Volga	Wolga
Slāpeklis	Stikstof (element)
Bergamo	Bergamo (stad)
Skābeklis	Zuurstof (element)
Milānas @@@u0026Internazionale"	FC Internazionale Milano
Nīls Jangs	Neil Young
Planēta	Planeet
Kleopatra	Cleopatra VII
Keita Buša	Kate Bush
Mūzika	Muziek
Venēcija	Venetië (stad)
Naruto	Naruto (manga)
Po (upe)	Po (rivier)
Šarm eš Šeiha	Sharm-el-Sheikh
Ņeva	Neva
Termometrs	Thermometer
Renna	Rennes
Lille	Rijsel
Maskava	Moskou
Fluors	Fluor (element)
Itāļu valoda	Italiaans (taal)
Čivava (suņu šķirne)	Chihuahua (hond)
Neons	Neon (element)
Čivava	Chihuahua (staat)
Sanktpēterburga	Sint-Petersburg
Čada	Tsjaad
Nātrijs	Natrium
Ziemeļi	Noord (windstreek)
Magnijs	Magnesium
Alumīnijs	Aluminium
Jaunzēlande	Nieuw-Zeeland
Dienvidi	Zuid
Indija	India
Silīcijs	Silicium
Francijs	Francium
Tuvalu	Tuvalu
Fosfors	Fosfor
Andrē Marī Ampērs	André-Marie Ampère
Proza	Proza
Dzelzs	IJzer (element)
Tonga	Tonga (land)
Rietumi	West
Alesandro Volta	Alessandro Volta
Sērs	Zwavel
Samoa	Samoa
Austrumi	Oost (windstreek)
Zālamana Salas	Salomonseilanden
Vanuatu	Vanuatu
Moljērs	Molière (schrijver)
Hlors	Chloor (element)
Delfta	Delft
Papua-Jaungvineja	Papoea-Nieuw-Guinea
Viljams Šekspīrs	William Shakespeare
Fabula	Fabel
Dienvidholande	Zuid-Holland
Palau	Palau (land)
Argons	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Pasaka	Sprookje
Ziemeļholande	Noord-Holland
Mikronēzija (valsts)	Micronesia
Kālijs	Kalium
Lionas @@@u0026Olympique"	Olympique Lyonnais
Zēlande (province)	Zeeland (provincie)
Kalcijs	Calcium
Flevolande	Flevoland
Svins	Lood (element)
Māršala Salas	Marshalleilanden
Kiribati	Kiribati
Mongolija	Mongolië
Fidži	Fiji
Skandijs	Scandium
Stīvijs Vonders	Stevie Wonder
Heilbronna	Heilbronn (stad)
Titāns	Titanium
Venecuēla	Venezuela
Šahs	Schaken
Čingishans	Dzjengis Khan
Vanādijs	Vanadium
Meina	Maine
Hroms	Chroom (element)
Mājas zirgs	Paard (dier)
Amsterdama	Amsterdam
Ierocis	Gevechtswapen
Dzīvnieki	Dierenrijk
Surinama	Suriname
Mangāns	Mangaan
Paragvaja	Paraguay
Gajāna	Guyana
Māksla	Kunst
Ekvadora	Ecuador
Rēnijs	Renium
Kolumbija	Colombia
Kobalts	Kobalt
Žans Rasins	Jean Racine
Volframs	Wolfraam
Niķelis	Nikkel
Zemenes	Aardbei
Pjērs Korneijs	Pierre Corneille
Budisms	Boeddhisme
Groningena	Groningen (stad)
Bolīvija	Bolivia
Osmijs	Osmium
Groningena (province)	Groningen (provincie)
Varš	Koper (element)
Trinidāda un Tobāgo	Trinidad en Tobago
Pols Verlēns	Paul Verlaine
Augi	Planten
Sentvinsenta un Grenadīnas	Saint Vincent en de Grenadines
Cinks	Zink (element)
Ņūhempšīra	New Hampshire
Sentlūsija	Saint Lucia
Bjalistoka	Białystok
Leonardo da Vinči	Leonardo da Vinci
Sentkitsa un Nevisa	Saint Kitts en Nevis
Sēnes	Schimmels
Dario Fo	Dario Fo
Jamaika	Jamaica
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Grenada
Frīzlande	Friesland
Masačūsetsa	Massachusetts
Drente	Drenthe
Overeisela	Overijssel
Gvatemala	Guatemala
Gelderlande	Gelderland
Utrehta (province)	Utrecht (provincie)
Google Chrome	Google Chrome
Bahamas	Bahama's
Konektikuta	Connecticut
Mājas vista	Kip (vogel)
Antigva un Barbuda	Antigua en Barbuda
Havajas	Hawaï
Hondurasa	Honduras
Dominika	Dominica
Džērsija	Jersey (eiland)
Dominikāna	Dominicaanse Republiek
Mājas cūka	Varken (tam)
Ziemeļu Ledus okeāns	Noordelijke IJszee
Haiti	Haïti
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu
Salvadora	El Salvador
Zvolle	Zwolle
Irāna	Iran
Irāka	Irak
Aļaska	Alaska
Asena	Assen
Gudrība	Wijsheid (deugd)
Kostarika	Costa Rica
Izraēla	Israël
Novi Sonča	Nowy Sącz
Utrehta	Utrecht (stad)
Panama	Panama (land)
Jemena	Jemen
Lozanna	Lausanne (stad)
Vīruss	Virus (biologie)
Poļu valoda	Pools
Jordānija	Jordanië
Nikaragva	Nicaragua
Florida	Florida (staat)
Kirgizstāna	Kirgizië
Arizona	Arizona (staat)
Kuveita	Koeweit
Laosa	Laos
Libāna	Libanon
Oregona	Oregon
Maldīvija	Maldiven
Amerika	Amerika (continent)
Jūta	Utah
Liellops	Rund
Malaizija	Maleisië
Valē kantons	Wallis (kanton)
Mihails Bulgakovs	Michail Boelgakov
Mjanma	Myanmar
Nepāla	Nepal
Omāna	Oman
Pakistāna	Pakistan
Džeimss Bonds	James Bond
Katara	Qatar
Teniss	Tennis
MySQL	MySQL
Saūda Arābija	Saoedi-Arabië
Andrejs Tarkovskis	Andrej Tarkovski
Šrilanka	Sri Lanka
Josifs Staļins	Jozef Stalin
Svītrkods	Streepjescode
Sīrija	Syrië
Platons	Plato
Gallijs	Gallium
Josifs Brodskis	Joseph Brodsky
Tadžikistāna	Tadzjikistan
Pokemoni	Pokémon
Ķīnas Republika	Taiwan
YouTube	YouTube
Germānijs	Germanium
Aristotelis	Aristoteles
Taizeme	Thailand
Vilciens	Trein
Arsēns	Arseen
Radio	Radio
Merila Strīpa	Meryl Streep
Turkmenistāna	Turkmenistan
Abakana	Abakan (stad)
Selēns	Seleen
Irīdijs	Iridium (element)
Apvienotie Arābu Emirāti	Verenigde Arabische Emiraten
Broms	Broom (element)
Platīns	Platina
Vjetnama	Vietnam
Čārlijs Čaplins	Charlie Chaplin
Novosibirska	Novosibirsk
Dienvidkoreja	Zuid-Korea
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	The Simpsons
Jekaterinburga	Jekaterinenburg
Kriptons	Krypton (element)
Afganistāna	Afghanistan
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Nizjni Novgorod
Džons Ronalds Rūels Tolkīns	J.R.R. Tolkien
Samara	Samara (stad)
Rubīdijs	Rubidium
Zelts	Goud
Omska	Omsk
Suecas kanāls	Suezkanaal
Kazaņa	Kazan (stad)
Zinātnieks	Wetenschapper
Bangladeša	Bangladesh
Bleach (manga)	Bleach (manga)
Francs Kafka	Franz Kafka
Čeļabinska	Tsjeljabinsk
Gordons Frīmens	Gordon Freeman
Rostova pie Donas	Rostov aan de Don
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Oefa
Mali	Mali
Sokrats	Socrates (filosoof)
Volgograda	Wolgograd
Angola	Angola
Perma	Perm (stad)
Butāna	Bhutan
Twitter	Twitter
Krasnojarska	Krasnojarsk
Bruneja	Brunei
Tanzānija	Tanzania
Dzīvsudrabs	Kwik
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Filipijnen
Centrālāfrikas Republika	Centraal-Afrikaanse Republiek
Naruto Udzumaki	Naruto Uzumaki
Tallijs	Thallium
Dienvidpols	Zuidpool
Ziemeļpols	Noordpool
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Albert Einstein
Stroncijs	Strontium
Pedru I	Peter I van Brazilië
Itrijs	Yttrium
Bismuts	Bismut
Dzeltenā krāsa	Geel (kleur)
Kvantu mehānika	Kwantummechanica
Togo	Togo
Donalds Tusks	Donald Tusk
Tunisija	Tunesië
Džons Bardīns	John Bardeen
Zambija	Zambia
Zimbabve	Zimbabwe
Pekina	Peking
Dienvidsudāna	Zuid-Soedan
Vladivostoka	Vladivostok
Tiva	Toeva
Benina	Benin
Botsvana	Botswana
Wikinews	Wikinews
Burkinafaso	Burkina Faso
Burundi	Burundi
Komoras	Comoren
Kongo Republika	Congo-Brazzaville
Alkmāra	Alkmaar (gemeente)
Oba	Ob (rivier)
Kongo Demokrātiskā Republika	Congo-Kinshasa
Sanantonio	San Antonio (Texas)
Tomska	Tomsk
Džibutija	Djibouti (land)
Mēme	Meme (memetica)
Polonijs	Polonium
Bavārija	Beieren
Pasaules kauss kalnu slēpošanā	Wereldbeker alpineskiën
Ekvatoriālā Gvineja	Equatoriaal-Guinea
Bādene-Virtemberga	Baden-Württemberg
Eritreja	Eritrea
Ņūdeli	New Delhi
Jānis Pāvils II	Paus Johannes Paulus II
Fjodors Dostojevskis	Fjodor Dostojevski
Amersforta	Amersfoort
Kamčatkas pussala	Kamtsjatka (schiereiland)
Tbilisi	Tbilisi
Andrejs Saharovs	Andrej Sacharov
Zīdainis	Baby
Astats	Astaat
Gabona	Gabon
Mohandass Karamčands Gandijs	Mohandas Karamchand Gandhi
Čukču pussala	Tsjoektsjenschiereiland
Komikss	Stripverhaal
Gambija	Gambia (land)
Gvineja	Guinee
Gvineja-Bisava	Guinee-Bissau
Kotdivuāra	Ivoorkust
Kamerūna	Kameroen
Maribora	Maribor
Kaboverde	Kaapverdië
Lesoto	Lesotho
Libērija	Liberia
Lībija	Libië
Āhene	Aken (stad)
Madagaskara	Madagaskar
Malāvija	Malawi
Štutgarte	Stuttgart
Mauritānija	Mauritanië
Poļi	Polen (volk)
Maurīcija	Mauritius (land)
Maroka	Marokko
Mozambika	Mozambique
Namībija	Namibië
Nigēra	Niger (land)
Nigērija	Nigeria
Čārlzs Darvins	Charles Darwin
Uganda	Oeganda
Ruanda	Rwanda
Cirkonijs	Zirkonium
Santome un Prinsipi	Sao Tomé en Principe
Karlsrūe	Karlsruhe (stad)
Senegāla	Senegal
Seišelas	Seychellen
Kārlis Linnejs	Carolus Linnaeus
Sjerraleone	Sierra Leone
Somālija	Somalië
Niobijs	Niobium
Džavaharlals Neru	Jawaharlal Nehru
Jūlijs Cēzars	Julius Caesar
Sudāna	Soedan
Svazilenda	Swaziland
Varavīksne	Regenboog (optica)
Molibdēns	Molybdeen
Tehnēcijs	Technetium
Hamburga	Hamburg
Vielmaiņa	Stofwisseling
Narēndra Modi	Narendra Modi
Imūnsistēma	Immuunsysteem
Gudžarāta	Gujarat
Ontārio ezers	Ontariomeer
Evolūcija	Evolutie (biologie)
Apvienoto Nāciju Organizācija	Verenigde Naties
Augšezers	Bovenmeer
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Geologie
Amdāvāda	Ahmedabad (stad)
Ģeogrāfija	Aardrijkskunde
Sirds	Hart
Smadzenes	Hersenen
Āda	Huid
Krāsa	Kleur
Pārkāpt robežu	Breaking Bad
Salerno	Salerno (stad)
Lietvārds	Zelfstandig naamwoord
Prāga	Praag
Rutēnijs	Ruthenium
Rodijs	Rhodium
Zilā krāsa	Blauw (kleur)
Pallādijs	Palladium (element)
Sudrabs	Zilver
Kadmijs	Cadmium
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Limburg (Nederland)
Indijs	Indium
Limburga (Beļģija)	Limburg (Belgische provincie)
Alva	Tin (element)
Urāns (elements)	Uranium
Antimons	Antimoon
Telūrs	Telluur
Ziemeļbrabante	Noord-Brabant
Plutonijs	Plutonium
Jods (elements)	Jodium (element)
Neptūnijs	Neptunium
Ksenons	Xenon
Anime	Anime
Cēzijs	Cesium
Protaktīnijs	Protactinium
Elektriskais lādiņš	Elektrische lading
Bārijs	Barium
Rietumflandrija	West-Vlaanderen
Austrumflandrija	Oost-Vlaanderen
Torijs	Thorium
Antverpenes province	Antwerpen (provincie)
Flāmu Brabante	Vlaams-Brabant
Hafnijs	Hafnium
Aktīnijs	Actinium
Valoņu Brabante	Waals-Brabant
Tantals	Tantaal
Bills Klintons	Bill Clinton
Namīras province	Namen (provincie)
Luksemburgas province	Luxemburg (provincie)
Ljēžas province	Luik (provincie)
Rādijs	Radium
Eno	Henegouwen
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Radon (element)
Lotringa	Lotharingen (Frankrijk)
Elzasa	Elzas
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Mercurius (mythologie)
Ektors Berliozs	Hector Berlioz
Overņa	Auvergne
Mumbaja	Bombay
Starptautiskā vieglatlētikas federācija	International Association of Athletics Federations
Āndhra Pradēša	Andhra Pradesh
Arunāčala Pradēša	Arunachal Pradesh
Asama	Assam
Bihāra	Bihar
Mičigana	Michigan
Čhatīsgarha	Chhattisgarh
Mičigans	Michiganmeer
Goa	Goa (India)
Burgundija	Bourgondië (regio)
Harjāna	Haryana
Himāčala Pradēša	Himachal Pradesh
Moriss Ravēls	Maurice Ravel
Akvitānija	Aquitanië
Džammu un Kašmīra	Jammu en Kasjmir (staat)
Puertoriko	Puerto Rico
Džhārkhanda	Jharkhand
Karnātaka	Karnataka
Kerala	Kerala
Madhja Pradēša	Madhya Pradesh
Useins Bolts	Usain Bolt
Limuzēna	Limousin
Mahārāštra	Maharashtra
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipur
Šlēsviga-Holšteina	Sleeswijk-Holstein
Meghālaja	Meghalaya
Mēklenburga-Priekšpomerānija	Mecklenburg-Voor-Pommeren
Lejassaksija	Nedersaksen
Ziemeļreina-Vestfālene	Noordrijn-Westfalen
Hesene	Hessen
Reinzeme-Pfalca	Rijnland-Palts
Zāra (zeme)	Saarland
Saksija	Saksen (deelstaat)
Džons Lenons	John Lennon
Ilinoisa	Illinois (staat)
Tīringene	Thüringen (deelstaat)
Saksija-Anhalte	Saksen-Anhalt
Ziemeļdakota	North Dakota
Brandenburga (zeme)	Brandenburg (deelstaat)
Brēmene (federālā zeme)	Vrije Hanzestad Bremen
Lombardija	Lombardije
Dienviddakota	South Dakota
Montāna	Montana (staat)
Vaiominga	Wyoming
Pjemonta	Piëmont
Jeruzaleme	Jeruzalem
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
