Naakaii Łizhiní Bikéyah	Afrika
Haʼaʼaahjí Hakʼaz Dineʼé Bikéyah	Groenland
Kwóóʼad Bikéyah	Kroatië
Bosna dóó Hetsog Bikéyah	Bosnië en Herzegovina
Azééwii Bikéyah	Azerbeidzjan
Andówa	Andorra
Béésh Łichíiʼii Bikéyah	Cyprus
Jóojah (Kéyah)	Georgië
Kʼazah Bikéyah	Kazachstan
Dziłizhin Bikéyah	Montenegro
Bádikin Sídii	Vaticaanstad
San Mawínoo Bikéyah	San Marino
Kyóoba	Cuba (land)
Hashkʼaan Bikéyah	Barbados
Indoníízha	Indonesië
Tʼóok bizaad	Turks
Kéyah Naakai Łizhinii Bikéyah Shádiʼááhjí Siʼánígíí	Zuid-Afrika
Aljííya	Algerije
Ózbeʼ Bikéyah	Oezbekistan
Tó	Water
Níłchʼi naalkidí	Televisie
Chíilii	Chili
Doodaatsaahii (Jíísas)	Jezus (traditioneel-christelijk)
Mókiwii	Mercurius (planeet)
Ákáʼátʼįįł (béésh ntsékeesígíí álʼíní)	Apple Inc.
Biinis	Venus (planeet)
Jíbitoo	Jupiter (planeet)
Yoowéinis	Uranus (planeet)
Néʼtoon	Neptunus (planeet)
Sį́ʼgaboo	Singapore
Tłóotoo	Pluto (dwergplaneet)
Łííhtensain	Liechtenstein
Dágháilchįįh	Adolf Hitler
Naaltsoos biniiʼ	Facebook
Naaki góneʼ yéigo daʼahijoogą́ą́ʼ	Tweede Wereldoorlog
Ałhíʼayiiltááh	Wiskunde
Aooméénii Bikéyah	Armenië
Ooljééʼ	Maan
Nahatʼeʼiitsoh Bikéyah	Australië (land)
Béésh Łigaii Bikéyah	Argentinië
Kolíya Bikéyah Náhookǫsjí Siʼánígíí	Noord-Korea
Naayééʼ	Dinosauriërs
Bilasáana bitseeʼ nineezígíí	Peer (plant)
Naturalis Historia of Pliny the Elder	Naturalis historia
Encyclopædia Britannica	Encyclopædia Britannica
Tó yaʼnidaʼaazgééd	Aquaduct (watergang)
Chʼil łitsooí díkʼǫ́zhígíí	Citroen (vrucht)
Hashkʼaan (łitsooígíí)	Banaan (vrucht)
Sǫʼ	Ster (hemellichaam)
Jóhonaaʼéí	Zon
Háájiʼjin	Waterstof (element)
Níłchʼi Ászólí	Helium
Haʼaʼaahjí Tíímow	Oost-Timor
Séwes	Ceres (dwergplaneet)
Haʼooméya	Haumea
Maakiimaakii	Makemake
Ééwis	Eris (dwergplaneet)
Káábin	Koolstof
Níłchʼi Yáʼátʼéehii	Zuurstof (element)
Hadoh dóó hakʼaz neiłkidígíí	Thermometer
Níłchʼi Łitsxooí	Neon (element)
Chihuahua Hahoodzo	Chihuahua (staat)
Soodin	Natrium
Béésh Łikoní	Magnesium
Béésh Ászólí	Aluminium
Tó Wónaanídę́ę́ʼ Bitsįʼ Yishtłizhii Bikéyah	India
Tʼoobááloo	Tuvalu
Béésh (Fe)	IJzer (element)
Tʼónga	Tonga (land)
Łeetsoii	Zwavel
Samóa	Samoa
Sólomon Tó Bináhaazyínígíí	Salomonseilanden
Banoʼáátʼoo	Vanuatu
Páápowa Bigíní Ániidí	Papoea-Nieuw-Guinea
Níłchʼi Dootłʼizhí	Argon
Eʼeʼaahjí Tónteel bikáaʼgi Kéyah Yázhí dah Ndaaʼeełgo Ałhidadiidzooígíí	Micronesia
Káálsiiyin	Calcium
Dilyį́hí	Lood (element)
Kílíbas	Kiribati
Chʼah Diʼilii Bikéyah	Mongolië
Fííjii	Fiji
Béésh doo Ńdiniichxíihii	Titanium
Táłkááʼ Bighan Dineʼé Bikéyah	Venezuela
Méíin Hahoodzo	Maine
Łį́į́ʼ	Paard (dier)
Naaldeehii	Dierenrijk
Sówinam	Suriname
Kéyah Nahasdzáán Ałníiʼgi Siʼánígíí	Ecuador
Kolámbiya	Colombia
Béésh Łibáhí	Kobalt
Bolíbiya	Bolivia
Béésh Łichíiʼii	Koper (element)
Niihémpshoo Hahoodzo	New Hampshire
Chʼosh doo yitʼíinii dláádí dóó Ábishjaaʼ	Schimmels
Jaméíkʼa	Jamaica
Méésíchóoshish Hahoodzo	Massachusetts
Kanédikiʼ Hahoodzo	Connecticut
Naaʼahóóhai	Kip (vogel)
Antíígwa dóó Hashkʼaan Bikéyah Yázhí	Antigua en Barbuda
Kéyah Ałkéé Nitį́įgo Dah Ndaaʼeełí	Hawaï
Damóo Bikéyah	Dominica
Domingo Bikéyah	Dominicaanse Republiek
Bisóodi	Varken (tam)
Héítii	Haïti
Iiwą́ą́	Iran
Iiwááʼ	Irak
Hakʼaz Dineʼé Bikéyah Hahoodzo	Alaska
Ízrel Bikéyah	Israël
Shádiʼááhjí Ásáí Bikéyah	Jemen
Jóoʼdan	Jordanië
Gah Bikeeʼ Taahíʼahí	Florida (staat)
Kíígiz Bikéyah	Kirgizië
Hoozdo Hahoodzo	Arizona (staat)
Kóóweiʼ	Koeweit
Lááʼos	Laos
Łíbanoo	Libanon
Óogin Hahoodzo	Oregon
Naakaii Dootłʼizhí Bikéyah Yázhí (Tó Bináhaazyínígíí)	Maldiven
Kéyah dah siʼánígíí	Amerika (continent)
Áshįįh Biiʼtó Hahoodzo	Utah
Béégashii	Rund
Maléízha	Maleisië
Dziłgaiitsoh Honeezkʼazii Bikéyah	Nepal
Omą́ą́	Oman
Eʼeʼaahjí Naakaii Dootłʼizhí Bikéyah	Pakistan
Kʼatár	Qatar
Ásáí Bikéyah Saʼoodí	Saoedi-Arabië
Swii Lankʼa	Sri Lanka
Sííwiya	Syrië
Tʼajiʼ Bikéyah	Tadzjikistan
Tʼáí Bikéyah	Thailand
Kǫʼ naʼałbąąsii diné bee nágéhéʼ	Trein
Tʼóokmen Bikéyah	Turkmenistan
Ásáí Bikéyah Yázhí Ałhidadiidzooígíí	Verenigde Arabische Emiraten
Biʼednam	Vietnam
Kolíya Bikéyah Shádiʼááhjí Siʼánígíí	Zuid-Korea
Óola	Goud
Naʼałkaahí	Wetenschapper
Bangla Bikéyah	Bangladesh
Angóola	Angola
Iiʼniʼ Tłʼiishtsoh Bikéyah	Bhutan
Bwoonéí	Brunei
Tʼanzanííya	Tanzania
Béésh Tózháanii	Kwik
Kéyah Dańlíinii	Filipijnen
Naakaii Łizhinii Bikéyah Beʼałnííʼ	Centraal-Afrikaanse Republiek
Hastiin Albert Einstein	Albert Einstein
Tʼóogo	Togo
Hooghan Tsé Bee Ádaalyaaí Bikéyah	Zimbabwe
Shádiʼááhjí Soodą́ą	Zuid-Soedan
Tswana Dineʼé Bikéyah	Botswana
Wóndii Dineʼé Bikéyah	Burundi
Ooljééʼ Bikéyah Yázhí	Comoren
Kéyah Káango Náhookǫsjí Siʼánígíí	Congo-Brazzaville
Kéyah Káango Shádiʼááhjí Siʼánígíí	Congo-Kinshasa
Jibótii	Djibouti (land)
Gíní Nahasdzáán Ałníiʼgi Siʼánígíí	Equatoriaal-Guinea
Gabǫ́ǫ́ (Kéyah)	Gabon
Géémbiya	Gambia (land)
Gíní	Guinee
Gíní Bisó	Guinee-Bissau
Chį́į́h Yee Adilohii Bideeʼ Tónteel Bibąąh	Ivoorkust
Táłtłʼááh Chʼosh Daadánígíí Bitooh (Łizhinii Bikéyahdi)	Kameroen
Tónteel Bibąąh Dootłʼizhí	Kaapverdië
Sotho Dineʼé Bikéyah	Lesotho
Łíbya	Libië
Madaʼgéésgáá	Madagaskar
Malááwii	Malawi
Moowitéínya	Mauritanië
Moroko	Marokko
Namííbya	Namibië
Yogénda	Oeganda
Wánda Dineʼé Bikéyah	Rwanda
Seishel	Seychellen
Náshdóítsoh Bitsiijįʼ Daditłʼooʼígíí Bidził	Sierra Leone
Soomáálii Bikéyah	Somalië
Soodą́ą	Soedan
Swáazi Dineʼé Bikéyah	Swaziland
Nahasdzáán Bikáaʼgi Kéyah Naaznilgo Ałhidadiidzooígíí	Verenigde Naties
Nidaashchʼąąʼígíí	Kleur
Béésh Łigaii	Zilver
Béésh Dildǫʼí	Tin (element)
Łéétsoh	Uranium
Hastiin alą́ąjįʼ dahsidáhígíí Bill Clinton	Bill Clinton
Míshigin Hahoodzo	Michigan
Tó Nitsaa Nílį́bąąh Hahoodzo	Illinois (staat)
Náhookǫsjí Dzígaii	North Dakota
Ałnííʼjí Dzígaii	South Dakota
Ayání Naakaii Hahoodzo	Montana (staat)
Tóʼííbézhí	Wyoming
Nímasii Kʼidadilyéhé	Idaho
Ahééhałtį́į́h Hahoodzo	Washington (staat)
Naʼazhǫǫsh Hahoodzo	Nevada (staat)
Kayíbíyinsíí (tónteel)	Caraïbische Zee
Dibé Nitsaa Hahoodzo	Colorado (staat)
Naakaii bizaad	Spaans
Naʼashjéʼii	Spinnen (dieren)
Chʼosh bijáád tseebíhígíí	Spinachtigen
Chʼosh bideeʼ ádaadinígíí	Chelicerata
Chʼosh bijáád dahólónígíí	Geleedpotigen
Béeso	Geld
Bijíniyah Hahoodzo	Virginia (staat)
Eʼeʼaahjí Bijiniyah Hahoodzo	West Virginia
Kin Yótʼááh Deezʼá Hahoodzo	New York (staat)
Wóód Áalin Hahoodzo	Rhode Island (staat)
Chʼosh bijáád hastání	Insecten
Méelin Hahoodzo	Maryland
Déláwee Hahoodzo	Delaware
Oohááyoo Hahoodzo	Ohio (staat)
Pénsówéíniyah Hahoodzo	Pennsylvania
Niijéízii Hahoodzo	New Jersey
Índíʼyéenah Hahoodzo	Indiana
Chidí	Auto
Jóojah Hahoodzo	Georgia (staat)
Akałii Bikéyah	Texas (staat)
Náhookǫsjí Kééláanah Hahoodzo	North Carolina
Shádiʼááhjí Kééláanah Hahoodzo	South Carolina
Méhigoʼ sídii	Mexico-Stad
Bilasáana diwozhí	Ananas
Mísísípii Hahoodzo	Mississippi (staat)
Ténésii Hahoodzo	Tennessee
Yootó Hahoodzo	New Mexico
Mínisóodah Hahoodzo	Minnesota
Wiskaansin Hahoodzo	Wisconsin
Haʼaʼaahjí Dzígaii	Iowa (staat)
Nabeeskah Hahoodzo	Nebraska
Shádiʼááhjí Dzígaii	Kansas (staat)
Tó Dzígaii Nílį́	Missouri (staat)
Tónteel Chʼínílį́	Louisiana (staat)
Kentákii Hahoodzo	Kentucky
Dził Biiʼ Dzígaii	Arkansas (staat)
Halgai Hóteel Hahoodzo	Oklahoma
Ho Chi Min Sídii	Ho Chi Minhstad
Bilagáana bizaad	Engels
Náhookǫsjí Hakʼaz Dineʼé Bikéyah	Nunavut
1901 – 1950	1902
Tłʼiish	Slangen
1951 – 2000	1979
Pope Benedict XVI	Paus Benedictus XVI
Maʼii Ashkii	Geronimo (indianenleider)
Tsin naaʼeeł táłtłʼááh naagháhígíí	Onderzeeboot
Tahoniigááh	Griep
Tłʼízí	Geit
Kǫʼ	Vuur
Tʼááłáhági átʼéego:Templates	Categorie:Wikipedia:Sjablonen
Dloziłchííʼ	Eekhoorn (zoogdier)
Tʼááłáhági átʼéego:Bideeʼtsʼinígíí	Categorie:Holhoornige
Tiníléítsoh	Komodovaraan
Chʼosh bijáád neeznánígíí	Tienpotigen
Aymara bizaad	Aymara (taal)
Łeeyiʼ chʼoshtsoh binááʼ hólónígíí	Wormsalamanders
Tʼááłáhági átʼéego:Dééł dóó Tóidoozohii	Categorie:Kraanvogelachtige
Médíwííyin Sii	Middellandse Zee
Jóojah (Ałtsʼáʼáztiin)	Georgia
Alóós	Rijst
Tsídii	Vogels
Kéłánii bikágí yilzhólígíí	Fluweelwormen
Kéchwa bizaad	Quechua (taal)
Ínsadoobíídiiya	Encyclopedie
Íiyisíí Naaltsoos	Hoofdpagina
Dziłgaiitsoh Honeezkʼazii	Himalaya
Tʼááłáhági átʼéego:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
Chʼil ahwééh	Thee (drank)
Kéyah Sahééwa Eʼeʼaahjí Siʼánígíí	Westelijke Sahara
1801 – 1850	1815
Łį́į́ʼ Bideeʼłáaʼii	Eenhoorn (fabeldier)
Hastiin Hernán Cortés	Hernán Cortés
Tsʼíʼii daʼaneezí	Steekmuggen
Dibé	Schaap (dier)
Łóóʼ hashkéhé	Haaien
Ghą́ą́ʼaskʼidii	Kamelen
Bidił Daazdoígíí dóó Daʼałtʼoʼígíí	Zoogdieren
Bíchį́į́h yee adilohii	Olifanten
Mágí dóó Mágí Ndahalinígíí	Primaten
(*wálá-)	Mieren
Tsísʼná	Bijen
Naayízítsʼósí	Courgette
Jiłtʼoʼí	Rabarber
Sęęschʼil	Bloemkool
Ayęęzhii yiltʼąąʼí	Aubergine (plant)
Naalʼeełí	Anatidae
Yas	Sneeuw
Jádí dághaaʼígíí	Gnoes
1851 – 1900	1865
Biʼééʼ Łichííʼí bizaad	Russisch
1751 – 1800	1784
Bááh	Brood
Bee Hazʼą́ą Ił Chʼétʼaah	Universele verklaring van de rechten van de mens
Kéyah haʼdéísná	Aardbeving
Tó nitéél nitságoʼ atságáá	Tsunami
Níyoltsoh	Tornado (wervelwind)
Saad bee alʼį́į́hni	Schrift
Tʼááłáhági átʼéego:Dáághahii	Categorie:Frankrijk
Mąʼii łitsooí	Vos (dier)
Naaltéʼ	Slavernij
Ahwééh	Koffie
Abeʼ	Melk (drank)
Dził	Berg (landvorm)
Doo Nidahałtingóó	Woestijn
Cryptographic	Cryptografie
Guadalajara	Guadalajara (Jalisco)
Tsídii naʼałkʼaiʼí	Pinguïns
Kolíya Dineʼé bizaad	Koreaans
Tó niteel	Oceaan
Hodíłchʼil Níłtsánígíí	Regenwoud
HiTSʼezh	IPod
Hazéí	Eekhoorns
Hazéí naatʼáʼii	Vliegende eekhoorns
Ééʼ néíshoodí	Rooms-katholieke Kerk
Kwį́į́n Elizabeth II	Elizabeth II van het Verenigd Koninkrijk
Hastiin alą́ąjįʼ dahsidáhígíí Ronald Reagan	Ronald Reagan
Hastiin Emperor Yongle	Yongle
Naʼashjéʼiitsoh	Wolfspinnen
Naaldlooshii dadichʼízhii	Reptielen
Tsin Deigházhígíí	Knaagdieren
Hasbídí	Duiven (vogels)
Tééh hóyáanii	Bruinvissen
Biyáázh Tsʼǫʼasánígíí (Táyiʼ dóó Niʼkáágóó Ndaakaaígíí)	Amfibieën
Géeso	Kaas
Chʼil naʼatłʼoʼii (chʼiyáán)	Druif
Tsísʼná bitłʼizh	Honing
Atsįʼ	Vlees
Naʼashjéʼii tsiizisí	Trilspinnen
Nímasii	Aardappel
Áshįįh łikan	Tafelsuiker
Haʼałtsédii	Noot (botanisch)
Wááshindoon bisiláołtsooí	United States Armed Forces
Naʼiiniʼ bá Hooghantsoh	World Trade Center (New York)
Áshįįh	Keukenzout
Wááshindoondi bee hazʼáanii ádeiłʼíní	Amerikaans Congres
Tsin naaʼeeł	Schip (transportmiddel)
Nidaʼąnyéézh	Irrigatie
Naadą́ą́ʼ	Mais
Naʼashchʼąąʼ	Schilderkunst
Wótáahgoo ałnaaʼáłtʼahiʼ	Ruimtevaarder
Azhish	Dans
Naʼashjéʼii nahachaʼígíí	Springspinnen
Kéyah Daʼnaaznilígíí	Lijst van landen in 2015
Shash	Beren
Hastiin alą́ąjįʼ dahsidáhígíí John Adams	John Adams (politicus)
Hastiin alą́ąjįʼ dahsidáhígíí Thomas Jefferson	Thomas Jefferson
Hastiin alą́ąjįʼ dahsidáhígíí Andrew Jackson	Andrew Jackson
Ńdíshchííʼ	Den (geslacht)
Tłʼoh naadą́ą́ʼ	Tarwe
Naałniih yichʼą́ą́h naabaahígíí bąąh dahooʼaahgo	Aids
Jéíʼádįįh	Tuberculose
Łóódtsoh	Pokken
Zelda bahaneʼ	The Legend of Zelda (computerspelserie)
Naakáí dinéʼiʼ biempire Méhigodi	Azteken
Łéétsoh bee atsiniltłʼish álʼį́	Kernenergie
Łéétsoh beeʼeldǫǫhtsoh beeʼalį́į́h	Kernwapen
Chidí naaʼnaʼí beeʼeldǫǫh bikááʼ dah naaznilígíí	Tank (voertuig)
Jalisco Hahoodzo	Jalisco
Dzidzé łikaní dinilchííʼígíí	Framboos
Mágí bichʼiyąʼ	Kokospalm
Dzidzétsoh	Perzik
Chʼil łitsxooí	Sinaasappel
Chʼil dishooí	Kiwi (fruit)
Chʼil dootłʼizhí díkʼǫ́zhígíí	Limoen
Abeʼ yistiní	Roomijs
Méhigo bizaad	Nahuatl
Diné bizaad	Navajo (taal)
Jeeʼiighááh	Oorwormen
Tenochtitlan	Tenochtitlan
Ásáí Bizaad	Arabisch
Honeezílígi	Subtropisch klimaat
Atʼaʼ yiltʼąąʼí	Palmenfamilie
Niłchiis	Veelvraat (zoogdier)
Tsin yilátah ayání	Giraffe (dier)
Naalʼeełídaaʼí	Vogelbekdier
Naʼashǫ́ʼii	Hagedissen
Béésh bee akʼeʼelchí áłtsisígíí	Personal computer
Wikiibíídiiya:Naaltsoos nizhónígo ádaalyaaígíí	Wikipedia:Etalage
Bee álnééhí:Link FA	Sjabloon:Link FA
Bimááʼ Hahoodzo	Vermont
Hoozdoh	Phoenix (Arizona)
Tʼáyaałchííʼ	Gouden grondspecht
Táłkááʼ tsʼin bíchį́į́hnézí	Gaviaal
Tsin naaʼeeł chidí naatʼaʼí bee nágéhéʼ	Vliegdekschip
Tsídiitsoh	Struisvogel
Kolíya bikéyah (Ałtsʼáʼáztiin)	Korea
Mąʼiitsoh	Wolf
Chʼídeeldlóohiitsoh	Schoenbekooievaar
Hodíłchʼilgi dlǫ́ʼiitsoh	Loewak
Tóidoozohii bidaaʼ łichííʼígíí	Waterhoen
Táłtłʼááh yilcháazhii	Sponsdieren
Tónteel naʼashjéʼii	Zeespinnen
Séigoʼ bíláshgaanézí	Zweepspinnen
Naʼashjéʼii jáádnézí	Hooiwagens
Séigoʼchilí bitseeʼ ádinígíí	Bastaardschorpioenen
Séigoʼ	Schorpioenen (orde)
Zahalchíʼii	Rolspinnen
Hastiin Emperor Qianlong	Qianlong
Séigoʼ bitseeʼ áłtsʼózígíí	Zweepstaartschorpioenen
Yaaʼ doo yitʼíinii	Acarina
Tsídii doo ndaatʼáʼii	Loopvogels
Hodíłchʼilgi naaʼahóóhai	Tinamoes
Tłʼiishkʼosí (tsídii)	Slangenhalsvogels
Télii	Ezel (dier)
Náshdóítsoh noodǫ́zígíí	Tijger
Kʼíneeshbízhiinééz	Spaghetti
Chʼosh yoołgai bitsʼaʼígíí	Ostreidae
Tábąąhgi łeeyiʼ chʼosh	Zeepier
Azeeʼ hókániitsoh	Speerdistel
Táłkáaʼgi Tsídii	Eendvogels
Tązhii dóó Naaʼahóóhai Ndahalinígíí	Hoendervogels
Naalʼeełii keelóól	Futen
Tsídii Deílʼésígíí	Ooievaarachtigen
Daʼałtʼoʼígíí Biyęęzhii Deiłchíhígíí	Cloacadieren
Adijiłii bíchį́į́hnézí	Mierenegels
Biyázhí neiyéhé	Opossums
Hazéítsʼósii	Wangzakeekhoorns
Chidí bikʼah	Aardolie
Chéłchaaʼ	Kevers
Łį́į́ʼ ałchiní	Przewalskipaard
Dlǫ́ʼii yił aheełtʼéhii noodǫ́zígíí	Zebramangoeste
Naʼastsʼǫǫsíʼniiʼí	Echte buideldassen
Shash naʼazísí	Wombats
Nahatʼeʼiitsohchilí	Kangoeroeratten
Náʼagéédí łichíiʼii	Goudmollen
Bįįh Danilínígíí	Hertachtigen
Tin	IJs (water)
Tłʼohchin díchʼííʼí	Knoflook
Taʼneeskʼání áłtsʼóózígíí	Cucumis sativus
Tłʼohchin (chʼil daadánígíí)	Ui (plant)
Chʼil łichxíʼí	Tomaat
Béésh Łichíiʼii Bikéyah Náhookǫsjígo Siʼanígíí	Noord-Cyprus
Naʼazhǫǫsh Hátsoh	Las Vegas (Nevada)
Náshdóí dilwoʼí	Jachtluipaard
Tsékǫʼ	Steenkool
Néʼéshjaaʼ	Uilen (orde)
Bíígháán Dahólónígíí	Gewervelden
Kʼishchííʼ	Berk
Ǫǫbǫʼii	Hop (vogel)
Náshdóí Ndahalinígíí	Katachtigen
Yádiłhił yiiyídíʼ nahosdzáán yináádáłiʼ	Internationaal ruimtestation ISS
Tó wónaanídę́ę́ʼ toohjįʼ noołnahii	Blauwe reiger
Hashkʼaan dijéʼé	Dadelpalm
Wááshindoon (Ałtsʼáʼáztiin)	Washington
Bidił Daazdoígíí dóó Daʼalghałígíí	Roofdieren
Chʼoshtsoh	Kakkerlakken
Dlǫ́ʼii yázhí	Wezel (dier)
Tsʼíʼii dóó Tséʼédǫ́ʼii	Tweevleugeligen
Biniiʼłigaii (néʼéshjaaʼ)	Kerkuil
Mąʼii Ndahalinígíí	Hondachtigen
Bijáád Ádaadinígíí	Weekdieren
Chʼosh łitsxooí dóó Chʼosh łichííʼí	Lieveheersbeestjes
Táłkááʼ naalzheehí	Visarend
Bizaʼazis Dahólónígíí	Buideldieren
Dlǫ́ʼiiłgaii	Hermelijn (dier)
Naalʼeełí bitsiiʼ dootłʼizhí	Wilde eend
Sǫʼ łóóʼ	Zeesterren
Giníłbáhí	Havik (vogel)
Tʼádootłʼizhii	Vlaamse gaai
Zhį́ʼii	Raaf (vogel)
Táłkááʼ tsʼin Danilínígíí	Krokodilachtigen
Chʼosh bikágí dantłʼizí	Kreeftachtigen
Dééł	Kraanvogels
Chʼosh bitsʼaʼígíí	Tweekleppigen
Atsá dóó Giní Ndahalinígíí	Falconiformes
Łóóʼ ooshgę́ęzhii	Kraakbeenvissen
Tániilʼáí	Libellen
Wóláchííʼ yildeełí bikágí ntłʼizí	Manis
Gah Danilínígíí	Haasachtigen
Tsísʼnátsoh	Hommels
Hazéí yiltseeʼí	Duizendblad (soort)
Chʼosh bikǫʼí	Glimwormen
Zéédzísgaii	Fazant
Dlǫ́ʼii Ndahalinígíí	Marterachtigen
Tsin yiłkaałii	Spechten
Bideeʼtsʼinígíí	Holhoornigen
Dééł dóó Tóidoozohii Ndahalinígíí	Kraanvogelachtigen
Gáagii dóó Joogii Ndahalinígíí	Kraaien
Chʼiltaatʼagii	Blauwe kiekendief
Tsin naaʼeeł diné bee nágéhéʼ	Veerboot
Gad	Jeneverbes (geslacht)
Jááłánii	Duizendpotigen
Biishchʼid Dahólónígíí	Placentadieren
Chʼosh Deildeełii	Insecteneters
Tó wónaanídę́ę́ʼ naalʼeełítsoh łibáhígíí	Grauwe gans
Tónteel dóó Tábąąhgi Tsídii	Steltloperachtigen
Ńdíshchíitah dlǫ́ʼii	Boommarter
Biyaatsʼiin Dahólónígíí	Gnathostomata (Vertebrata)
Tooh łéʼétsoh	Muskusrat
Chaatʼíní	Veldzuring
Łóóʼ hashkéhé dootłʼizhígíí	Grote blauwe haai
Wóʼatsʼǫǫsii Ádaatʼéhígíí	Halfvleugeligen
Atsáłgaii	Ruigpootbuizerd
Béégashiiʼilí	Jak
Tó wónaanídę́ę́ʼ dlǫ́ʼii	Bunzing
Tsxį́į́łnaalkʼįhii	Gierzwaluwen
Dziłditłʼoii Bił Hahoodzo	San Juan County (Utah)
Hakʼaz naalʼeełí	Eider (vogel)
Naalʼeełítsoh bitsiiʼ halzhinígíí	Grote Canadese gans
Chʼó	Spar
Łóóʼtsoh łizhin dóó łigaígíí	Orka (dier)
Jáádtsʼósí	Kluten (vogels)
Téél dzítsooii dóó Tsétah chʼosh	Loopkevers
Naalʼeełítsoh diłhiłígíí	Rotgans
Tábąąh dlǫ́ʼii	Amerikaanse nerts
Dlǫ́ʼii bitéél halgaií	Steenmarter
Tábąąstííntsoh łibáhígíí	Grijze zeehond
Naakaii Łizhiní Bikéyahdi Hadahóólįįdígíí	Afrotheria
Diné Nááhódlóonii bizaad	Athabaskische talen
Łį́į́ʼ bitsísʼná	Horzels
Tónteel tsídii	Meeuwen (vogels)
Ałtį́į́ jikʼáshí (chʼil)	Paardenstaart (geslacht)
Hazaʼaleehtsoh (dííshjį́ ááłjiní)	Selderij
Kʼaalógii dóó Iichʼąhii	Vlinders
Díłdánii yił aheełtʼéhii	Kwartel
Chʼałdą́ą́ʼ / Jádí nátʼoh (chʼil daadánígíí)	Asperge
Tséʼédǫ́ʼii dootłʼizhí	Bromvliegen
Jaaʼabaní Danilínígíí	Vleermuizen
Wóónałchídii	Kniptorren
Tsídii bidaanézí	Ooievaars
Dlǫ́ʼii	Kleine marters
Lókʼaaʼ	Riet
Tsídiiłbáhí	Mussen
Biłʼeʼeliníʼ	Bakpoeder
Táłtłʼááh chʼoshchilí	Krill
Tsiiʼyiishbizhí Dinéʼiʼ Bikéyah	China
Naalʼeełí binááʼ łitsooígíí	Brilduiker
Tábąąstíín	Otter (dier)
Náshdóíłgaii łikizhígíí	Sneeuwpanter
Tábąąstííntsoh Danilínígíí	Zeeroofdieren
Dlǫ́ǫ́ʼ	Prairiehonden
Náshdóí bijaałizhiní	Caracal (dier)
Chʼóhojilyééh	Doornappel
Chʼah Diʼilii Bikéyahdę́ę́ʼ naalʼeełítsoh	Zwaangans
Tsídii yáłtiʼí	Papegaaiachtigen
Tééh łį́į́ʼ	Zebra (dier)
Náshdóí łikizhígíí	Ocelot
Dííłdzid jeeshóóʼ	Aasgier
Tʼáadoo leʼé danílʼį́ bił hazʼą́	Museum
Shash łizhin dóó łigaígíí	Reuzenpanda
Shash łigaígíí	IJsbeer
Gaantsʼosí	Zeelelies
Hastiin alą́ąjįʼ dahsidáhígíí Theodore Roosevelt	Theodore Roosevelt
Neeshchʼííłgai	Kasjoeboom
